,sequencing.run,other_sampleID,temp,sampling.date,SeriesLetter,quarantine,fieldID,DateReceived,Latitude,Longitude,tillage,drainage,manure,ManureOrgLastYr,ManureOrgThisYr,PctLeg_1to4,CoverCrop_1to4,Crop2Ago,CropLastYr,CropThisYr,soil_texture_class,soil_texture_sand,soil_texture_silt,soil_texture_clay,water_capacity,water_capacity_rating,surface_hardness,surface_hardness_rating,subsurface_hardness,subsurface_hardness_rating,aggregate_stability,aggregate_stability_rating,organic_matter,organic_matter_rating,ace_soil_protein_index,ace_soil_protein_index_rating,root_pathogen_pressure,root_pathogen_pressure_rating,respiration,respiration_rating,active_carbon,active_carbon_rating,pH,pH_rating,P,P_rating,K,K_rating,Mg,Fe,Mn,Zn,minor_elements_rating
982,Run5,SS1062,NA,12-7-2018,SS,N,"Austin Kolb (near Deer Park, MD)",12-14-2018,39.45333,-79.34494,1,NA,NA,NA,NA,NA,NA,COG,SOY,COG,silt loam,21.19597155,52.80783291,25.99619554,0.303767054,98.6509785,NA,NA,NA,NA,18.59480911,24.53558589,9.2,100,6.302547112,47.614384,NA,NA,0.506461784,37.75985214,680.7031871,83.56594709,6.66,100,16.3,100,162.3,100,204.6,2.9,8.1,0.5,100
983,Run5,SS1063,NA,12-7-2018,SS,N,"Austin Kolb (near Friendsville, MD)",12-14-2018,39.71553,-79.40319,1,NA,NA,NA,NA,NA,NA,COG,SOY,COG,silty clay loam,12.53007696,57.71206034,29.7578627,0.324950699,99.44208692,NA,NA,NA,NA,25.07007288,30.06166651,5.39,93.87596499,5.426931365,43.73507197,NA,NA,0.598674713,49.82376296,499.5693671,35.30298919,6.06,88.1,3.8,100,107.8,100,243.9,3.1,8.2,0.7,100
984,Run5,SS1064,NA,12-7-2018,SS,N,Ron Shipley T:548 U:1,12-14-2018,39.683102,-78.375364,1,NA,NA,NA,NA,NA,NA,COG,SOY,COG,loam,37.85460338,45.05129603,17.09410059,0.254676104,92.73804341,NA,NA,NA,NA,10.34704175,12.56109447,3.12,55.30351166,4.618657517,28.43036548,NA,NA,0.435528761,29.17644304,474.4617089,44.5102499,6.58,100,2.9,83.2,51.5,76.6,74.6,0.9,5.1,0.5,100
985,Run5,SS1065,NA,12-13-2018,SS,N,"Albert Streets, near Jennings MD",12-18-2018,39.625632,-79.184844,2,NA,NA,NA,NA,NA,NA,PGE,PGE,PGE,silt loam,24.56310412,52.03308447,23.40381141,0.350736031,99.83290364,127.5,66.58580141,211.25,79.01143788,25.84939591,38.73836592,6.86,99.99910215,8.179056508,69.45555437,NA,NA,1.23707192,98.31470701,616.164949,73.49713814,6.3,100,4.2,100,80.5,100,70,6.7,11.9,0.4,100
986,Run5,SS1066,NA,NA,SS,N,7D_Conv0.5,12-21-2018,39.455675,-118.7769333,3,NA,NA,NA,NA,NA,NA,fallow,fallow,grain-leg,loamy sand,81.58264681,7.567294978,10.85005822,0.134142011,52.35922773,NA,NA,NA,NA,6.337792857,7.165515986,1.67,33.99864903,2.367284413,7.522855605,NA,NA,0.797287178,74.46100916,274.9049137,19.06576363,7.9,32.47181419,22.1,90.4,305.7,100,232.9,0.3,1.5,0.1,56
987,Run5,SS1067,NA,NA,SS,N,7D_Conv5.15,12-21-2018,39.455675,-118.7769333,3,NA,NA,NA,NA,NA,NA,fallow,fallow,grain-leg,loamy sand,83.84288095,7.755100681,8.40201837,0.135895872,53.35619245,NA,NA,NA,NA,4.9834603,6.394714973,1.57,29.54611425,2.781984416,9.35121937,NA,NA,0.470995272,33.35920887,192.2840631,9.877212494,7.85,41.01058394,18.6,100,248.6,100,225.5,0.3,1.2,0.1,56
988,Run5,SS1068,NA,NA,SS,N,7E_lite0.5,12-21-2018,39.45541111,-118.7780861,2,NA,NA,NA,NA,NA,NA,fallow,fallow,grain-leg,loamy sand,84.59634412,6.474210009,8.929445869,0.115170924,41.61143899,NA,NA,NA,NA,16.32750733,15.16837341,1.37,21.54946142,2.877221157,9.814004633,NA,NA,0.605768016,50.76698786,249.7594375,15.83643835,7.88,35.80647844,16.6,100,286.7,100,208.9,0.2,1.1,0.1,56
989,Run5,SS1069,NA,NA,SS,N,7E_lite5.15,12-21-2018,39.45541111,-118.7780861,2,NA,NA,NA,NA,NA,NA,fallow,fallow,grain-leg,loamy sand,84.38625991,6.341580591,9.2721595,0.135815118,53.31033004,NA,NA,NA,NA,8.968955408,8.86402446,1.5,26.5985529,2.405072712,7.677235423,NA,NA,0.286569413,14.80649596,210.2451176,11.53078373,7.63,78.01580987,24.5,52,220.4,100,219.8,0.3,1.3,0.1,56
990,Run5,SS1070,NA,NA,SS,N,7F_NT0.5,12-21-2018,39.45509722,-118.7778972,1,NA,NA,NA,NA,NA,NA,fallow,fallow,grain-leg,loamy sand,83.11857696,6.92654808,9.95487496,0.127820053,48.757811,NA,NA,NA,NA,10.58724256,10.04810099,1.5,26.5985529,2.628655803,8.640325342,NA,NA,0.584488109,47.93813572,273.1088083,18.82250634,7.91,30.85375387,24.3,55.2,311.8,100,202.5,0.2,1.4,0.1,56
991,Run5,SS1071,NA,NA,SS,N,7F_NT5.15,12-21-2018,39.45509722,-118.7778972,1,NA,NA,NA,NA,NA,NA,fallow,fallow,grain-leg,loamy sand,82.44304031,7.181449504,10.37551019,0.139403321,55.34304332,NA,NA,NA,NA,5.370758771,6.608248045,1.46,24.98378825,2.245460375,7.041251945,NA,NA,0.37168904,22.33176234,265.9243865,17.86876129,8,18.16510704,25.3,43.34,220.2,100,206.8,0.2,1.2,0.1,56
992,Run5,SS1072,NA,12-17-2018,SS,N,"Sam Walker, near Midlothian MD",1-2-2019,39.625369,-78.95263,1,NA,NA,NA,NA,NA,NA,GRE,GRE,GRE,silty clay loam,16.17827376,54.07332941,29.74839683,0.340570345,99.72653138,96.875,78.46624967,182.5,85.72807477,55.81873353,86.33999529,6.82,99.91358348,8.148852899,77.32574861,NA,NA,1.26828245,98.70466722,527.7184061,40.65580563,6,81.83489296,5.2,100,85.4,100,123.7,11.1,18.9,1.1,100
993,Run5,SS1073,NA,12-18-2018,SS,N,"James Stup, near Walkersville MD",1-2-2019,39.509091,-77.3553146,1,NA,NA,NA,NA,NA,NA,COS,COS,COS,loam,45.56796664,37.93731188,16.49472148,0.237930969,88.47239686,148.75,57.10439624,197.5,82.42847517,12.01448025,14.57695878,3.49,70.69321656,5.675311273,40.13301473,NA,NA,0.594418732,49.25784156,380.3597975,25.89118326,7.17,100,26.6,40.48,116.9,100,205.1,0.8,6.4,1.9,100
994,Run5,SS1098,NA,1-15-2019,SS,N,"Mark Carey, Near Cokesbury, MD",1-29-2019,38.10221,-75.571592,1,NA,NA,NA,NA,NA,NA,SOY,SOY,SOY,loam,43.43229277,46.50398452,10.06372271,0.257557196,93.33066908,92.5,79.93772551,160,89.84425818,5.705464333,7.997318086,1.85,10.0663896,4.508446966,27.3087752,NA,NA,0.361758417,21.35573712,302.7163542,14.31218635,6.18,95.79406526,16.9,100,113.9,100,92,4.7,5.2,1.9,100
995,Run5,SS1099,NA,1-16-2019,SS,N,"Larry Scott, near Galestown, MD",1-29-2019,38.60653,-75.721942,1,NA,NA,NA,NA,NA,NA,COG,COG,SO2,loamy sand,79.94387673,15.12839282,4.927730459,0.1065733,36.89380963,112.5,72.72782677,213.75,78.35066153,28.29108451,30.53469248,2.17,58.41415111,4.912175086,23.86018844,NA,NA,0.347571812,20.00543006,295.5576845,13.45595173,6.24,97.72498681,6.6,100,54.3,79.43326,54.6,3.8,1.2,1.9,100
996,Run5,SS1100,NA,1-16-2019,SS,N,"Gary King, near Princess Anne, MD",1-29-2019,38.187548,-75.685165,1,NA,NA,NA,NA,NA,NA,SOY,COG,SOY,silt loam,29.12488941,58.17821889,12.6968917,0.274147012,96.04650046,142.5,59.96366268,198.75,82.13323621,8.177214025,10.24110187,2.54,30.4636628,4.727204959,29.55610687,NA,NA,0.574557486,46.62068652,368.9340492,23.93283945,6.71,100,2.9,83.2,112.5,100,160,1.1,3.9,0.9,100
