sampleID,Latitude,Longitude
1,38.021,87.4535
2,38.021,87.4535
3,38.021,87.4535
4,38.021,87.4535
5,38.021,87.4535
6,38.021,87.4535
7,40.67397,88.76789
8,40.67395,88.76769
9,40.67391,88.76744
10,40.67384,88.7668
11,40.67312,88.76827
12,40.67307,88.76795
13,40.67304,88.76775
14,40.67301,88.76731
15,40.67234,88.7689
16,40.67229,88.76869
17,40.67234,88.76816
18,40.6723,88.76794
19,40.67371,88.76665
20,40.67321,88.76698
21,40.67237,88.76747
22,45.68504,95.8031
23,45.68504,95.8032
24,45.68504,95.8033
25,45.68504,95.8034
26,45.68504,95.8035
27,45.68504,95.8037
28,45.68504,95.8038
29,45.68504,95.8039
30,45.68504,95.804
31,45.68504,95.8041
32,45.68504,95.8043
33,45.68504,95.8044
34,45.68475,95.8031
35,45.68475,95.8032
36,45.68475,95.8033
37,45.68475,95.8034
38,45.68475,95.8035
39,45.68475,95.8037
40,45.68475,95.8038
41,45.68475,95.8039
42,45.68475,95.804
43,45.68475,95.8041
44,45.68475,95.8043
45,45.68475,95.8044
46,45.68447,95.8031
47,45.68447,95.8032
48,45.68447,95.8033
49,45.68447,95.8044
50,45.6842,95.8031
51,45.6842,95.8032
52,45.6842,95.8038
53,45.6842,95.8039
54,45.6842,95.804
55,45.6842,95.8041
56,45.6842,95.8043
57,45.6842,95.8044
58,45.68391,95.8031
59,45.68391,95.8032
60,45.68391,95.8033
61,45.68391,95.8044
62,45.68391,95.8031
63,45.68391,95.8032
64,45.68391,95.8038
65,45.68391,95.8039
66,45.68391,95.804
67,45.68391,95.8041
68,45.68391,95.8043
69,45.68391,95.8044
70,39.3537,85.4062
71,39.3537,85.4062
72,39.3537,85.4062
73,39.3537,85.4062
74,39.3537,85.4062
75,39.3537,85.4062
76,39.1038,85.4062
77,39.1038,85.4062
78,39.1038,85.1023
79,38.7695,87.1912
80,38.7695,87.1912
81,38.7695,87.1912
82,38.7695,87.1912
83,38.7695,87.1912
84,38.7695,87.1912
85,38.7695,87.1912
86,38.7695,87.1912
87,38.7695,87.1912
88,38.3783,86.904
89,38.3783,86.904
90,39.173,85.345
91,39.173,85.345
92,39.173,85.345
93,39.173,85.345
94,39.173,85.345
95,39.173,85.345
96,40.174,85.746
97,40.174,85.746
98,40.174,85.746
99,40.174,85.746
100,40.174,85.746
101,40.174,85.746
102,40.829,85.799
103,40.829,85.799
104,40.829,85.799
105,40.829,85.799
106,40.829,85.799
107,40.829,85.799
108,41.214,85.726
109,41.214,85.726
110,41.214,85.726
111,41.214,85.726
112,41.214,85.726
113,41.214,85.726
114,41.214,85.726
115,41.214,85.726
116,41.214,85.726
117,43.890326,-70.101396
118,43.890326,-70.101396
119,43.890326,-70.101396
120,43.890326,-70.101396
121,43.890326,-70.101396
122,43.890326,-70.101396
123,43.890326,-70.101396
124,43.890326,-70.101396
125,43.890326,-70.101396
126,43.890326,-70.101396
127,43.890326,-70.101396
128,43.890326,-70.101396
129,43.890326,-70.101396
130,43.890326,-70.101396
131,43.890326,-70.101396
132,43.890326,-70.101396
133,40.895,85.027
134,40.895,85.027
135,40.895,85.027
136,40.895,85.027
137,40.6965,86.216
