comboID,other_sampleID,treatment,treatment2,bedrock,soil_elevalleyation,rep,experiment,time,Latitude,Longitude,organic_matter,CO2.respiration,basal.respiration,induced.respiration,pH,potassium,nitrogen,yield.fresh.wt,yield.dry.wt,compaction,penetrability,sampling.date,description,biome,location,BioProject,SampleID,BioSample,SRA_Study,Experiment,SRA_Sample,MBases
PRJEB9654_ERR952501,HH1-1.2013,full-grazed,herbicide,siliceous,low mountain,1,PRJEB9654,2013,504577,4772439,7.08,3.85,0.81,27,5.24,215,0.48,1.68,5.991393,2577,8,2013-04-15,HH1-1.2013,grassland,Spain,PRJEB9654,ERR952501,SAMEA3474095,ERP010785,ERX1031471,ERS785371,110
PRJEB9654_ERR952502,HH1-1.2013,full-grazed,herbicide,siliceous,low mountain,1,PRJEB9654,2013,504577,4772439,7.08,3.85,0.81,27,5.24,215,0.48,1.68,5.991393,2577,8,2013-04-15,HH1-1.2013,grassland,Spain,PRJEB9654,ERR952502,SAMEA3474304,ERP010785,ERX1031472,ERS785580,106
PRJEB9654_ERR952503,HH1-1.2014,full-grazed,herbicide,siliceous,low mountain,1,PRJEB9654,2014,504577,4772439,10.02,3.85,1.19,33,5.08,275,0.5,1.24,7.440525,2400,25,2014-06-02,HH1-1.2014,grassland,Spain,PRJEB9654,ERR952503,SAMEA3474096,ERP010785,ERX1031473,ERS785372,79
PRJEB9654_ERR952504,HH1-1.2014,full-grazed,herbicide,siliceous,low mountain,1,PRJEB9654,2014,504577,4772439,10.02,3.85,1.19,33,5.08,275,0.5,1.24,7.440525,2400,25,2014-06-02,HH1-1.2014,grassland,Spain,PRJEB9654,ERR952504,SAMEA3474305,ERP010785,ERX1031474,ERS785581,129
PRJEB9654_ERR952505,HH1-2.2013,full-grazed,herbicide,siliceous,low mountain,2,PRJEB9654,2013,504568,4772450,10.97,4.97,0.58,24,5.17,171,0.49,1.61,5.248584,2605,13,2013-04-15,HH1-2.2013,grassland,Spain,PRJEB9654,ERR952505,SAMEA3474097,ERP010785,ERX1031475,ERS785373,85
PRJEB9654_ERR952506,HH1-2.2013,full-grazed,herbicide,siliceous,low mountain,2,PRJEB9654,2013,504568,4772450,10.97,4.97,0.58,24,5.17,171,0.49,1.61,5.248584,2605,13,2013-04-15,HH1-2.2013,grassland,Spain,PRJEB9654,ERR952506,SAMEA3474306,ERP010785,ERX1031476,ERS785582,70
PRJEB9654_ERR952507,HH1-2.2014,full-grazed,herbicide,siliceous,low mountain,2,PRJEB9654,2014,504568,4772450,8.9,4.97,1.48,20,4.98,148,0.48,1.19,7.298917,2975,20,2014-06-02,HH1-2.2014,grassland,Spain,PRJEB9654,ERR952507,SAMEA3474098,ERP010785,ERX1031477,ERS785374,91
PRJEB9654_ERR952508,HH1-2.2014,full-grazed,herbicide,siliceous,low mountain,2,PRJEB9654,2014,504568,4772450,8.9,4.97,1.48,20,4.98,148,0.48,1.19,7.298917,2975,20,2014-06-02,HH1-2.2014,grassland,Spain,PRJEB9654,ERR952508,SAMEA3474307,ERP010785,ERX1031478,ERS785583,102
PRJEB9654_ERR952509,HH1-3.2013,full-grazed,herbicide,siliceous,low mountain,3,PRJEB9654,2013,504542,4772421,12.04,6.37,0.77,30,4.59,184,0.6,1.41,5.847399,1962,8,2013-04-15,HH1-3.2013,grassland,Spain,PRJEB9654,ERR952509,SAMEA3474099,ERP010785,ERX1031479,ERS785375,104
PRJEB9654_ERR952510,HH1-3.2013,full-grazed,herbicide,siliceous,low mountain,3,PRJEB9654,2013,504542,4772421,12.04,6.37,0.77,30,4.59,184,0.6,1.41,5.847399,1962,8,2013-04-15,HH1-3.2013,grassland,Spain,PRJEB9654,ERR952510,SAMEA3474308,ERP010785,ERX1031480,ERS785584,104
PRJEB9654_ERR952511,HH1-3.2014,full-grazed,herbicide,siliceous,low mountain,3,PRJEB9654,2014,504542,4772421,9.32,6.37,1.75,20,4.44,151,0.45,1.48,8.850839,2874,15,2014-06-02,HH1-3.2014,grassland,Spain,PRJEB9654,ERR952511,SAMEA3474100,ERP010785,ERX1031481,ERS785376,91
PRJEB9654_ERR952512,HH1-3.2014,full-grazed,herbicide,siliceous,low mountain,3,PRJEB9654,2014,504542,4772421,9.32,6.37,1.75,20,4.44,151,0.45,1.48,8.850839,2874,15,2014-06-02,HH1-3.2014,grassland,Spain,PRJEB9654,ERR952512,SAMEA3474309,ERP010785,ERX1031482,ERS785585,54
PRJEB9654_ERR952513,HH1-4.2013,full-grazed,herbicide,siliceous,low mountain,4,PRJEB9654,2013,504531,4772448,11.11,7.33,0.82,34,4.56,179,0.51,0.91,3.530343,2488,13,2013-04-25,HH1-4.2013,grassland,Spain,PRJEB9654,ERR952513,SAMEA3474101,ERP010785,ERX1031483,ERS785377,115
PRJEB9654_ERR952514,HH1-4.2013,full-grazed,herbicide,siliceous,low mountain,4,PRJEB9654,2013,504531,4772448,11.11,7.33,0.82,34,4.56,179,0.51,0.91,3.530343,2488,13,2013-04-25,HH1-4.2013,grassland,Spain,PRJEB9654,ERR952514,SAMEA3474310,ERP010785,ERX1031484,ERS785586,116
PRJEB9654_ERR952515,HH1-4.2014,full-grazed,herbicide,siliceous,low mountain,4,PRJEB9654,2014,504531,4772448,8.1,7.33,1.74,14,4.56,117,0.36,1.13,6.248282,2553,10,2014-06-02,HH1-4.2014,grassland,Spain,PRJEB9654,ERR952515,SAMEA3474102,ERP010785,ERX1031485,ERS785378,111
PRJEB9654_ERR952516,HH1-4.2014,full-grazed,herbicide,siliceous,low mountain,4,PRJEB9654,2014,504531,4772448,8.1,7.33,1.74,14,4.56,117,0.36,1.13,6.248282,2553,10,2014-06-02,HH1-4.2014,grassland,Spain,PRJEB9654,ERR952516,SAMEA3474311,ERP010785,ERX1031486,ERS785587,54
