sampleID,sampleID.original,pH,pH.score
1,PP74,5.493,8.1
2,PP75,5.528,10.8
3,PP76,5.211,0
4,PP77,5.427,4.5
5,PP78,5.596,17.7
6,PP79,4.718,0
7,PP80,6.437,100
8,PP81,6.386,100
9,PP82,6.785,100
10,PP83,6.591,100
11,PP84,6.256,98.1
12,PP85,7.066,100
13,PP86,6.301,100
14,PP87,5.97,78
15,PP88,6.561,100
16,PP89,6.248,97.9
17,PP90,6.594,100
18,PP91,6.215,97
19,PP92,6.751,100
20,PP93,5.86,60.7
21,PP94,5.745,40.1
22,PP95,7.938,26.5
23,PP96,7.797,50.5
24,PP97,8.015,16.4
25,PP98,7.652,74.9
26,PP99,7.445,94.7
27,PP100,7.651,75.1
28,PP101,7.81,48.2
29,PP102,7.971,21.8
30,PP103,8.058,12
31,PP104,8.276,1.5
32,PP105,8.11,7.9
33,PP106,7.884,35.1
34,PP107,7.858,39.6
35,PP108,8.014,16.5
36,PP109,8.24,2.3
37,PP110,8.114,7.7
38,PP111,7.912,30.5
39,PP112,8.198,3.5
40,PP113,8.144,5.9
41,PP114,8.253,2
42,PP115,8.201,3.4
43,PP116,8.18,4.2
44,PP117,8.213,3
45,PP118,8.214,3
46,PP119,8.199,3.5
47,PP120,8.174,4.5
48,PP121,7.772,55.1
49,PP122,8.147,5.7
50,PP123,7.92,29.3
51,PP124,8.181,4.2
52,PP125,8.195,3.6
53,PP126,7.935,27
54,PP127,8.157,5.2
55,PP128,7.932,27.4
56,PP129,8.172,4.5
57,PP130,8.175,4.4
58,PP131,8.054,12.4
59,PP132,8.132,6.6
60,PP133,8.056,12.2
61,PP134,8.194,3.7
62,PP135,8.158,5.2
63,PP136,7.95,24.8
64,PP137,7.828,44.9
65,PP138,7.919,29.4
66,PP139,8.067,11.2
67,PP140,8.086,9.7
68,PP141,7.696,68.2
69,PP142,7.591,82.9
70,PP143,6.474,100
71,PP144,6.669,100
72,PP145,6.918,100
73,PP146,6.815,100
74,PP147,6.701,100
75,PP148,6.393,100
76,PP149,6.79,100
77,PP150,6.429,100
78,PP151,7.022,100
79,PP152,6.207,96.8
80,PP153,5.984,79.9
81,PP154,6.165,95.1
82,PP155,6.199,96.5
83,PP156,6.365,100
84,PP157,6.281,98.6
85,PP158,7.003,100
86,PP159,6.059,88
87,PP160,6.262,98.2
88,PP161,6.572,100
89,PP162,6.074,89.4
90,PP204,7.11,100
91,PP205,6.721,100
92,PP206,7.01,100
93,PP207,7.007,100
94,PP208,7.145,100
95,PP209,7.121,100
96,PP213,6.669,100
97,PP214,6.976,100
98,PP215,7.097,100
99,PP216,6.796,100
100,PP217,6.623,100
101,PP218,5.681,29.4
102,PP228,6.899,100
103,PP229,6.591,100
104,PP230,6.573,100
105,PP231,6.321,100
106,PP232,6.045,86.7
107,PP233,6.558,100
108,PP261,6.875,100
109,PP262,6.624,100
110,PP263,6.25,98
111,PP264,6.251,98
112,PP265,6.573,100
113,PP266,6.717,100
114,PP267,6.887,100
115,PP268,6.514,100
116,PP269,6.237,97.7
117,PP270,5.667,27.3
118,PP271,5.982,79.6
119,PP272,6.064,88.5
120,PP273,5.718,35.5
121,PP274,5.686,30.2
122,PP275,6.605,100
123,PP276,5.796,49.3
124,PP277,7.116,100
125,PP278,6.261,98.2
126,PP279,6.027,84.9
127,PP280,6.327,100
128,PP281,5.661,26.4
129,PP282,5.916,70.1
130,PP283,5.917,70.3
131,PP284,5.909,69
