index,d__Bacteria;__,d__Bacteria;p__Firmicutes,d__Archaea;p__Crenarchaeota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Deinococcota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__Bdellovibrionota,d__Archaea;p__Thermoplasmatota,d__Bacteria;p__RCP2-54,d__Bacteria;p__Armatimonadota,d__Archaea;p__Halobacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__MBNT15,d__Bacteria;p__NB1-j,d__Bacteria;p__GAL15,Unassigned;__,d__Bacteria;p__FCPU426,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Zixibacteria,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__WPS-2,d__Bacteria;p__Dadabacteria,d__Bacteria;p__WS2,d__Bacteria;p__Nitrospinota,d__Archaea;p__Aenigmarchaeota,d__Archaea;__,d__Eukaryota;p__Mucoromycota,d__Archaea;p__Euryarchaeota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Spirochaetota,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Dependentiae,d__Eukaryota;p__Chlorophyta,d__Bacteria;p__Hydrogenedentes,d__Eukaryota;p__Peronosporomycetes,d__Eukaryota;p__Holozoa,d__Archaea;p__Micrarchaeota,d__Eukaryota;__,d__Bacteria;p__Sva0485,d__Bacteria;p__Caldatribacteriota,d__Eukaryota;p__Cnidaria,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Campylobacterota,d__Eukaryota;p__SAR,d__Eukaryota;p__Ochrophyta,d__Eukaryota;p__Nematozoa,d__Bacteria;p__WS1,d__Bacteria;p__TX1A-33,d__Eukaryota;p__Ascomycota,d__Bacteria;p__Margulisbacteria,d__Bacteria;p__WOR-1,d__Bacteria;p__WS4,d__Eukaryota;p__Bicosoecida,d__Eukaryota;p__Zoopagomycota,d__Eukaryota;p__Ciliophora,d__Bacteria;p__DTB120,d__Eukaryota;p__MAST-12,d__Eukaryota;p__Amoebozoa,d__Archaea;p__Asgardarchaeota,d__Eukaryota;p__Diatomea,d__Eukaryota;p__Heterolobosea,d__Bacteria;p__TA06,d__Eukaryota;p__Cryptomycota,d__Bacteria;p__Cloacimonadota
S_0001,1124,99,242,321,490,578,22,444,278,55,88,27,103,220,0,22,3,32,0,11,11,0,19,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_0002,1047,95,185,256,426,516,29,359,246,50,39,30,108,165,0,2,6,26,0,4,7,6,24,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_0003,1252,127,184,363,481,709,40,441,272,66,81,49,124,239,0,4,4,36,0,0,29,4,11,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_0004,942,108,126,231,371,475,26,338,200,47,39,28,46,163,0,7,0,33,0,0,18,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_0005,1669,176,259,446,661,819,43,581,400,83,88,54,153,300,0,20,6,50,0,0,37,7,28,0,2,0,0,0,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_0006,1364,127,211,361,458,609,44,441,295,52,115,44,131,203,0,18,0,61,0,0,29,0,9,0,12,0,2,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_0007,908,138,196,469,495,676,18,411,272,48,70,30,92,217,0,8,0,29,0,10,21,4,30,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_0008,1283,219,415,652,880,1109,53,764,456,126,151,61,183,433,0,38,16,50,0,2,32,8,41,0,13,0,2,0,0,10,0,20,0,0,0,0,0,0,3,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_0009,683,104,83,196,263,354,22,256,136,38,55,16,38,100,0,0,0,16,0,0,6,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S_0010,935,106,174,272,376,544,26,419,240,62,71,23,78,188,0,2,11,25,0,2,11,0,17,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
