index,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Dadabacteria,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Deinococcota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__FCPU426,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Fusobacteriota,d__Bacteria;p__GAL15,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__Latescibacterota,d__Bacteria;p__MBNT15,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Myxococcota,d__Bacteria;p__NB1-j,d__Bacteria;p__Nitrospinota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__RCP2-54,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Spirochaetota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__Sva0485,d__Bacteria;p__TA06,d__Bacteria;p__TX1A-33,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__WPS-2,d__Bacteria;p__WS1,d__Bacteria;p__WS2,d__Bacteria;p__WS4,d__Bacteria;p__Zixibacteria
2020-Hojo-A-01_S1,0,8186,16882,211,1631,213,0,17709,769,0,14,0,0,3837,0,0,0,149,4608,0,0,496,0,0,21,738,151,2441,0,48,1738,56,2108,21986,188,0,69,0,249,0,17,1229,0,17,0,0,0
2020-Hojo-A-02_S2,0,4546,6012,102,619,66,0,4475,173,0,0,0,0,2197,0,0,0,42,1794,0,0,311,0,0,0,339,35,1400,0,83,528,15,453,7675,68,0,68,0,118,0,7,242,0,0,0,0,0
2020-Hojo-A-03_S3,3,19186,31450,576,1774,240,0,22983,2590,0,0,0,0,3275,0,0,0,194,7879,0,0,1694,0,0,175,929,590,6158,0,28,2103,96,4392,31736,394,10,116,35,321,0,0,2303,0,0,0,0,21
2020-Hojo-A-04_S4,0,23994,33565,412,2381,335,0,29500,1720,33,0,0,0,4564,0,0,0,279,13101,0,0,1656,0,0,228,1411,1301,6391,38,144,3529,100,4656,36350,662,6,194,17,575,0,0,2747,24,32,0,0,27
2020-Hojo-A-05_S5,0,605,1053,12,151,0,0,899,37,0,0,0,3,342,0,0,0,27,749,0,0,30,0,0,0,39,0,203,0,0,43,0,0,1029,0,0,7,0,30,0,0,0,0,0,0,0,0
2020-Hojo-A-06_S6,0,15771,34677,392,2606,576,5,24602,2002,15,23,0,11,4746,0,0,0,342,15726,0,0,796,0,0,96,735,560,5801,0,171,1476,52,3298,30948,273,0,139,20,306,0,0,2353,12,20,0,18,9
2020-Hojo-A-07_S7,0,12680,22352,437,3385,580,15,24599,2135,0,21,0,0,4568,0,0,0,427,11169,0,0,1039,0,0,42,1003,432,4879,14,37,2362,141,3704,32615,246,0,191,25,539,0,0,1985,0,0,0,0,28
2020-Hojo-A-08_S8,5,18468,23264,204,2698,502,0,20849,1774,9,33,0,32,3394,0,0,0,205,16379,0,0,760,0,0,94,571,524,6741,3,88,2003,68,4543,29379,251,31,224,11,462,0,14,2085,6,27,0,48,24
2020-Hojo-A-09_S9,5,10130,12506,298,1563,254,0,8205,434,20,20,0,12,2185,0,0,7,136,7651,0,0,521,0,0,92,237,280,3123,4,0,567,9,3439,17899,207,0,118,0,92,0,0,1557,10,11,0,0,0
2020-Hojo-A-10_S10,5,16067,33125,269,3765,918,17,22017,1304,0,0,0,18,4864,13,0,0,309,19071,0,0,1026,0,0,104,788,369,6517,2,108,2240,178,5622,40131,209,0,228,4,448,0,0,1745,0,15,0,0,47
2020-Hojo-AK-01_S31,0,33663,26918,1061,4404,681,0,39168,2900,76,50,0,13,3967,104,15,58,210,7311,0,0,2795,0,0,245,1075,2310,8760,76,67,3033,107,10903,51388,1345,76,303,7,510,0,0,6172,22,0,0,58,21
2020-Hojo-AK-02_S32,0,17100,15119,346,3417,249,0,20650,1983,32,35,0,21,3925,0,0,18,150,6531,6,0,1345,0,0,189,1154,808,5452,118,88,4260,83,3893,28071,517,16,336,21,584,0,0,1724,0,0,0,0,67
2020-Hojo-AK-03_S33,0,15403,12445,520,2324,487,0,23917,1298,26,29,0,51,2830,21,0,0,175,4529,0,0,1101,0,0,50,764,477,3632,40,49,2073,43,5649,32549,794,0,208,0,298,0,0,2759,95,13,0,0,8
2020-Hojo-AK-04_S34,3,19360,13332,330,1217,457,0,12188,140,6,0,0,0,1218,0,0,0,38,3874,0,0,1563,0,0,34,206,439,4109,13,0,602,13,3125,20725,239,0,128,0,121,0,0,1343,671,15,0,19,34
2020-Hojo-AK-05_S35,4,16691,14765,321,3370,662,15,31922,1960,0,12,0,21,4596,0,0,0,219,4109,0,0,911,0,0,41,1005,334,4385,29,0,4138,58,4647,28647,300,25,288,13,391,10,13,2512,27,6,0,0,38
2020-Hojo-AK-06_S36,3,22866,20840,256,3295,201,0,20201,843,46,41,0,41,3687,65,0,40,127,6092,0,0,1923,0,0,371,995,1325,6754,160,113,4388,58,5381,35266,742,0,450,0,437,0,0,2439,0,0,0,0,10
2020-Hojo-AK-07_S37,0,3124,5405,96,333,9,0,2199,78,0,0,0,0,218,0,0,0,16,541,0,0,680,0,0,20,0,20,844,0,0,87,0,671,5072,92,0,5,0,0,0,0,596,72,0,0,0,0
2020-Hojo-AK-08_S38,9,17133,31056,729,1359,241,0,17944,427,0,0,0,0,624,21,0,0,95,2228,0,0,3040,0,0,28,223,106,4144,0,0,654,61,5795,29705,280,0,20,0,27,0,0,2915,723,0,0,0,0
2020-Hojo-AK-09_S39,19,17703,41791,853,3673,442,0,16818,188,0,0,12,0,771,40,0,0,16,3899,0,0,5455,10,0,310,45,120,6054,4,0,577,53,4805,36119,231,13,8,40,0,0,0,3628,224,0,9,0,0
2020-Hojo-AK-10_S40,0,13322,20803,386,475,206,0,15374,30,0,0,0,0,378,0,0,0,19,1858,0,0,1761,0,0,27,0,177,2256,0,0,293,0,3418,21162,149,0,20,0,16,0,0,1377,1156,0,0,0,0
2020-Hojo-N-01_S11,0,23469,42786,488,3634,995,0,38625,16434,71,55,0,65,4940,7,0,71,587,50759,18,0,1458,0,0,209,1234,1306,14745,168,174,5636,280,17567,60428,537,18,449,5,600,12,12,4389,0,18,0,22,33
2020-Hojo-N-02_S12,0,16193,31167,168,1684,597,0,17785,2983,66,11,0,35,2346,0,0,21,212,23465,0,0,694,0,0,149,685,949,5483,298,104,2656,61,12079,49726,422,0,279,0,567,0,0,2479,23,0,0,23,9
2020-Hojo-N-03_S13,0,2946,6262,9,699,177,0,3287,839,4,12,0,7,682,0,0,30,131,12169,5,0,90,0,0,33,192,99,2155,47,58,1177,24,1316,9915,94,0,138,0,146,0,0,488,0,0,0,0,6
2020-Hojo-N-04_S14,0,17839,18005,266,1946,488,0,19644,1188,99,17,0,13,2308,0,0,17,118,16289,0,0,1074,0,0,64,626,828,7679,80,45,1819,55,7676,36983,527,26,133,24,219,0,10,2265,129,0,0,0,0
2020-Hojo-N-05_S15,0,12798,12905,277,1621,566,0,16176,1130,46,41,0,12,2095,0,0,7,219,16663,0,0,1003,0,0,11,629,415,5776,23,66,1658,56,5442,29213,294,9,161,15,376,0,0,1507,60,12,0,18,7
2020-Hojo-N-06_S16,3,11288,18701,188,1657,593,4,18418,1982,72,26,0,31,2753,0,0,35,464,28826,0,0,353,0,0,30,717,609,6223,55,39,2775,89,6329,32238,437,18,289,0,219,12,10,1297,5,0,0,0,22
2020-Hojo-N-07_S17,0,10201,10902,123,1127,414,0,14037,733,45,17,0,53,1297,0,0,14,96,7083,0,0,668,0,0,41,479,505,3141,68,26,1233,29,5525,20922,401,4,96,0,258,0,5,1512,10,13,0,0,6
2020-Hojo-N-08_S18,0,7485,10525,193,789,395,0,9201,1447,34,7,0,18,1137,0,0,23,276,13780,0,0,435,6,0,72,325,336,3666,7,33,812,10,4341,23800,435,18,82,12,131,0,0,1431,0,0,0,9,0
2020-Hojo-N-09_S19,0,7649,13391,323,1131,259,0,20652,1982,86,23,0,26,2156,48,0,0,280,12173,0,0,766,0,0,28,877,656,3919,23,53,2145,42,3254,23463,568,19,127,17,298,4,0,1926,7,0,0,27,0
2020-Hojo-N-10_S20,0,7493,17111,509,1719,133,0,18655,611,34,31,0,0,1593,12,0,0,86,7353,0,0,1105,0,0,155,708,665,3701,172,96,1253,3,2251,19005,318,12,69,0,128,4,12,1904,10,0,0,18,14
2020-Hojo-S-1_S21,5,10926,27373,508,775,214,0,9727,85,0,0,7,4,378,0,85,0,0,13405,0,0,3959,20,0,425,67,1072,3010,122,0,697,6,2820,19550,51,14,0,12,0,0,0,1087,0,0,0,0,5
2020-Hojo-S-10_S30,0,1582,20329,11,19,101,0,3752,30,0,0,3834,10,29,0,0,0,0,72921,0,0,2444,18,0,0,0,0,871,0,0,27,14,558,5664,83,0,0,0,0,0,0,1958,0,0,0,0,0
2020-Hojo-S-2_S22,0,1247,25515,8,218,32,0,4260,0,0,0,0,0,120,0,0,0,0,37543,0,0,853,10,0,14,10,278,1006,0,0,41,50,859,21410,0,0,0,0,0,0,0,477,0,0,4,0,0
2020-Hojo-S-3_S23,0,9992,33152,937,985,280,0,10995,712,0,0,80,0,214,0,112,0,19,11258,0,0,5013,26,0,299,0,660,3416,34,0,703,8,3132,21259,120,0,0,14,0,0,0,1027,0,0,0,0,0
2020-Hojo-S-4_S24,0,9564,28967,664,1218,247,0,10103,130,0,0,19,0,150,23,22,0,0,15725,0,0,5037,30,0,350,70,527,3396,86,0,526,46,2965,22598,58,0,0,6,0,0,0,1136,4,0,0,0,0
2020-Hojo-S-5_S25,6,12755,47794,950,1449,472,0,13017,76,0,0,0,0,305,20,69,0,10,16006,0,0,5196,18,0,348,52,1131,3872,161,0,905,31,4261,27098,92,0,0,18,0,0,0,2147,0,0,0,0,0
2020-Hojo-S-6_S26,0,16844,46411,963,3108,837,0,15049,465,0,0,12,17,1308,0,169,0,0,69817,0,0,7794,0,0,492,100,2857,6450,153,0,1236,0,4951,40023,121,0,15,19,0,0,0,2279,0,0,4,0,17
2020-Hojo-S-7_S27,0,10839,32174,697,1670,534,0,10226,1785,0,0,22,18,89,14,0,0,0,80306,0,0,12691,0,0,30,13,502,3985,0,0,494,64,3676,33270,0,0,3,20,0,0,0,1662,0,0,20,0,0
2020-Hojo-S-8_S28,0,7584,14873,373,204,472,0,1813,2339,0,0,12,0,0,0,0,0,6,40253,0,0,3375,7,0,0,0,0,1611,0,0,57,0,821,18949,0,0,0,0,0,0,0,361,1927,0,0,0,0
