index,d__Bacteria,d__Archaea,Unassigned,d__Eukaryota,asv-id,Hojo,crop-id,year,pref,crop,date,lati,long,latlng1d,SoilTypeID,SoilTypeID2
2020-Hojo-A-01_S1,95324.0,1344.0,7.0,0.0,2020-Hojo-A-01,Hojo,001_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.681272,140.591959,8.82441,F2h3t3,F2h3t3
2020-Hojo-A-02_S2,33579.0,225.0,2.0,0.0,2020-Hojo-A-02,Hojo,002_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.681509,140.58913,8.82248,F2h3t3,F2h3t3
2020-Hojo-A-03_S3,151748.0,2173.0,27.0,3.0,2020-Hojo-A-03,Hojo,003_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.679064,140.59184,8.82284,F2h3t3,F2h3t3
2020-Hojo-A-04_S4,184909.0,2089.0,45.0,0.0,2020-Hojo-A-04,Hojo,004_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.677932,140.5924,8.82249,F2h3t3,F2h3t3
2020-Hojo-A-05_S5,5125.0,22.0,0.0,0.0,2020-Hojo-A-05,Hojo,005_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.671709,140.595851,8.82085,F2a6t2,F2h3t3
2020-Hojo-A-06_S6,169456.0,1610.0,14.0,10.0,2020-Hojo-A-06,Hojo,006_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.672182,140.596074,8.82133,F2a6t2,F2a6t2
2020-Hojo-A-07_S7,150659.0,2632.0,48.0,0.0,2020-Hojo-A-07,Hojo,007_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.67305,140.604542,8.82818,D3z1v3,D3z1v3
2020-Hojo-A-08_S8,151838.0,2247.0,7.0,0.0,2020-Hojo-A-08,Hojo,008_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.667091,140.640776,8.85095,F1z1t1,F1z1t1
2020-Hojo-A-09_S9,79729.0,1358.0,0.0,2.0,2020-Hojo-A-09,Hojo,009_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.66749,140.64069,8.85115,F1z1t1,F1z1t1
2020-Hojo-A-10_S10,184767.0,2930.0,45.0,0.0,2020-Hojo-A-10,Hojo,010_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.671808,140.639024,8.85283,F1z1t1,F1z1t1
2020-Hojo-AK-01_S31,249543.0,2789.0,46.0,0.0,2020-Hojo-AK-01,Hojo,011_20_Akit_Rice,20.0,Akit,Rice,2020/10/14,39.81189,140.147256,7.9102,F2a2t1,F2a2t1
2020-Hojo-AK-02_S32,142950.0,2507.0,14.0,0.0,2020-Hojo-AK-02,Hojo,012_20_Akit_Rice,20.0,Akit,Rice,2020/10/14,39.730769,140.216625,7.90685,F2a1t1,F2a1t1
