index,d__Bacteria;p__Firmicutes,d__Bacteria;p__Actinobacteriota,d__Archaea;p__Crenarchaeota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Acidobacteriota,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Myxococcota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__MBNT15,d__Archaea;p__Halobacterota,d__Archaea;p__Euryarchaeota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Deinococcota,d__Bacteria;__,d__Bacteria;p__RCP2-54,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__WPS-2,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Latescibacterota,d__Bacteria;p__Entotheonellaeota,d__Bacteria;p__Sva0485,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__NB1-j,d__Bacteria;p__Dadabacteria,d__Bacteria;p__GAL15,d__Bacteria;p__Nitrospinota,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__Dependentiae,Unassigned;__,d__Bacteria;p__FCPU426,d__Bacteria;p__Zixibacteria,d__Archaea;p__Thermoplasmatota,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__Deferrisomatota,d__Bacteria;p__Sumerlaeota,d__Bacteria;p__WS4,d__Bacteria;p__WS2,d__Bacteria;p__TX1A-33,d__Bacteria;p__TA06,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__WS1,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__LCP-89,d__Bacteria;p__Campylobacterota,d__Eukaryota;p__Phragmoplastophyta,d__Archaea;p__Aenigmarchaeota,d__Bacteria;p__WOR-1,d__Archaea;p__Micrarchaeota,d__Archaea;p__Altiarchaeota,d__Bacteria;p__Fusobacteriota,d__Archaea;__,d__Bacteria;p__DTB120,d__Eukaryota;__,d__Bacteria;p__Cloacimonadota,d__Bacteria;p__Acetothermia,d__Bacteria;p__Modulibacteria,d__Bacteria;p__Margulisbacteria,d__Bacteria;p__PAUC34f,d__Bacteria;p__Firestonebacteria,d__Bacteria;p__NKB15,d__Eukaryota;p__Microsporidia,d__Archaea;p__Asgardarchaeota,d__Eukaryota;p__Cnidaria,d__Archaea;p__Iainarchaeota,d__Bacteria;p__uncultured,d__Archaea;p__Hadarchaeota,asv-id,Hojo,crop-id,year,pref,crop,date,lati,long,latlng1d,SoilTypeID,SoilTypeID2
2020-Hojo-A-01_S1,4723.0,16632.0,557.0,22079.0,21228.0,1778.0,9185.0,175.0,1748.0,595.0,2733.0,2969.0,2014.0,3731.0,834.0,383.0,390.0,1986.0,0.0,1231.0,48.0,245.0,0.0,78.0,317.0,146.0,100.0,0.0,352.0,0.0,147.0,0.0,0.0,0.0,47.0,11.0,58.0,25.0,7.0,18.0,8.0,3.0,0.0,19.0,23.0,0.0,0.0,16.0,6.0,0.0,16.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-A-01,Hojo,001_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.681272,140.591959,8.82441,F2h3t3,F2h3t3
2020-Hojo-A-02_S2,1863.0,5940.0,151.0,8014.0,5146.0,336.0,4801.0,24.0,515.0,324.0,452.0,1440.0,497.0,2135.0,386.0,47.0,27.0,646.0,0.0,363.0,59.0,126.0,0.0,65.0,111.0,42.0,0.0,0.0,158.0,0.0,31.0,0.0,0.0,0.0,84.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-A-02,Hojo,002_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.681509,140.58913,8.82248,F2h3t3,F2h3t3
2020-Hojo-A-03_S3,8572.0,30769.0,1261.0,33446.0,24439.0,2463.0,19995.0,642.0,2113.0,1824.0,5282.0,6725.0,4987.0,2908.0,978.0,474.0,421.0,2042.0,0.0,1659.0,102.0,577.0,0.0,201.0,642.0,182.0,258.0,0.0,363.0,0.0,263.0,0.0,5.0,0.0,52.0,17.0,45.0,58.0,27.0,9.0,37.0,0.0,0.0,47.0,25.0,35.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-A-03,Hojo,003_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.679064,140.59184,8.82284,F2h3t3,F2h3t3
2020-Hojo-A-04_S4,13890.0,32692.0,1186.0,38185.0,31365.0,3216.0,25512.0,1628.0,3641.0,1817.0,5710.0,7541.0,3490.0,4550.0,1646.0,475.0,400.0,2848.0,0.0,2869.0,127.0,392.0,23.0,238.0,621.0,351.0,580.0,0.0,739.0,0.0,280.0,39.0,31.0,0.0,356.0,28.0,117.0,109.0,45.0,39.0,54.0,0.0,6.0,110.0,26.0,0.0,6.0,0.0,0.0,0.0,29.0,10.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-A-04,Hojo,004_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.677932,140.5924,8.82249,F2h3t3,F2h3t3
2020-Hojo-A-05_S5,773.0,1000.0,14.0,987.0,813.0,0.0,564.0,0.0,14.0,10.0,34.0,215.0,42.0,291.0,37.0,8.0,0.0,196.0,0.0,71.0,0.0,0.0,0.0,7.0,0.0,25.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-A-05,Hojo,005_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.671709,140.595851,8.82085,F2a6t2,F2h3t3
2020-Hojo-A-06_S6,17399.0,35485.0,602.0,33588.0,26966.0,3201.0,17750.0,777.0,1640.0,1079.0,4361.0,6867.0,4671.0,4777.0,942.0,546.0,433.0,3784.0,0.0,2347.0,71.0,977.0,12.0,254.0,563.0,432.0,178.0,0.0,499.0,0.0,245.0,15.0,15.0,0.0,139.0,29.0,90.0,57.0,14.0,10.0,25.0,0.0,28.0,112.0,23.0,18.0,0.0,0.0,0.0,0.0,30.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2020-Hojo-A-06,Hojo,006_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.672182,140.596074,8.82133,F2a6t2,F2a6t2
2020-Hojo-A-07_S7,11844.0,23052.0,847.0,34382.0,27600.0,2516.0,14532.0,462.0,2454.0,1150.0,4992.0,6205.0,5095.0,4661.0,1241.0,877.0,867.0,4513.0,7.0,1805.0,69.0,888.0,0.0,310.0,726.0,441.0,137.0,0.0,729.0,0.0,312.0,0.0,13.0,0.0,125.0,33.0,53.0,79.0,48.0,13.0,28.0,2.0,11.0,25.0,36.0,15.0,7.0,14.0,17.0,0.0,29.0,0.0,29.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-A-07,Hojo,007_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.67305,140.604542,8.82818,D3z1v3,D3z1v3
2020-Hojo-A-08_S8,19406.0,23353.0,545.0,31409.0,21632.0,2676.0,19069.0,493.0,1965.0,775.0,5460.0,8058.0,4519.0,3518.0,598.0,983.0,647.0,3540.0,21.0,1335.0,118.0,952.0,31.0,392.0,529.0,369.0,170.0,0.0,505.0,7.0,280.0,0.0,8.0,0.0,156.0,45.0,102.0,132.0,7.0,8.0,31.0,27.0,9.0,51.0,35.0,56.0,0.0,10.0,22.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-A-08,Hojo,008_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.667091,140.640776,8.85095,F1z1t1,F1z1t1
2020-Hojo-A-09_S9,8659.0,12608.0,240.0,19520.0,8699.0,1992.0,10534.0,377.0,559.0,529.0,4041.0,3508.0,1318.0,2226.0,215.0,707.0,382.0,2158.0,6.0,698.0,87.0,449.0,8.0,210.0,542.0,201.0,95.0,0.0,114.0,5.0,68.0,4.0,20.0,0.0,0.0,14.0,55.0,36.0,0.0,7.0,11.0,15.0,0.0,21.0,56.0,59.0,0.0,9.0,4.0,0.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-Hojo-A-09,Hojo,009_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.66749,140.64069,8.85115,F1z1t1,F1z1t1
2020-Hojo-A-10_S10,22348.0,34097.0,938.0,42443.0,24982.0,2657.0,17861.0,375.0,2358.0,1298.0,7282.0,8100.0,3707.0,5001.0,845.0,882.0,1042.0,5003.0,27.0,1743.0,75.0,1348.0,0.0,367.0,397.0,422.0,153.0,0.0,656.0,15.0,364.0,1.0,0.0,0.0,102.0,45.0,118.0,160.0,45.0,33.0,77.0,5.0,21.0,59.0,40.0,54.0,8.0,18.0,17.0,5.0,32.0,15.0,0.0,23.0,0.0,0.0,13.0,4.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2020-Hojo-A-10,Hojo,010_20_Aomo_Rice,20.0,Aomo,Rice,2020/11/7,40.671808,140.639024,8.85283,F1z1t1,F1z1t1
