,Available_P_ST,Pred_Available_P_ST,True_Available_P_ST,土地,作物,土地_作物
006_20_Aomo_Rice,10.800553,16.0,5.1994467,Aomo,Rice,Aomo_Rice
010_20_Aomo_Rice,3.8730555,10.512121,14.385177,Aomo,Rice,Aomo_Rice
096_20_Hyog_Rice,2.5466814,14.453322,17.000004,Hyog,Rice,Hyog_Rice
126_20_Miyz_Spin,2.0,38.0,40.0,Miyz,Spin,Miyz_Spin
029_20_Niig_Rice,5.0941105,10.105537,5.011427,Niig,Rice,Niig_Rice
070_20_Naga_Rice,16.0,32.0,48.0,Naga,Rice,Naga_Rice
044_20_Sait_Broc,38.041405,30.0,68.041405,Sait,Broc,Sait_Broc
047_20_Sait_Burd,24.887482,49.0,73.88748,Sait,Burd,Sait_Burd
137_21_Akit_Soyb,6.0,27.0,21.0,Akit,Soyb,Akit_Soyb
139_21_Akit_Soyb,9.0,32.0,41.0,Akit,Soyb,Akit_Soyb
140_21_Akit_Soyb,3.0,30.0,27.0,Akit,Soyb,Akit_Soyb
156_21_Miyz_Spin,19.756187,75.75619,56.0,Miyz,Spin,Miyz_Spin
168_21_Miyz_Spin,140.19666,65.80335,206.0,Miyz,Spin,Miyz_Spin
172_21_Miyz_Spin,351.00003,46.0,397.00003,Miyz,Spin,Miyz_Spin
177_21_Miyz_Spin,2.0,26.0,24.0,Miyz,Spin,Miyz_Spin
201_21_Miyz_Spin,5.0,38.0,43.0,Miyz,Spin,Miyz_Spin
219_21_Miyz_Edam,33.046356,36.953644,70.0,Miyz,Edam,Miyz_Edam
227_21_Miyz_Edam,18.886879,117.88689,99.00001,Miyz,Edam,Miyz_Edam
228_21_Miyz_Edam,18.0,48.0,30.0,Miyz,Edam,Miyz_Edam
232_21_Miyz_Edam,0.9815788,18.018421,19.0,Miyz,Edam,Miyz_Edam
238_21_Miyz_Spin,7.0,15.0,22.0,Miyz,Spin,Miyz_Spin
249_21_Aomo_Appl,5.2790337,40.279034,35.0,Aomo,Appl,Aomo_Appl
271_22_Naga_Rice,7.020981,38.97902,46.0,Naga,Rice,Naga_Rice
309_22_Chib_Whea,6.0,9.0,3.0,Chib,Whea,Chib_Whea
316_22_Miyg_Rice,2.991714,7.991714,5.0,Miyg,Rice,Miyg_Rice
339_22_Yama_Rice,1.7983246,20.798325,19.0,Yama,Rice,Yama_Rice
349_22_Sait_Pear,48.000008,43.0,91.00001,Sait,Pear,Sait_Pear
353_22_Sait_Pear,33.676743,86.32326,120.0,Sait,Pear,Sait_Pear
