,Available_P_ST,Pred_Available_P_ST,True_Available_P_ST,土地,作物,土地_作物
006_20_Aomo_Rice,8.800553,14.0,5.1994467,Aomo,Rice,Aomo_Rice
010_20_Aomo_Rice,3.469328,10.915849,14.385177,Aomo,Rice,Aomo_Rice
096_20_Hyog_Rice,6.86689,23.866894,17.000004,Hyog,Rice,Hyog_Rice
126_20_Miyz_Spin,10.0,50.0,40.0,Miyz,Spin,Miyz_Spin
029_20_Niig_Rice,8.988573,14.0,5.011427,Niig,Rice,Niig_Rice
070_20_Naga_Rice,18.0,30.0,48.0,Naga,Rice,Naga_Rice
044_20_Sait_Broc,41.041405,27.0,68.041405,Sait,Broc,Sait_Broc
047_20_Sait_Burd,4.1125183,78.0,73.88748,Sait,Burd,Sait_Burd
137_21_Akit_Soyb,15.470444,36.470444,21.0,Akit,Soyb,Akit_Soyb
139_21_Akit_Soyb,8.0,49.0,41.0,Akit,Soyb,Akit_Soyb
140_21_Akit_Soyb,19.0,46.0,27.0,Akit,Soyb,Akit_Soyb
156_21_Miyz_Spin,29.719582,85.71958,56.0,Miyz,Spin,Miyz_Spin
168_21_Miyz_Spin,60.589645,145.41035,206.0,Miyz,Spin,Miyz_Spin
172_21_Miyz_Spin,316.74164,80.25838,397.00003,Miyz,Spin,Miyz_Spin
177_21_Miyz_Spin,14.0,38.0,24.0,Miyz,Spin,Miyz_Spin
201_21_Miyz_Spin,37.24067,80.24067,43.0,Miyz,Spin,Miyz_Spin
219_21_Miyz_Edam,6.6149826,63.385017,70.0,Miyz,Edam,Miyz_Edam
227_21_Miyz_Edam,124.47947,223.47948,99.00001,Miyz,Edam,Miyz_Edam
228_21_Miyz_Edam,21.0,51.0,30.0,Miyz,Edam,Miyz_Edam
232_21_Miyz_Edam,20.0,39.0,19.0,Miyz,Edam,Miyz_Edam
238_21_Miyz_Spin,17.0,39.0,22.0,Miyz,Spin,Miyz_Spin
249_21_Aomo_Appl,4.061287,39.061287,35.0,Aomo,Appl,Aomo_Appl
271_22_Naga_Rice,1.0,45.0,46.0,Naga,Rice,Naga_Rice
309_22_Chib_Whea,6.800989,9.800989,3.0,Chib,Whea,Chib_Whea
316_22_Miyg_Rice,13.0,18.0,5.0,Miyg,Rice,Miyg_Rice
339_22_Yama_Rice,7.0174694,26.01747,19.0,Yama,Rice,Yama_Rice
349_22_Sait_Pear,53.89287,37.107136,91.00001,Sait,Pear,Sait_Pear
353_22_Sait_Pear,19.0,101.0,120.0,Sait,Pear,Sait_Pear
354_22_Sait_Pear,126.1031,83.8969,210.0,Sait,Pear,Sait_Pear
361_22_Miee_Soyb,24.0,43.0,19.0,Miee,Soyb,Miee_Soyb
372_22_Miee_Soyb,7.98238,31.01762,39.0,Miee,Soyb,Miee_Soyb
004_20_Aomo_Rice,9.424924,20.0,10.575076,Aomo,Rice,Aomo_Rice
008_20_Aomo_Rice,3.6474743,14.0,10.352526,Aomo,Rice,Aomo_Rice
018_20_Akit_Soyb,14.915272,28.915272,14.0,Akit,Soyb,Akit_Soyb
095_20_Hyog_Rice,20.0,32.0,12.0,Hyog,Rice,Hyog_Rice
025_20_Niig_Rice,3.7597704,14.0,10.24023,Niig,Rice,Niig_Rice
028_20_Niig_Rice,3.2228174,11.425907,8.20309,Niig,Rice,Niig_Rice
141_21_Miyz_Spin,167.53703,214.53703,47.0,Miyz,Spin,Miyz_Spin
146_21_Miyz_Spin,146.04153,210.04153,64.0,Miyz,Spin,Miyz_Spin
148_21_Miyz_Spin,21.812382,57.81238,36.0,Miyz,Spin,Miyz_Spin
157_21_Miyz_Spin,20.376884,83.376884,63.0,Miyz,Spin,Miyz_Spin
165_21_Miyz_Spin,179.80162,157.19844,337.00006,Miyz,Spin,Miyz_Spin
178_21_Miyz_Spin,13.999996,74.0,60.000004,Miyz,Spin,Miyz_Spin
183_21_Miyz_Spin,32.0,50.0,18.0,Miyz,Spin,Miyz_Spin
209_21_Miyz_Spin,14.074036,142.92596,157.0,Miyz,Spin,Miyz_Spin
222_21_Miyz_Edam,22.71357,55.286423,77.99999,Miyz,Edam,Miyz_Edam
244_21_Aomo_Appl,78.0,75.0,153.0,Aomo,Appl,Aomo_Appl
246_21_Aomo_Appl,37.864952,59.864952,22.0,Aomo,Appl,Aomo_Appl
260_21_Naga_Appl,5.0,46.0,41.0,Naga,Appl,Naga_Appl
261_21_Naga_Appl,21.0,43.0,22.0,Naga,Appl,Naga_Appl
262_21_Naga_Appl,1.0,52.0,51.0,Naga,Appl,Naga_Appl
263_21_Naga_Appl,62.57688,77.57688,15.0,Naga,Appl,Naga_Appl
275_22_Naga_Rice,15.000002,43.0,27.999998,Naga,Rice,Naga_Rice
289_22_Hokk_Whea,10.794434,23.794434,13.0,Hokk,Whea,Hokk_Whea
291_22_Hokk_Whea,11.0,38.0,49.0,Hokk,Whea,Hokk_Whea
295_22_Hokk_Whea,8.029671,20.02967,12.0,Hokk,Whea,Hokk_Whea
304_22_Hokk_Whea,45.32068,61.32068,16.0,Hokk,Whea,Hokk_Whea
307_22_Hokk_Whea,125.078674,46.921314,171.99998,Hokk,Whea,Hokk_Whea
324_22_Niig_Rice,1.0,19.0,20.0,Niig,Rice,Niig_Rice
351_22_Sait_Pear,6.1978836,61.197884,55.0,Sait,Pear,Sait_Pear
363_22_Miee_Soyb,15.508236,22.491764,38.0,Miee,Soyb,Miee_Soyb
367_22_Miee_Soyb,48.74269,33.25731,82.0,Miee,Soyb,Miee_Soyb
007_20_Aomo_Rice,2.466712,15.0,12.533288,Aomo,Rice,Aomo_Rice
020_20_Akit_Soyb,6.4363527,14.563647,21.0,Akit,Soyb,Akit_Soyb
093_20_Hyog_Rice,1.0856133,19.914387,21.0,Hyog,Rice,Hyog_Rice
122_20_Miyz_Spin,4.0,43.0,47.0,Miyz,Spin,Miyz_Spin
069_20_Naga_Rice,31.06444,17.93556,49.0,Naga,Rice,Naga_Rice
043_20_Sait_Carr,50.992344,74.47752,23.48518,Sait,Carr,Sait_Carr
050_20_Sait_Stra,103.59442,40.513657,144.10808,Sait,Stra,Sait_Stra
142_21_Miyz_Spin,126.84012,157.15988,284.0,Miyz,Spin,Miyz_Spin
143_21_Miyz_Spin,76.06911,125.93091,202.00002,Miyz,Spin,Miyz_Spin
154_21_Miyz_Spin,14.8411255,100.841125,86.0,Miyz,Spin,Miyz_Spin
173_21_Miyz_Spin,13.305836,61.305836,48.0,Miyz,Spin,Miyz_Spin
180_21_Miyz_Spin,32.0,43.0,75.0,Miyz,Spin,Miyz_Spin
182_21_Miyz_Spin,23.0,46.0,23.0,Miyz,Spin,Miyz_Spin
190_21_Miyz_Spin,14.0,29.0,43.0,Miyz,Spin,Miyz_Spin
204_21_Miyz_Spin,3.0,43.0,46.0,Miyz,Spin,Miyz_Spin
208_21_Miyz_Spin,44.999992,46.0,90.99999,Miyz,Spin,Miyz_Spin
210_21_Miyz_Spin,46.800644,110.199356,157.0,Miyz,Spin,Miyz_Spin
211_21_Miyz_Spin,27.0,100.0,127.0,Miyz,Spin,Miyz_Spin
212_21_Miyz_Edam,2.0736294,17.92637,20.0,Miyz,Edam,Miyz_Edam
231_21_Miyz_Edam,1.0,35.0,34.0,Miyz,Edam,Miyz_Edam
237_21_Miyz_Spin,8.435345,37.564655,46.0,Miyz,Spin,Miyz_Spin
247_21_Aomo_Appl,9.739891,90.73989,81.0,Aomo,Appl,Aomo_Appl
267_21_Naga_Appl,18.250193,25.749807,44.0,Naga,Appl,Naga_Appl
268_21_Naga_Appl,7.9913406,68.00866,76.0,Naga,Appl,Naga_Appl
273_22_Naga_Rice,205.1273,217.8727,423.0,Naga,Rice,Naga_Rice
288_22_Hokk_Soyb,8.0,27.0,35.0,Hokk,Soyb,Hokk_Soyb
299_22_Hokk_Whea,15.0,15.0,30.0,Hokk,Whea,Hokk_Whea
312_22_Chib_Whea,5.9999995,12.0,6.0000005,Chib,Whea,Chib_Whea
315_22_Miyg_Rice,8.0,15.0,7.0,Miyg,Rice,Miyg_Rice
327_22_Niig_Pear,209.2071,52.79289,262.0,Niig,Pear,Niig_Pear
342_22_Yama_Rice,9.705881,20.705881,11.0,Yama,Rice,Yama_Rice
011_20_Akit_Rice,4.0,19.0,15.0,Akit,Rice,Akit_Rice
016_20_Akit_Rice,7.0,39.0,32.0,Akit,Rice,Akit_Rice
017_20_Akit_Soyb,8.0,12.0,20.0,Akit,Soyb,Akit_Soyb
019_20_Akit_Soyb,6.0,30.0,36.0,Akit,Soyb,Akit_Soyb
123_20_Miyz_Spin,23.935505,49.935505,26.0,Miyz,Spin,Miyz_Spin
130_20_Miyz_Spin,6.0,32.0,26.0,Miyz,Spin,Miyz_Spin
068_20_Naga_Rice,10.0,40.0,50.0,Naga,Rice,Naga_Rice
131_21_Akit_Edam,11.0,43.0,32.0,Akit,Edam,Akit_Edam
132_21_Akit_Edam,9.0,44.0,35.0,Akit,Edam,Akit_Edam
133_21_Akit_Edam,57.23764,166.23764,109.0,Akit,Edam,Akit_Edam
136_21_Akit_Soyb,14.0,49.0,63.0,Akit,Soyb,Akit_Soyb
150_21_Miyz_Spin,241.78152,302.78152,61.0,Miyz,Spin,Miyz_Spin
160_21_Miyz_Spin,126.97441,156.02559,283.0,Miyz,Spin,Miyz_Spin
161_21_Miyz_Spin,93.80417,129.80417,36.0,Miyz,Spin,Miyz_Spin
175_21_Miyz_Spin,12.039223,112.03922,100.0,Miyz,Spin,Miyz_Spin
188_21_Miyz_Spin,18.0,47.0,29.0,Miyz,Spin,Miyz_Spin
196_21_Miyz_Spin,54.509193,99.49081,154.0,Miyz,Spin,Miyz_Spin
203_21_Miyz_Spin,76.0,130.0,206.0,Miyz,Spin,Miyz_Spin
216_21_Miyz_Edam,54.469406,128.4694,74.0,Miyz,Edam,Miyz_Edam
218_21_Miyz_Edam,3.0,49.0,46.0,Miyz,Edam,Miyz_Edam
221_21_Miyz_Edam,27.00219,73.99781,101.0,Miyz,Edam,Miyz_Edam
248_21_Aomo_Appl,78.99999,44.0,122.99999,Aomo,Appl,Aomo_Appl
302_22_Hokk_Whea,7.0,32.0,39.0,Hokk,Whea,Hokk_Whea
303_22_Hokk_Whea,20.261925,55.738075,76.0,Hokk,Whea,Hokk_Whea
305_22_Hokk_Whea,1.0386295,20.03863,19.0,Hokk,Whea,Hokk_Whea
323_22_Niig_Rice,10.0,8.0,18.0,Niig,Rice,Niig_Rice
325_22_Niig_Rice,3.5740366,11.425963,15.0,Niig,Rice,Niig_Rice
338_22_Yama_Rice,5.582197,24.582197,19.0,Yama,Rice,Yama_Rice
343_22_Yama_Rice,11.734066,25.734066,14.0,Yama,Rice,Yama_Rice
352_22_Sait_Pear,41.41681,25.58319,67.0,Sait,Pear,Sait_Pear
364_22_Miee_Soyb,6.0260735,51.026073,45.0,Miee,Soyb,Miee_Soyb
003_20_Aomo_Rice,5.1069326,15.466446,10.359513,Aomo,Rice,Aomo_Rice
021_20_Niig_Rice,13.999383,20.628119,6.6287355,Niig,Rice,Niig_Rice
138_21_Akit_Soyb,8.0,43.0,35.0,Akit,Soyb,Akit_Soyb
176_21_Miyz_Spin,1.0,46.0,45.0,Miyz,Spin,Miyz_Spin
179_21_Miyz_Spin,12.955475,73.955475,61.0,Miyz,Spin,Miyz_Spin
181_21_Miyz_Spin,18.0,39.0,21.0,Miyz,Spin,Miyz_Spin
184_21_Miyz_Spin,26.0,35.0,9.0,Miyz,Spin,Miyz_Spin
189_21_Miyz_Spin,51.15748,67.842514,118.99999,Miyz,Spin,Miyz_Spin
191_21_Miyz_Spin,5.7278233,20.727823,15.0,Miyz,Spin,Miyz_Spin
193_21_Miyz_Spin,13.0,21.0,8.0,Miyz,Spin,Miyz_Spin
207_21_Miyz_Spin,89.999985,74.0,163.99998,Miyz,Spin,Miyz_Spin
240_21_Aomo_Appl,17.911919,68.91192,51.0,Aomo,Appl,Aomo_Appl
241_21_Aomo_Appl,24.98349,73.98349,49.0,Aomo,Appl,Aomo_Appl
242_21_Aomo_Appl,4.0,47.0,43.0,Aomo,Appl,Aomo_Appl
250_21_Aomo_Appl,18.97908,64.02092,83.0,Aomo,Appl,Aomo_Appl
251_21_Aomo_Appl,0.098526,86.901474,87.0,Aomo,Appl,Aomo_Appl
258_21_Sait_Spin,128.0,19.0,147.0,Sait,Spin,Sait_Spin
