,Exchangeable_K_ST,Pred_Exchangeable_K_ST,True_Exchangeable_K_ST,土地,作物,土地_作物
006_20_Aomo_Rice,2.8020535,15.5,18.302053,Aomo,Rice,Aomo_Rice
010_20_Aomo_Rice,4.7247505,15.517248,20.241999,Aomo,Rice,Aomo_Rice
096_20_Hyog_Rice,3.3516216,20.951622,17.6,Hyog,Rice,Hyog_Rice
126_20_Miyz_Spin,19.20104,31.598959,50.8,Miyz,Spin,Miyz_Spin
029_20_Niig_Rice,10.193022,23.0,12.806978,Niig,Rice,Niig_Rice
070_20_Naga_Rice,1.749506,9.849505,8.099999,Naga,Rice,Naga_Rice
044_20_Sait_Broc,63.99964,52.0,115.99964,Sait,Broc,Sait_Broc
047_20_Sait_Burd,2.077053,44.0,46.077053,Sait,Burd,Sait_Burd
137_21_Akit_Soyb,16.481049,36.48105,20.0,Akit,Soyb,Akit_Soyb
139_21_Akit_Soyb,41.688057,26.311934,67.99999,Akit,Soyb,Akit_Soyb
140_21_Akit_Soyb,20.363903,18.636097,39.0,Akit,Soyb,Akit_Soyb
156_21_Miyz_Spin,8.949625,31.050375,40.0,Miyz,Spin,Miyz_Spin
168_21_Miyz_Spin,1.0,36.0,37.0,Miyz,Spin,Miyz_Spin
172_21_Miyz_Spin,0.607872,32.392128,33.0,Miyz,Spin,Miyz_Spin
177_21_Miyz_Spin,11.997444,38.002556,50.0,Miyz,Spin,Miyz_Spin
201_21_Miyz_Spin,3.0,28.0,31.0,Miyz,Spin,Miyz_Spin
219_21_Miyz_Edam,23.0,34.0,11.0,Miyz,Edam,Miyz_Edam
227_21_Miyz_Edam,6.1203194,34.12032,28.0,Miyz,Edam,Miyz_Edam
228_21_Miyz_Edam,12.0,34.0,22.0,Miyz,Edam,Miyz_Edam
232_21_Miyz_Edam,14.0,35.0,21.0,Miyz,Edam,Miyz_Edam
238_21_Miyz_Spin,1.0,28.0,27.0,Miyz,Spin,Miyz_Spin
249_21_Aomo_Appl,14.0,62.0,76.0,Aomo,Appl,Aomo_Appl
271_22_Naga_Rice,10.953124,10.046876,21.0,Naga,Rice,Naga_Rice
309_22_Chib_Whea,12.0,40.0,28.0,Chib,Whea,Chib_Whea
316_22_Miyg_Rice,22.37949,12.620509,35.0,Miyg,Rice,Miyg_Rice
339_22_Yama_Rice,0.19403267,8.805967,9.0,Yama,Rice,Yama_Rice
349_22_Sait_Pear,11.95612,37.04388,49.0,Sait,Pear,Sait_Pear
353_22_Sait_Pear,12.0,59.0,47.0,Sait,Pear,Sait_Pear
354_22_Sait_Pear,7.0,51.0,58.0,Sait,Pear,Sait_Pear
361_22_Miee_Soyb,2.999998,20.0,17.000002,Miee,Soyb,Miee_Soyb
372_22_Miee_Soyb,9.0,20.0,29.0,Miee,Soyb,Miee_Soyb
004_20_Aomo_Rice,5.944414,18.0,12.055586,Aomo,Rice,Aomo_Rice
008_20_Aomo_Rice,8.171211,23.7,15.5287895,Aomo,Rice,Aomo_Rice
018_20_Akit_Soyb,4.6000004,27.0,22.4,Akit,Soyb,Akit_Soyb
095_20_Hyog_Rice,7.299999,11.0,18.3,Hyog,Rice,Hyog_Rice
025_20_Niig_Rice,0.68868065,8.0,8.688681,Niig,Rice,Niig_Rice
028_20_Niig_Rice,13.9217415,15.5,29.421741,Niig,Rice,Niig_Rice
141_21_Miyz_Spin,1.0212746,37.021275,36.0,Miyz,Spin,Miyz_Spin
146_21_Miyz_Spin,1.0,35.0,34.0,Miyz,Spin,Miyz_Spin
148_21_Miyz_Spin,4.0,32.0,28.0,Miyz,Spin,Miyz_Spin
157_21_Miyz_Spin,5.9943123,41.994312,36.0,Miyz,Spin,Miyz_Spin
165_21_Miyz_Spin,4.0,34.0,30.0,Miyz,Spin,Miyz_Spin
178_21_Miyz_Spin,20.0,42.0,62.0,Miyz,Spin,Miyz_Spin
183_21_Miyz_Spin,20.296476,25.703524,46.0,Miyz,Spin,Miyz_Spin
209_21_Miyz_Spin,3.0,34.0,37.0,Miyz,Spin,Miyz_Spin
222_21_Miyz_Edam,5.7268715,21.726871,16.0,Miyz,Edam,Miyz_Edam
244_21_Aomo_Appl,86.29488,23.705118,110.0,Aomo,Appl,Aomo_Appl
246_21_Aomo_Appl,4.0,27.0,23.0,Aomo,Appl,Aomo_Appl
260_21_Naga_Appl,15.542685,24.457315,40.0,Naga,Appl,Naga_Appl
261_21_Naga_Appl,0.5694084,28.569408,28.0,Naga,Appl,Naga_Appl
262_21_Naga_Appl,36.93856,22.06144,59.0,Naga,Appl,Naga_Appl
263_21_Naga_Appl,5.0,34.0,29.0,Naga,Appl,Naga_Appl
275_22_Naga_Rice,10.4501,16.4501,6.0,Naga,Rice,Naga_Rice
289_22_Hokk_Whea,23.0,16.0,39.0,Hokk,Whea,Hokk_Whea
291_22_Hokk_Whea,12.0,23.0,35.0,Hokk,Whea,Hokk_Whea
295_22_Hokk_Whea,3.0,18.0,15.0,Hokk,Whea,Hokk_Whea
304_22_Hokk_Whea,7.072071,31.927929,39.0,Hokk,Whea,Hokk_Whea
307_22_Hokk_Whea,0.9965019,24.996502,24.0,Hokk,Whea,Hokk_Whea
324_22_Niig_Rice,5.681303,17.318697,23.0,Niig,Rice,Niig_Rice
351_22_Sait_Pear,0.0,34.0,34.0,Sait,Pear,Sait_Pear
363_22_Miee_Soyb,4.9328766,12.932877,8.0,Miee,Soyb,Miee_Soyb
367_22_Miee_Soyb,3.0,20.0,23.0,Miee,Soyb,Miee_Soyb
007_20_Aomo_Rice,1.3800812,23.0,21.619919,Aomo,Rice,Aomo_Rice
020_20_Akit_Soyb,23.381218,12.618783,36.0,Akit,Soyb,Akit_Soyb
093_20_Hyog_Rice,8.105128,15.394872,23.5,Hyog,Rice,Hyog_Rice
