,NH4_N_ST,Pred_NH4_N_ST,True_NH4_N_ST,土地,作物,土地_作物
006_20_Aomo_Rice,0.33988935,0.7,1.0398893,Aomo,Rice,Aomo_Rice
010_20_Aomo_Rice,0.42751265,0.6,1.0275127,Aomo,Rice,Aomo_Rice
096_20_Hyog_Rice,0.39999998,0.7,0.3,Hyog,Rice,Hyog_Rice
126_20_Miyz_Spin,0.099999994,0.5,0.4,Miyz,Spin,Miyz_Spin
029_20_Niig_Rice,0.2909202,0.6,0.8909202,Niig,Rice,Niig_Rice
070_20_Naga_Rice,0.3,0.4,0.1,Naga,Rice,Naga_Rice
044_20_Sait_Broc,0.061131835,0.7070777,0.7682095,Sait,Broc,Sait_Broc
047_20_Sait_Burd,0.018350542,0.7,0.7183505,Sait,Burd,Sait_Burd
137_21_Akit_Soyb,0.29999998,0.7,0.4,Akit,Soyb,Akit_Soyb
139_21_Akit_Soyb,0.39999998,0.7,0.3,Akit,Soyb,Akit_Soyb
140_21_Akit_Soyb,0.3,0.6,0.3,Akit,Soyb,Akit_Soyb
156_21_Miyz_Spin,0.099999994,0.4,0.3,Miyz,Spin,Miyz_Spin
168_21_Miyz_Spin,0.099999994,0.4,0.3,Miyz,Spin,Miyz_Spin
172_21_Miyz_Spin,0.0,0.4,0.4,Miyz,Spin,Miyz_Spin
177_21_Miyz_Spin,0.099999994,0.4,0.3,Miyz,Spin,Miyz_Spin
201_21_Miyz_Spin,0.099999964,0.6,0.7,Miyz,Spin,Miyz_Spin
219_21_Miyz_Edam,0.19999999,0.5,0.3,Miyz,Edam,Miyz_Edam
227_21_Miyz_Edam,0.099999994,0.4,0.5,Miyz,Edam,Miyz_Edam
228_21_Miyz_Edam,0.099999994,0.5,0.4,Miyz,Edam,Miyz_Edam
232_21_Miyz_Edam,0.100000024,0.5,0.6,Miyz,Edam,Miyz_Edam
238_21_Miyz_Spin,0.29999998,0.4,0.7,Miyz,Spin,Miyz_Spin
249_21_Aomo_Appl,0.49784815,0.79784817,0.3,Aomo,Appl,Aomo_Appl
271_22_Naga_Rice,0.10378334,0.50378335,0.4,Naga,Rice,Naga_Rice
309_22_Chib_Whea,0.17104691,0.9710469,0.8,Chib,Whea,Chib_Whea
316_22_Miyg_Rice,0.20000002,0.6,0.4,Miyg,Rice,Miyg_Rice
339_22_Yama_Rice,0.19999999,0.3,0.5,Yama,Rice,Yama_Rice
349_22_Sait_Pear,0.39999998,0.6,1.0,Sait,Pear,Sait_Pear
353_22_Sait_Pear,0.099999964,0.6,0.7,Sait,Pear,Sait_Pear
