,NO3_N_ST,Pred_NO3_N_ST,True_NO3_N_ST,土地,作物,土地_作物
006_20_Aomo_Rice,0.10398894,0.0,0.10398894,Aomo,Rice,Aomo_Rice
010_20_Aomo_Rice,0.102751255,0.0,0.102751255,Aomo,Rice,Aomo_Rice
096_20_Hyog_Rice,0.2,0.2,0.4,Hyog,Rice,Hyog_Rice
126_20_Miyz_Spin,4.7317057,3.5682948,8.3,Miyz,Spin,Miyz_Spin
029_20_Niig_Rice,0.111365214,0.0,0.111365214,Niig,Rice,Niig_Rice
070_20_Naga_Rice,0.2,0.2,0.0,Naga,Rice,Naga_Rice
044_20_Sait_Broc,1.8774672,3.5,5.377467,Sait,Broc,Sait_Broc
047_20_Sait_Burd,0.023593545,0.9,0.9235935,Sait,Burd,Sait_Burd
137_21_Akit_Soyb,1.4894216,0.6105783,2.1,Akit,Soyb,Akit_Soyb
139_21_Akit_Soyb,0.100000024,1.6,1.5,Akit,Soyb,Akit_Soyb
140_21_Akit_Soyb,0.9000001,2.2,1.3,Akit,Soyb,Akit_Soyb
156_21_Miyz_Spin,3.0,3.0,0.0,Miyz,Spin,Miyz_Spin
168_21_Miyz_Spin,2.2,3.4,1.2,Miyz,Spin,Miyz_Spin
172_21_Miyz_Spin,0.122678995,2.8226788,2.6999998,Miyz,Spin,Miyz_Spin
177_21_Miyz_Spin,1.9888086,3.4888086,1.5,Miyz,Spin,Miyz_Spin
201_21_Miyz_Spin,0.5030513,3.696949,4.2000003,Miyz,Spin,Miyz_Spin
219_21_Miyz_Edam,1.1,3.0,1.9,Miyz,Edam,Miyz_Edam
227_21_Miyz_Edam,0.55093956,2.3509395,1.8,Miyz,Edam,Miyz_Edam
228_21_Miyz_Edam,2.5,4.1,1.6,Miyz,Edam,Miyz_Edam
232_21_Miyz_Edam,1.6,3.2,1.6,Miyz,Edam,Miyz_Edam
238_21_Miyz_Spin,1.0,1.0,2.0,Miyz,Spin,Miyz_Spin
249_21_Aomo_Appl,0.59999996,0.9,0.3,Aomo,Appl,Aomo_Appl
271_22_Naga_Rice,0.59999996,0.1,0.7,Naga,Rice,Naga_Rice
309_22_Chib_Whea,0.28936127,0.38936126,0.1,Chib,Whea,Chib_Whea
316_22_Miyg_Rice,0.0,0.0,0.0,Miyg,Rice,Miyg_Rice
339_22_Yama_Rice,0.0,0.0,0.0,Yama,Rice,Yama_Rice
349_22_Sait_Pear,1.5,1.5,3.0,Sait,Pear,Sait_Pear
353_22_Sait_Pear,1.2118516,0.7881484,2.0,Sait,Pear,Sait_Pear
354_22_Sait_Pear,0.8000001,0.9,1.7,Sait,Pear,Sait_Pear
361_22_Miee_Soyb,0.29108876,0.20891124,0.5,Miee,Soyb,Miee_Soyb
372_22_Miee_Soyb,0.40000004,1.1,0.7,Miee,Soyb,Miee_Soyb
004_20_Aomo_Rice,0.0057507455,0.1,0.10575075,Aomo,Rice,Aomo_Rice
008_20_Aomo_Rice,0.103525266,0.0,0.103525266,Aomo,Rice,Aomo_Rice
018_20_Akit_Soyb,0.8046539,0.2953461,1.1,Akit,Soyb,Akit_Soyb
095_20_Hyog_Rice,0.0917885,0.20821151,0.3,Hyog,Rice,Hyog_Rice
025_20_Niig_Rice,0.10343667,0.0,0.10343667,Niig,Rice,Niig_Rice
028_20_Niig_Rice,0.116222195,0.102526985,0.21874918,Niig,Rice,Niig_Rice
141_21_Miyz_Spin,2.4802573,1.6197426,4.1,Miyz,Spin,Miyz_Spin
146_21_Miyz_Spin,0.3000002,2.6,2.9,Miyz,Spin,Miyz_Spin
148_21_Miyz_Spin,0.14702988,3.6529703,3.8000002,Miyz,Spin,Miyz_Spin
157_21_Miyz_Spin,1.9943991,3.994399,2.0,Miyz,Spin,Miyz_Spin
165_21_Miyz_Spin,2.3077016,3.7077017,1.4,Miyz,Spin,Miyz_Spin
178_21_Miyz_Spin,0.69741726,3.6974173,3.0,Miyz,Spin,Miyz_Spin
183_21_Miyz_Spin,0.7314882,3.1685119,3.9,Miyz,Spin,Miyz_Spin
209_21_Miyz_Spin,0.40404963,3.4040496,3.0,Miyz,Spin,Miyz_Spin
222_21_Miyz_Edam,0.5859995,2.1140006,2.7,Miyz,Edam,Miyz_Edam
244_21_Aomo_Appl,0.0,0.4,0.4,Aomo,Appl,Aomo_Appl
246_21_Aomo_Appl,0.46753502,1.067535,0.6,Aomo,Appl,Aomo_Appl
260_21_Naga_Appl,1.0,1.7,0.7,Naga,Appl,Naga_Appl
261_21_Naga_Appl,0.9,1.5,0.6,Naga,Appl,Naga_Appl
262_21_Naga_Appl,0.8000001,1.7,0.9,Naga,Appl,Naga_Appl
263_21_Naga_Appl,0.100000024,0.5,0.6,Naga,Appl,Naga_Appl
275_22_Naga_Rice,0.0,0.0,0.0,Naga,Rice,Naga_Rice
289_22_Hokk_Whea,0.099999994,0.4,0.5,Hokk,Whea,Hokk_Whea
291_22_Hokk_Whea,1.4898758,0.110124186,1.6,Hokk,Whea,Hokk_Whea
295_22_Hokk_Whea,0.20000005,0.9,1.1,Hokk,Whea,Hokk_Whea
304_22_Hokk_Whea,1.8000001,3.4,1.6,Hokk,Whea,Hokk_Whea
307_22_Hokk_Whea,1.0,0.6,1.6,Hokk,Whea,Hokk_Whea
324_22_Niig_Rice,0.2,0.0,0.2,Niig,Rice,Niig_Rice
351_22_Sait_Pear,1.7033192,3.3033192,1.6,Sait,Pear,Sait_Pear
363_22_Miee_Soyb,0.099999964,0.6,0.7,Miee,Soyb,Miee_Soyb
367_22_Miee_Soyb,0.7,0.2,0.9,Miee,Soyb,Miee_Soyb
007_20_Aomo_Rice,0.0,0.0,0.0,Aomo,Rice,Aomo_Rice
020_20_Akit_Soyb,0.1,0.2,0.1,Akit,Soyb,Akit_Soyb
093_20_Hyog_Rice,0.0,0.0,0.0,Hyog,Rice,Hyog_Rice
122_20_Miyz_Spin,1.7999992,4.0,5.799999,Miyz,Spin,Miyz_Spin
069_20_Naga_Rice,0.1,0.0,0.1,Naga,Rice,Naga_Rice
043_20_Sait_Carr,0.4986,4.1891284,3.6905284,Sait,Carr,Sait_Carr
050_20_Sait_Stra,1.1754489,3.7673206,2.5918717,Sait,Stra,Sait_Stra
142_21_Miyz_Spin,4.5000005,2.9,7.4000006,Miyz,Spin,Miyz_Spin
143_21_Miyz_Spin,0.5196352,3.919635,3.3999999,Miyz,Spin,Miyz_Spin
154_21_Miyz_Spin,1.6000001,3.7,2.1,Miyz,Spin,Miyz_Spin
173_21_Miyz_Spin,1.8999999,2.0,3.8999999,Miyz,Spin,Miyz_Spin
180_21_Miyz_Spin,0.9724488,3.627551,4.6,Miyz,Spin,Miyz_Spin
182_21_Miyz_Spin,2.3000002,2.0,4.3,Miyz,Spin,Miyz_Spin
190_21_Miyz_Spin,4.399999,1.4,5.799999,Miyz,Spin,Miyz_Spin
204_21_Miyz_Spin,1.0999999,4.1,3.0,Miyz,Spin,Miyz_Spin
208_21_Miyz_Spin,1.1985955,4.1985955,3.0,Miyz,Spin,Miyz_Spin
210_21_Miyz_Spin,0.35595036,3.1440496,3.5,Miyz,Spin,Miyz_Spin
211_21_Miyz_Spin,0.5953758,3.3953757,2.8,Miyz,Spin,Miyz_Spin
212_21_Miyz_Edam,2.9999986,2.0,4.9999986,Miyz,Edam,Miyz_Edam
231_21_Miyz_Edam,1.0759606,0.5240394,1.6,Miyz,Edam,Miyz_Edam
237_21_Miyz_Spin,2.1,2.0,4.1,Miyz,Spin,Miyz_Spin
