,PC1,PC2,cluster,crop-id,pH,EC,Available.P,NO3.N,NH4.N,Exchangeable.K
0,-1.6569769270495904,-0.41772632783253694,1,001_20_Aomo_Rice,5.51,0.07,9.458321104,0.105092457,0.94583211,19.96756677
1,-2.1145972479368567,-0.5425244697373238,1,002_20_Aomo_Rice,5.28,0.05,4.15483871,0.207741935,1.038709677,15.06129032
2,-1.7955445769646246,-0.15296644734078493,1,003_20_Aomo_Rice,5.67,0.05,10.35951327,0.310785398,0.932356195,15.64286504
3,-1.5750233242689136,-0.29753907911562255,1,004_20_Aomo_Rice,5.69,0.08,10.57507484,0.105750748,0.951756735,12.05558532
4,-2.0264497261647034,-0.14448940989445436,1,005_20_Aomo_Rice,5.66,0.05,3.134369648,0.104478988,1.149268871,9.821024898
5,-1.4829768058356874,-0.5384266054210267,1,006_20_Aomo_Rice,5.56,0.09,5.19944679,0.103988936,1.039889358,18.3020527
6,-1.8771096964772067,-0.1790118569687991,1,007_20_Aomo_Rice,5.57,0.05,12.53328649,0.0,1.253328649,21.6199192
7,-2.104086794295549,-0.18123859577441614,1,008_20_Aomo_Rice,5.52,0.04,10.35252644,0.103525264,1.242303173,15.52878966
8,-1.9084671095129453,-0.27368649965228803,1,009_20_Aomo_Rice,5.49,0.05,12.37618048,0.103134837,1.031348374,18.66740556
9,-1.8952377973041008,-0.3047251153753122,1,010_20_Aomo_Rice,5.45,0.05,14.38517687,0.102751263,1.027512633,20.24199888
10,-1.384690311408327,-0.005691416139902348,1,011_20_Akit_Rice,5.87,0.05,15.0,0.6,0.5,22.3
11,-0.9596110083227233,0.45460837107025553,1,012_20_Akit_Rice,6.24,0.07,43.0,0.2,0.6,20.4
12,-1.7928047928657882,-0.14180297101886202,1,013_20_Akit_Rice,5.56,0.04,14.0,0.2,0.6,22.2
13,-1.6620469922744165,-0.09018899016370274,1,014_20_Akit_Rice,5.55,0.04,24.0,0.2,0.2,22.6
14,-1.7045935861122172,-0.7710464134073247,1,015_20_Akit_Rice,5.18,0.08,15.0,0.1,0.6,17.0
15,-0.9532371208457505,0.21396558782918748,1,016_20_Akit_Rice,6.09,0.07,32.0,0.3,0.6,27.7
16,-0.7975617875264762,-0.8484935722314273,1,017_20_Akit_Soyb,5.71,0.08,20.0,2.6,0.4,15.5
17,-1.2448536001773838,-0.39174428566596553,1,018_20_Akit_Soyb,5.68,0.06,14.0,1.1,0.3,22.4
18,-0.3689013343945337,0.676164170049284,2,019_20_Akit_Soyb,6.6,0.06,36.0,0.8,0.2,37.6
19,-1.3454030830185337,0.09366330992779762,1,020_20_Akit_Soyb,5.75,0.04,21.0,0.1,0.2,36.0
