,,accuracy,accuracy,Loss,Loss
,,Available.P,area,Available.P,area
method,fold,,,,
M,fold1,0.5397017598152161,0.9833333333333333,5564.21240234375,0.9761051373954599
S,fold1,0.5294930338859558,,5687.61865234375,
R,fold1,-5815.747047696871,,70314446.9103243,
X,fold1,-4365.416015625,,52782448.0,
S,fold1,-1135.7933271581785,,13741872.114264274,
S,fold1,,0.9833333333333333,,0.9761051373954599
R,fold1,,0.9666666666666667,,0.9534161490683231
X,fold1,,0.9833333333333333,,0.9761051373954599
S,fold1,,0.9833333333333333,,0.9761051373954599
M,fold2,0.5314943790435791,1.0,4908.31787109375,1.0
S,fold2,0.5308603644371033,,4914.9599609375,
R,fold2,-8094.4002601884795,,84811782.11495772,
X,fold2,-7776.76123046875,,81484024.0,
S,fold2,-1137.9406364937715,,11932156.780340845,
S,fold2,,1.0,,1.0
R,fold2,,1.0,,1.0
X,fold2,,0.9666666666666667,,0.934640522875817
S,fold2,,1.0,,1.0
M,fold3,0.3298172354698181,0.9833333333333333,4744.0302734375,0.9804623901009444
S,fold3,0.335418701171875,,4704.37939453125,
R,fold3,-9507.520891522825,,67308072.41020589,
X,fold3,-10581.177734375,,74908184.0,
S,fold3,-1955.9212881225817,,13852480.450398756,
S,fold3,,0.9833333333333333,,0.9804623901009444
R,fold3,,0.9833333333333333,,0.9804623901009444
X,fold3,,0.95,,0.9394957983193277
S,fold3,,0.9333333333333333,,0.9179206566347469
M,fold4,0.5796529054641724,0.9666666666666667,3605.095947265625,0.9641148325358853
S,fold4,0.5984244346618652,,3444.102783203125,
R,fold4,-6612.096346840614,,56717057.96028118,
X,fold4,-10035.552734375,,86078240.0,
S,fold4,-1853.9188171485198,,15908665.554841101,
S,fold4,,0.9666666666666667,,0.9641148325358853
R,fold4,,0.9666666666666667,,0.9641148325358853
X,fold4,,0.9666666666666667,,0.9641148325358853
S,fold4,,0.9666666666666667,,0.9641148325358853
M,fold5,-0.10156381130218506,0.9830508474576272,3351.703857421875,0.9759869759869759
S,fold5,-0.04316210746765137,,3174.00634765625,
R,fold5,-25490.20659626318,,77561536.24926244,
X,fold5,-24739.1484375,,75276304.0,
S,fold5,-4353.459592957686,,13249218.874348855,
S,fold5,,0.9830508474576272,,0.9759869759869759
R,fold5,,0.9830508474576272,,0.9759869759869759
X,fold5,,0.9661016949152542,,0.9531746031746031
S,fold5,,0.9830508474576272,,0.9759869759869759
