,,accuracy,accuracy,Loss,Loss
,,Available.P,crop,Available.P,crop
method,fold,,,,
M,fold1,0.485407292842865,0.8157894736842105,94.3351058959961,0.7002489884842825
S,fold1,0.4958822727203369,,92.41482543945312,
R,fold1,-1591.8152365574772,,291994.8024926468,
X,fold1,-1876.421875,,344168.875,
S,fold1,-1123.31027909591,,206108.499184498,
S,fold1,,0.8157894736842105,,0.7034235916588858
R,fold1,,0.8421052631578947,,0.6864177489177489
X,fold1,,0.7894736842105263,,0.6338821853527735
S,fold1,,0.631578947368421,,0.2570654277971351
M,fold2,0.5896484851837158,0.868421052631579,152.4297637939453,0.6173984745413316
S,fold2,0.6002521514892578,,148.4909210205078,
R,fold2,-951.4090190585856,,353783.2094561873,
X,fold2,-978.8798217773438,,363987.59375,
S,fold2,-464.55492961128954,,172935.6966178623,
S,fold2,,0.868421052631579,,0.6303854875283447
R,fold2,,0.868421052631579,,0.6286631954834719
X,fold2,,0.868421052631579,,0.6966904063678258
S,fold2,,0.5526315789473685,,0.1997677119628339
M,fold3,0.584862232208252,0.7368421052631579,138.57522583007812,0.41025641025641024
S,fold3,0.5726280212402344,,142.65907287597656,
R,fold3,-966.3737214127761,,322914.57486220996,
X,fold3,-978.1289672851562,,326838.5625,
S,fold3,-549.8190597281389,,183866.37817528492,
S,fold3,,0.7105263157894737,,0.3952380952380952
R,fold3,,0.7368421052631579,,0.4145574855252275
X,fold3,,0.7368421052631579,,0.41025641025641024
S,fold3,,0.5,,0.15377237851662404
M,fold4,0.47884702682495117,0.8947368421052632,232.3227996826172,0.6665024630541873
S,fold4,0.5293928384780884,,209.7901611328125,
R,fold4,-564.1538820571323,,251937.77193684483,
X,fold4,-508.43646240234375,,227099.734375,
S,fold4,-381.67849908103284,,170592.77391084962,
S,fold4,,0.8421052631578947,,0.6188215725161539
R,fold4,,0.868421052631579,,0.6423587704894419
X,fold4,,0.8157894736842105,,0.6426929392446634
S,fold4,,0.5789473684210527,,0.20884353741496597
M,fold5,0.3554310202598572,0.8108108108108109,264.60540771484375,0.7447045707915273
S,fold5,0.32143712043762207,,278.5604553222656,
R,fold5,-902.6061772110218,,370944.15526728093,
X,fold5,-1076.559814453125,,442354.78125,
S,fold5,-408.2077831494217,,167986.05330219006,
S,fold5,,0.7837837837837838,,0.7254055468341182
R,fold5,,0.7837837837837838,,0.622360248447205
X,fold5,,0.7297297297297297,,0.6379097093382807
S,fold5,,0.4594594594594595,,0.17694581280788177
