,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,Available.P,pref,crop,Available.P,pref,crop
method,fold,,,,,,
M,fold1,0.5164028406143188,0.8666666666666667,0.7666666666666667,5845.85595703125,0.8256387403446227,0.7477024556292848
S,fold1,0.5254870653152466,,,5736.04248046875,,
R,fold1,-6417.809740157769,,,77592343.91389818,,
X,fold1,-5712.13623046875,,,69061960.0,,
S,fold1,-1102.2397246421374,,,13336266.317157269,,
S,fold1,,0.4666666666666667,,,0.08410256410256411,
R,fold1,,0.8666666666666667,,,0.81001036001036,
X,fold1,,0.8333333333333334,,,0.7859846502703646,
S,fold1,,0.43333333333333335,,,0.06874999999999999,
S,fold1,,,0.55,,,0.2379804721295266
R,fold1,,,0.7166666666666667,,,0.5558177287828451
X,fold1,,,0.75,,,0.6670704539125591
S,fold1,,,0.5333333333333333,,,0.1874657909140668
M,fold2,0.4112180471420288,0.4,0.5,6168.3974609375,0.047619047619047616,0.16028708133971292
S,fold2,0.4480597972869873,,,5782.42333984375,,
R,fold2,-8952.56521672719,,,93802383.79126063,,
X,fold2,-10994.4072265625,,,115193824.0,,
S,fold2,-1171.357078111729,,,12282245.778027045,,
S,fold2,,0.4,,,0.05405405405405406,
R,fold2,,0.7666666666666667,,,0.5865752765752766,
X,fold2,,0.7333333333333333,,,0.5633743901601044,
S,fold2,,0.4166666666666667,,,0.07655826558265583,
S,fold2,,,0.5,,,0.16856971153846154
R,fold2,,,0.7833333333333333,,,0.7374531265835613
X,fold2,,,0.7833333333333333,,,0.7532179808495598
S,fold2,,,0.5,,,0.17329545454545453
M,fold3,0.3715543746948242,0.31666666666666665,0.5666666666666667,4448.58544921875,0.04372842347525892,0.20460101548298124
S,fold3,0.40936797857284546,,,4180.91357421875,,
R,fold3,-9316.644287969631,,,65956910.92493134,,
X,fold3,-13717.65234375,,,97110384.0,,
S,fold3,-2035.6070713687416,,,14416552.837157544,,
S,fold3,,0.4166666666666667,,,0.1261545940690326,
R,fold3,,0.8333333333333334,,,0.8152839584657766,
X,fold3,,0.8333333333333334,,,0.7384520884520885,
S,fold3,,0.3333333333333333,,,0.0650662468844287,
S,fold3,,,0.5833333333333334,,,0.2102897102897103
R,fold3,,,0.85,,,0.7745421245421246
X,fold3,,,0.8333333333333334,,,0.7476237686764003
S,fold3,,,0.5833333333333334,,,0.2153061224489796
M,fold4,0.49464601278305054,0.3,0.5666666666666667,4334.15576171875,0.05960413855150697,0.175
S,fold4,0.5363495349884033,,,3976.48681640625,,
R,fold4,-5764.626690917729,,,49448755.71195338,,
X,fold4,-7243.19580078125,,,62129664.0,,
S,fold4,-1744.5925447924085,,,14971031.588988896,,
S,fold4,,0.3,,,0.06198830409356725,
R,fold4,,0.8166666666666667,,,0.8126856251856253,
X,fold4,,0.7666666666666667,,,0.7364951489951489,
S,fold4,,0.26666666666666666,,,0.03508771929824561,
S,fold4,,,0.5833333333333334,,,0.20704948646125118
R,fold4,,,0.8,,,0.6972943722943723
X,fold4,,,0.85,,,0.7705357142857143
S,fold4,,,0.5666666666666667,,,0.17841312056737588
M,fold5,0.014007568359375,0.4576271186440678,0.6101694915254238,3000.057373046875,0.06,0.20952380952380953
S,fold5,0.21334099769592285,,,2393.550048828125,,
R,fold5,-24029.573480043935,,,73117300.2093038,,
X,fold5,-28442.439453125,,,86544224.0,,
S,fold5,-4427.628368213938,,,13474890.650572427,,
S,fold5,,0.4745762711864407,,,0.08016235413495687,
R,fold5,,0.8135593220338984,,,0.7441358024691359,
X,fold5,,0.847457627118644,,,0.7738366571699906,
S,fold5,,0.4745762711864407,,,0.07088353413654619,
S,fold5,,,0.6440677966101694,,,0.22352328909705957
R,fold5,,,0.8135593220338984,,,0.5531218939188578
X,fold5,,,0.8135593220338984,,,0.7068236525379383
S,fold5,,,0.6440677966101694,,,0.22835497835497837
