Metric,Model,Available.P,pref,crop
R2,MT,0.362±0.182,0.468±0.207,0.602±0.090
R2,ST,0.427±0.117,0.412±0.063,0.572±0.047
R2,RF,-10896.244±6710.398,0.819±0.032,0.793±0.044
R2,SVR,-2096.285±1217.058,0.385±0.075,0.565±0.049
R2,XGB,-13221.966±8111.890,0.803±0.045,0.806±0.036
MSE,MT,4759.410±1143.537,0.207±0.309,0.299±0.225
MSE,ST,4413.883±1260.821,0.081±0.025,0.209±0.023
MSE,RF,71983538.910±14511669.779,0.754±0.088,0.664±0.092
MSE,SVR,13696197.434±929720.433,0.063±0.015,0.197±0.022
MSE,XGB,86008011.200±19145265.686,0.720±0.080,0.729±0.037
