,,accuracy,accuracy,Loss,Loss
,,Available.P,pref,Available.P,pref
method,fold,,,,
M,fold1,0.5241329669952393,0.8666666666666667,5752.41162109375,0.8397413044471868
S,fold1,0.520966112613678,,5790.693359375,
R,fold1,-6451.383593137902,,77998193.91606465,
X,fold1,-5712.13623046875,,69061960.0,
S,fold1,-1102.2397246421374,,13336266.317157269,
S,fold1,,0.5166666666666667,,0.13023021708683474
R,fold1,,0.85,,0.8034480020329076
X,fold1,,0.8333333333333334,,0.7859846502703646
S,fold1,,0.43333333333333335,,0.06874999999999999
M,fold2,0.43294548988342285,0.4,5940.7685546875,0.047619047619047616
S,fold2,0.4668803811073303,,5585.2490234375,
R,fold2,-8741.889231538415,,91595228.41349448,
X,fold2,-10994.4072265625,,115193824.0,
S,fold2,-1171.357078111729,,12282245.778027045,
S,fold2,,0.4166666666666667,,0.07303921568627451
R,fold2,,0.75,,0.5727525252525253
X,fold2,,0.7333333333333333,,0.5633743901601044
S,fold2,,0.4166666666666667,,0.07655826558265583
M,fold3,0.3772890567779541,0.31666666666666665,4407.9912109375,0.04372842347525892
S,fold3,0.3938245177268982,,4290.94140625,
R,fold3,-9973.976473156576,,70609975.4814356,
X,fold3,-13717.65234375,,97110384.0,
S,fold3,-2035.6070713687416,,14416552.837157544,
S,fold3,,0.3333333333333333,,0.06271623113728376
R,fold3,,0.8,,0.7426512084406821
X,fold3,,0.8333333333333334,,0.7384520884520885
S,fold3,,0.3333333333333333,,0.0650662468844287
M,fold4,0.4684474468231201,0.26666666666666666,4558.84716796875,0.035555555555555556
S,fold4,0.4935227036476135,,4343.7900390625,
R,fold4,-5846.106907662912,,50147568.78972971,
X,fold4,-7243.19580078125,,62129664.0,
S,fold4,-1744.5925447924085,,14971031.588988896,
S,fold4,,0.26666666666666666,,0.03508771929824561
R,fold4,,0.8,,0.7646165646165647
X,fold4,,0.7666666666666667,,0.7364951489951489
S,fold4,,0.26666666666666666,,0.03508771929824561
M,fold5,0.15041577816009521,0.4576271186440678,2585.01123046875,0.05555555555555555
S,fold5,0.2831149697303772,,2181.250244140625,
R,fold5,-25913.141854371912,,78848392.49492316,
X,fold5,-28442.439453125,,86544224.0,
S,fold5,-4427.628368213938,,13474890.650572427,
S,fold5,,0.5084745762711864,,0.11531279178338001
R,fold5,,0.847457627118644,,0.8180227180227181
X,fold5,,0.847457627118644,,0.7738366571699906
S,fold5,,0.4745762711864407,,0.07088353413654619
