,,accuracy,accuracy,Loss,Loss
,,Available.P,soiltype,Available.P,soiltype
method,fold,,,,
M,fold1,0.5353483557701111,0.8333333333333334,5625.56494140625,0.2898989898989899
S,fold1,0.5343080163002014,,5638.16064453125,
R,fold1,-6105.351893651241,,73929970.26059757,
X,fold1,-6602.85693359375,,79953288.0,
S,fold1,-918.380331015687,,11130993.056727715,
S,fold1,,0.85,,0.29570217917675545
R,fold1,,0.7666666666666667,,0.26666666666666666
X,fold1,,0.7833333333333333,,0.2749871597329225
S,fold1,,0.6666666666666666,,0.22812633376013658
M,fold2,0.23848819732666016,0.8813559322033898,5630.8837890625,0.44541343669250644
S,fold2,0.30020928382873535,,5174.49658203125,
R,fold2,-18581.514834072426,,137405594.78758866,
X,fold2,-25672.70703125,,189840352.0,
S,fold2,-1961.0352333127937,,14507972.717084982,
S,fold2,,0.864406779661017,,0.4352576647097195
R,fold2,,0.847457627118644,,0.42485168094924197
X,fold2,,0.8305084745762712,,0.4141666666666667
S,fold2,,0.7288135593220338,,0.3318965517241379
M,fold3,0.4504469037055969,0.864406779661017,6145.69970703125,0.3547489413188143
S,fold3,0.42866575717926025,,6389.27978515625,
R,fold3,-3941.5598903057435,,44089982.99922669,
X,fold3,-4217.99267578125,,47181360.0,
S,fold3,-1003.7858491188758,,11236605.717631666,
S,fold3,,0.864406779661017,,0.3547489413188143
R,fold3,,0.7966101694915254,,0.32699757869249396
X,fold3,,0.8305084745762712,,0.3412121212121212
S,fold3,,0.7627118644067796,,0.3111940298507463
M,fold4,0.49893176555633545,0.7796610169491526,2369.019287109375,0.27629870129870127
S,fold4,0.5108714699745178,,2312.569091796875,
R,fold4,-10724.883091485075,,50711308.5991141,
X,fold4,-11990.662109375,,56695828.0,
S,fold4,-3396.4763948156888,,16063057.227658924,
S,fold4,,0.7796610169491526,,0.27629870129870127
R,fold4,,0.7627118644067796,,0.2702380952380952
X,fold4,,0.7796610169491526,,0.27619047619047615
S,fold4,,0.7288135593220338,,0.25786790780141844
M,fold5,0.2673393487930298,0.6779661016949152,4759.35205078125,0.2881720430107527
S,fold5,0.302002489566803,,4534.18115234375,
R,fold5,-19015.553263780246,,123531230.09727977,
X,fold5,-21813.681640625,,141707840.0,
S,fold5,-2109.865517093406,,13712149.109225258,
S,fold5,,0.6779661016949152,,0.2881720430107527
R,fold5,,0.711864406779661,,0.3034110097939885
X,fold5,,0.6779661016949152,,0.29032901296111663
S,fold5,,0.6440677966101694,,0.2708683473389356
