,,accuracy,accuracy,Loss,Loss
,,CEC,EC,CEC,EC
method,fold,,,,
M,fold1,0.1927182674407959,0.13402163982391357,61.49114990234375,0.0014254003763198853
S,fold1,0.08647137880325317,,69.58403778076172,
R,fold1,-567.7469029846484,,43321.80529317957,
X,fold1,-595.7701416015625,,45456.35546875,
S,fold1,-458.3424544759161,,34988.40041373195,
S,fold1,,0.0680246353149414,,0.0015340314712375402
R,fold1,,0.01383552856477932,,0.0016232266834212308
X,fold1,,0.010581374168395996,,0.001628583064302802
S,fold1,,-0.04536950933163664,,0.0017206781736037592
M,fold2,-0.006513714790344238,0.014679193496704102,90.94258117675781,0.002392660127952695
S,fold2,0.001114964485168457,,90.2532958984375,
R,fold2,-504.0893492844387,,45636.85861063947,
X,fold2,-509.86151123046875,,46158.3984375,
S,fold2,-411.0925352160483,,37234.221610093606,
S,fold2,,0.006154060363769531,,0.0024133617989718914
R,fold2,,0.03993197191210884,,0.0023313385363882247
X,fold2,,0.035781800746917725,,0.0023414164315909147
S,fold2,,0.021643063294958464,,0.0023757495949801497
M,fold3,0.03508085012435913,0.011223137378692627,67.26351165771484,0.0025598332285881042
S,fold3,0.03285127878189087,,67.41893005371094,
R,fold3,-574.4713467840518,,40115.506124719956,
X,fold3,-555.9698486328125,,38825.7890625,
S,fold3,-532.6975241830468,,37203.49661152968,
S,fold3,,0.00838238000869751,,0.002567187650129199
R,fold3,,-0.00698408044761889,,0.0026069700440433928
X,fold3,,-0.010633707046508789,,0.002616418059915304
S,fold3,,-0.05223759720807064,,0.0027241263773686145
M,fold4,-0.0018453598022460938,0.025097906589508057,68.6767349243164,0.002807068172842264
S,fold4,0.03473258018493652,,66.16930389404297,
R,fold4,-567.0345904947733,,38938.90329985975,
X,fold4,-551.7219848632812,,37889.22265625,
S,fold4,-547.6852647419213,,37612.50251896449,
S,fold4,,0.041471242904663086,,0.002759923692792654
R,fold4,,0.013743413763583345,,0.0028397614467557163
X,fold4,,0.031725406646728516,,0.0027879851404577494
S,fold4,,-0.033336964366720734,,0.002975321548030487
M,fold5,-0.00860142707824707,0.022394955158233643,102.45832061767578,0.0029575855005532503
S,fold5,-0.00020778179168701172,,101.60565948486328,
R,fold5,-408.1206982001429,,41560.33839217406,
X,fold5,-393.1156921386719,,40036.0625,
S,fold5,-322.110067213432,,32822.98791135483,
S,fold5,,0.02041018009185791,,0.0029635902028530836
R,fold5,,0.04467621920057219,,0.0028901767751632226
X,fold5,,0.034298717975616455,,0.0029215726535767317
S,fold5,,0.025938868204462118,,0.002946863584144071
