,,accuracy,accuracy,Loss,Loss
,,CEC,Humus,CEC,Humus
method,fold,,,,
M,fold1,0.42722511291503906,0.419405460357666,37.95512008666992,6.358180522918701
S,fold1,0.41909337043762207,,38.49397277832031,
R,fold1,-442.23666194019796,,29371.22525528435,
X,fold1,-464.1518249511719,,30823.443359375,
S,fold1,-405.22641299072035,,26918.728763024592,
S,fold1,,0.3981349468231201,,6.5911173820495605
R,fold1,,-28.15196597094493,,319.2476933948762
X,fold1,,-29.647750854492188,,335.6282653808594
S,fold1,,-20.76358524407421,,238.33639199834195
M,fold2,0.4257388114929199,0.5259720683097839,32.823429107666016,3.7777297496795654
S,fold2,0.4288409948348999,,32.646114349365234,
R,fold2,-585.3881277798149,,33516.57552107654,
X,fold2,-616.714111328125,,35307.09765625,
S,fold2,-516.058063848177,,29553.83102888528,
S,fold2,,0.5686632990837097,,3.4375052452087402
R,fold2,,-56.932596773834376,,461.68945043089826
X,fold2,,-59.09946060180664,,478.9581298828125
S,fold2,,-37.89201109183214,,309.94694225842704
M,fold3,0.5945121049880981,0.49489825963974,23.37122344970703,5.1651177406311035
S,fold3,0.6026189923286438,,22.903966903686523,
R,fold3,-540.9714038478994,,31237.765569570765,
X,fold3,-541.3613891601562,,31260.24609375,
S,fold3,-471.7764761200382,,27249.557122372084,
S,fold3,,0.4282708764076233,,5.846442699432373
R,fold3,,-32.272996054022315,,340.24616723903563
X,fold3,,-31.985614776611328,,337.3074645996094
S,fold3,,-22.820047259614842,,243.58130450224016
M,fold4,0.3125544786453247,0.3707559108734131,32.9045524597168,4.118803024291992
S,fold4,0.3025178909301758,,33.384952545166016,
R,fold4,-619.1713784694147,,29684.478341996517,
X,fold4,-682.2232055664062,,32702.451171875,
S,fold4,-582.8703033875518,,27946.92882831497,
S,fold4,,0.3213065266609192,,4.442480564117432
R,fold4,,-60.575069877660326,,403.0479959088037
X,fold4,,-64.73650360107422,,430.2872314453125
S,fold4,,-49.488419345935384,,330.4788167421199
M,fold5,0.613519549369812,0.5113086700439453,32.829315185546875,5.740011692047119
S,fold5,0.6530876159667969,,29.46823501586914,
R,fold5,-340.14977906653104,,28978.73537120139,
X,fold5,-345.00201416015625,,29390.904296875,
S,fold5,-303.3432622608182,,25852.2308975156,
S,fold5,,0.571703314781189,,5.030634880065918
R,fold5,,-35.398521967148746,,427.5253381363036
X,fold5,,-39.22129440307617,,472.4263610839844
S,fold5,,-23.306702217386405,,285.49871046537424
