,,accuracy,accuracy,Loss,Loss
,,CEC,area,CEC,area
method,fold,,,,
M,fold1,0.5815971493721008,1.0,31.87000846862793,1.0
S,fold1,0.598659336566925,,30.570371627807617,
R,fold1,-555.5879596885546,,42395.65130805404,
X,fold1,-577.0912475585938,,44033.57421875,
S,fold1,-462.9884296221459,,35342.28746924253,
S,fold1,,0.9833333333333333,,0.9761051373954599
R,fold1,,0.9833333333333333,,0.9761051373954599
X,fold1,,0.9833333333333333,,0.9761051373954599
S,fold1,,0.9833333333333333,,0.9761051373954599
M,fold2,0.38413918018341064,1.0,55.6455078125,1.0
S,fold2,0.3600050210952759,,57.82612609863281,
R,fold2,-526.7470663375648,,47684.075495377576,
X,fold2,-509.9812316894531,,46169.2109375,
S,fold2,-422.6066410021442,,38274.568137474795,
S,fold2,,1.0,,1.0
R,fold2,,1.0,,1.0
X,fold2,,0.9666666666666667,,0.934640522875817
S,fold2,,1.0,,1.0
M,fold3,0.36495286226272583,0.9833333333333333,44.26847839355469,0.9804623901009444
S,fold3,0.42333322763442993,,40.1988410949707,
R,fold3,-563.9641728935927,,39383.062061007644,
X,fold3,-578.4299926757812,,40391.4609375,
S,fold3,-587.7529173616539,,41041.3505767921,
S,fold3,,0.9833333333333333,,0.9804623901009444
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.95,,0.9394957983193277
S,fold3,,0.9333333333333333,,0.9179206566347469
M,fold4,0.6636165380477905,0.9666666666666667,23.059165954589844,0.9641148325358853
S,fold4,0.6558700799942017,,23.590187072753906,
R,fold4,-540.0322432527531,,37087.88657769245,
X,fold4,-545.0767822265625,,37433.69140625,
S,fold4,-538.5366978808661,,36985.36659331802,
S,fold4,,0.9666666666666667,,0.9641148325358853
R,fold4,,0.9666666666666667,,0.9641148325358853
X,fold4,,0.9666666666666667,,0.9641148325358853
S,fold4,,0.9666666666666667,,0.9641148325358853
M,fold5,0.45840632915496826,0.9830508474576272,55.01754379272461,0.9759869759869759
S,fold5,0.428982138633728,,58.006591796875,
R,fold5,-394.1204534504795,,40138.12985557762,
X,fold5,-397.662841796875,,40497.984375,
S,fold5,-327.60232038995724,,33380.915848511664,
S,fold5,,1.0,,1.0
R,fold5,,0.9830508474576272,,0.9759869759869759
X,fold5,,0.9661016949152542,,0.9531746031746031
S,fold5,,0.9830508474576272,,0.9759869759869759
