,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,CEC,crop,pref,CEC,crop,pref
method,fold,,,,,,
M,fold1,0.5729308128356934,0.7333333333333333,0.9,33.6421012878418,0.6262911343399148,0.9028753925812749
M,fold1,0.5488319396972656,,,35.54047393798828,,
R,fold1,-498.9945114831499,,,39386.738786921276,,
X,fold1,-488.71270751953125,,,38576.8046875,,
S,fold1,-387.31723933319563,,,30589.435125410182,,
M,fold1,,0.75,,,0.7584001364489169,
R,fold1,,0.7333333333333333,,,0.6097709878197684,
X,fold1,,0.7833333333333333,,,0.6953325621746675,
S,fold1,,0.5,,,0.18253968253968253,
M,fold1,,,0.8333333333333334,,,0.7987789987789987
R,fold1,,,0.8333333333333334,,,0.801449938949939
X,fold1,,,0.8666666666666667,,,0.7798474945533768
S,fold1,,,0.4166666666666667,,,0.049019607843137254
M,fold2,0.56048583984375,0.85,0.85,39.26809310913086,0.8,0.7502020202020202
M,fold2,0.5370350480079651,,,41.3632926940918,,
R,fold2,-475.89422390899995,,,42607.793902437224,,
X,fold2,-477.4752502441406,,,42749.05078125,,
S,fold2,-403.6016613639155,,,36148.863491512864,,
M,fold2,,0.85,,,0.8,
R,fold2,,0.8166666666666667,,,0.7399527186761229,
X,fold2,,0.7833333333333333,,,0.7313672438672438,
S,fold2,,0.55,,,0.18333333333333335,
M,fold2,,,0.8333333333333334,,,0.7388217338217338
R,fold2,,,0.8,,,0.7003409444585914
X,fold2,,,0.7833333333333333,,,0.6745713436889907
S,fold2,,,0.4166666666666667,,,0.049019607843137254
M,fold3,0.41253960132598877,0.8666666666666667,0.8,32.62050247192383,0.7554466142668071,0.7637741046831956
M,fold3,0.3727039694786072,,,34.832496643066406,,
R,fold3,-724.4505039151085,,,40282.821121798486,,
X,fold3,-720.0907592773438,,,40040.73046875,,
S,fold3,-729.2517318214634,,,40549.42374165043,,
M,fold3,,0.8833333333333333,,,0.7741669183529648,
R,fold3,,0.85,,,0.7280019721880187,
X,fold3,,0.8,,,0.6472271914132379,
S,fold3,,0.65,,,0.22683982683982684,
M,fold3,,,0.8833333333333333,,,0.8672761581852492
R,fold3,,,0.7666666666666667,,,0.7346259800805256
X,fold3,,,0.7666666666666667,,,0.6998046452591907
S,fold3,,,0.31666666666666665,,,0.06383838383838383
M,fold4,0.7413274049758911,0.847457627118644,0.8305084745762712,16.366928100585938,0.7245039682539682,0.8120135048364713
M,fold4,0.7330574989318848,,,16.890188217163086,,
R,fold4,-635.1960951188555,,,40253.87882639934,,
X,fold4,-670.1873779296875,,,42467.87109375,,
S,fold4,-592.6136127681744,,,37559.56790902194,,
M,fold4,,0.864406779661017,,,0.855997115910909,
R,fold4,,0.8135593220338984,,,0.7625,
X,fold4,,0.7627118644067796,,,0.7039116881858818,
S,fold4,,0.5084745762711864,,,0.1725,
M,fold4,,,0.8305084745762712,,,0.7987734487734488
R,fold4,,,0.847457627118644,,,0.8215700215700217
X,fold4,,,0.7457627118644068,,,0.6555593529277739
S,fold4,,,0.2711864406779661,,,0.03878787878787879
M,fold5,0.399399995803833,0.8813559322033898,0.8305084745762712,61.73759460449219,0.7798273155416012,0.771065046065046
M,fold5,0.39428746700286865,,,62.263126373291016,,
R,fold5,-374.457959064181,,,38594.52303896866,,
X,fold5,-382.6570739746094,,,39437.3359375,,
S,fold5,-303.6728396825478,,,31318.29448970626,,
M,fold5,,0.8983050847457628,,,0.8502877012874116,
R,fold5,,0.864406779661017,,,0.7302880452880453,
X,fold5,,0.8305084745762712,,,0.6573534175574992,
S,fold5,,0.6271186440677966,,,0.22770562770562772,
M,fold5,,,0.847457627118644,,,0.8348998223998222
R,fold5,,,0.8305084745762712,,,0.7805284425567445
X,fold5,,,0.7966101694915254,,,0.7206679326962345
S,fold5,,,0.4576271186440678,,,0.052941176470588235
