,,accuracy,accuracy,Loss,Loss
,,CEC,crop,CEC,crop
method,fold,,,,
M,fold1,0.5815799236297607,0.8,31.87131690979004,0.78505291005291
S,fold1,0.5699366331100464,,32.7581901550293,
R,fold1,-552.5494982710932,,42164.20952517227,
X,fold1,-595.7701416015625,,45456.35546875,
S,fold1,-458.3424544759161,,34988.40041373195,
S,fold1,,0.5166666666666667,,0.1765625
R,fold1,,0.6833333333333333,,0.49615863787375414
X,fold1,,0.75,,0.6670704539125591
S,fold1,,0.5333333333333333,,0.1874657909140668
M,fold2,0.20407283306121826,0.5,71.91523742675781,0.17076923076923078
S,fold2,0.2631377577781677,,66.57847595214844,
R,fold2,-512.0655015698404,,46357.53611972078,
X,fold2,-509.86151123046875,,46158.3984375,
S,fold2,-411.0925352160483,,37234.221610093606,
S,fold2,,0.5166666666666667,,0.2011111111111111
R,fold2,,0.7666666666666667,,0.6982984216393828
X,fold2,,0.7833333333333333,,0.7532179808495598
S,fold2,,0.5,,0.17329545454545453
M,fold3,0.29369235038757324,0.5833333333333334,49.23596954345703,0.2087959803982383
S,fold3,0.30923187732696533,,48.15272521972656,
R,fold3,-576.8033964868957,,40278.070872140284,
X,fold3,-555.9698486328125,,38825.7890625,
S,fold3,-532.6975241830468,,37203.49661152968,
S,fold3,,0.6,,0.21789005202783177
R,fold3,,0.85,,0.7676323676323676
X,fold3,,0.8333333333333334,,0.7476237686764003
S,fold3,,0.5833333333333334,,0.2153061224489796
M,fold4,0.4086199402809143,0.5666666666666667,40.539241790771484,0.17553667262969588
S,fold4,0.4372957944869995,,38.57350540161133,
R,fold4,-567.4960012407706,,38970.53311381924,
X,fold4,-551.7219848632812,,37889.22265625,
S,fold4,-547.6852647419213,,37612.50251896449,
S,fold4,,0.5666666666666667,,0.17602495543672014
R,fold4,,0.7833333333333333,,0.5720447563189499
X,fold4,,0.85,,0.7705357142857143
S,fold4,,0.5666666666666667,,0.17841312056737588
M,fold5,0.38335078954696655,0.6440677966101694,62.642032623291016,0.2248847926267281
S,fold5,0.37272316217422485,,63.72163391113281,
R,fold5,-397.65719394626194,,40497.40811396431,
X,fold5,-393.1156921386719,,40036.0625,
S,fold5,-322.110067213432,,32822.98791135483,
S,fold5,,0.6271186440677966,,0.21528822055137845
R,fold5,,0.7966101694915254,,0.5427572427572428
X,fold5,,0.8135593220338984,,0.7068236525379383
S,fold5,,0.6440677966101694,,0.22835497835497837
