,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,CEC,pref,area,CEC,pref,area
method,fold,,,,,,
M,fold1,0.17257916927337646,0.8166666666666667,1.0,60.721351623535156,0.6419461914744934,1.0
S,fold1,0.45098167657852173,,,40.29042053222656,,
R,fold1,-650.7103960522608,,,47826.608312795055,,
X,fold1,-666.459716796875,,,48982.39453125,,
S,fold1,-521.0184825355395,,,38308.999898575865,,
S,fold1,,0.8833333333333333,,,0.8100529100529098,
R,fold1,,0.75,,,0.6604797979797981,
X,fold1,,0.8166666666666667,,,0.7186202686202686,
S,fold1,,0.43333333333333335,,,0.050387596899224806,
S,fold1,,,0.9833333333333333,,,0.9761051373954599
R,fold1,,,0.9666666666666667,,,0.9534161490683231
X,fold1,,,0.9833333333333333,,,0.9761051373954599
S,fold1,,,0.9666666666666667,,,0.9509001636661212
M,fold2,0.23961544036865234,0.8333333333333334,1.0,65.15150451660156,0.7565965780251495,1.0
S,fold2,0.31391918659210205,,,58.78498458862305,,
R,fold2,-556.9162322886821,,,47803.552867641774,,
X,fold2,-560.2606811523438,,,48090.11328125,,
S,fold2,-458.40304212858416,,,39362.714939948055,,
S,fold2,,0.8666666666666667,,,0.8543178382464096,
R,fold2,,0.7833333333333333,,,0.648872371513881,
X,fold2,,0.8,,,0.6572390572390573,
S,fold2,,0.4166666666666667,,,0.049019607843137254,
S,fold2,,,1.0,,,1.0
R,fold2,,,0.9833333333333333,,,0.9687337154768108
X,fold2,,,1.0,,,1.0
S,fold2,,,0.9833333333333333,,,0.9687337154768108
M,fold3,0.3078901767730713,0.8333333333333334,1.0,59.51917266845703,0.7528804528804529,1.0
S,fold3,-0.5232646465301514,,,130.9957733154297,,
R,fold3,-470.6395439377751,,,40559.45517796674,,
X,fold3,-433.9483642578125,,,37404.1328125,,
S,fold3,-460.5838754382704,,,39694.70064024298,,
S,fold3,,0.8166666666666667,,,0.7887551842097296,
R,fold3,,0.7333333333333333,,,0.5727625088090205,
X,fold3,,0.7166666666666667,,,0.6146798139037606,
S,fold3,,0.3333333333333333,,,0.045454545454545456,
S,fold3,,,0.9833333333333333,,,0.9798319327731093
R,fold3,,,1.0,,,1.0
X,fold3,,,0.9833333333333333,,,0.9791013584117032
S,fold3,,,0.9833333333333333,,,0.9791013584117032
M,fold4,0.40366798639297485,0.85,0.9833333333333333,49.7020149230957,0.83256882006882,0.9818785865297492
S,fold4,0.5543066263198853,,,37.146854400634766,,
R,fold4,-479.1211929103291,,,40016.280890704955,,
X,fold4,-479.3305969238281,,,40033.734375,,
S,fold4,-449.93578211955406,,,37583.78756743608,,
S,fold4,,0.7333333333333333,,,0.5696977884477884,
R,fold4,,0.8166666666666667,,,0.8188287773653627,
X,fold4,,0.75,,,0.6996650707016561,
S,fold4,,0.3,,,0.038461538461538464,
S,fold4,,,0.9833333333333333,,,0.9818785865297492
R,fold4,,,0.9666666666666667,,,0.9633699633699633
X,fold4,,,0.9666666666666667,,,0.9633699633699633
S,fold4,,,0.9666666666666667,,,0.9633699633699633
M,fold5,0.4148387312889099,0.7796610169491526,1.0,46.8318977355957,0.7119528619528621,1.0
S,fold5,0.35936951637268066,,,51.271236419677734,,
R,fold5,-520.4736537757107,,,41734.823965469994,,
X,fold5,-520.2581787109375,,,41717.578125,,
S,fold5,-459.9745845530987,,,36892.934090883005,,
S,fold5,,0.7457627118644068,,,0.7026936026936026,
R,fold5,,0.7457627118644068,,,0.7065485046868026,
X,fold5,,0.7457627118644068,,,0.6235690235690236,
S,fold5,,0.3728813559322034,,,0.04526748971193415,
S,fold5,,,1.0,,,1.0
R,fold5,,,0.9661016949152542,,,0.9571220930232558
X,fold5,,,0.9661016949152542,,,0.9571220930232558
S,fold5,,,0.9830508474576272,,,0.9781238413051538
