,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,CEC,pref,crop,CEC,pref,crop
method,fold,,,,,,
M,fold1,0.594502329826355,0.8833333333333333,0.7666666666666667,30.88701057434082,0.8561942959001781,0.7466329966329965
S,fold1,0.5620538592338562,,,33.3586311340332,,
R,fold1,-549.8480449766969,,,41958.438147755885,,
X,fold1,-595.7701416015625,,,45456.35546875,,
S,fold1,-458.3424544759161,,,34988.40041373195,,
S,fold1,,0.4166666666666667,,,0.05020080321285141,
R,fold1,,0.8666666666666667,,,0.8502072612921668,
X,fold1,,0.8333333333333334,,,0.7859846502703646,
S,fold1,,0.43333333333333335,,,0.06874999999999999,
S,fold1,,,0.5333333333333333,,,0.2103987068965517
R,fold1,,,0.7166666666666667,,,0.5596888576539739
X,fold1,,,0.75,,,0.6670704539125591
S,fold1,,,0.5333333333333333,,,0.1874657909140668
M,fold2,0.18959802389144897,0.4,0.5,73.22309112548828,0.051948051948051945,0.17329545454545453
S,fold2,0.2630654573440552,,,66.58500671386719,,
R,fold2,-505.65635680029305,,,45778.44405595557,,
X,fold2,-509.86151123046875,,,46158.3984375,,
S,fold2,-411.0925352160483,,,37234.221610093606,,
S,fold2,,0.4,,,0.048192771084337345,
R,fold2,,0.75,,,0.5798412698412698,
X,fold2,,0.7333333333333333,,,0.5633743901601044,
S,fold2,,0.4166666666666667,,,0.07655826558265583,
S,fold2,,,0.5,,,0.16503456221198157
R,fold2,,,0.7833333333333333,,,0.6570609697208163
X,fold2,,,0.7833333333333333,,,0.7532179808495598
S,fold2,,,0.5,,,0.17329545454545453
M,fold3,0.26653289794921875,0.36666666666666664,0.5666666666666667,51.12922668457031,0.10346384862033148,0.20238095238095236
S,fold3,0.3401806950569153,,,45.99531555175781,,
R,fold3,-585.2438565193777,,,40866.44651937393,,
X,fold3,-555.9698486328125,,,38825.7890625,,
S,fold3,-532.6975241830468,,,37203.49661152968,,
S,fold3,,0.31666666666666665,,,0.04372842347525892,
R,fold3,,0.7666666666666667,,,0.7549873571404672,
X,fold3,,0.8333333333333334,,,0.7384520884520885,
S,fold3,,0.3333333333333333,,,0.0650662468844287,
S,fold3,,,0.5833333333333334,,,0.20952380952380953
R,fold3,,,0.8333333333333334,,,0.7333333333333333
X,fold3,,,0.8333333333333334,,,0.7476237686764003
S,fold3,,,0.5833333333333334,,,0.2153061224489796
M,fold4,0.37681955099105835,0.2833333333333333,0.5666666666666667,42.71916580200195,0.05293040293040293,0.17602495543672014
S,fold4,0.4436838626861572,,,38.13560485839844,,
R,fold4,-560.2726978591244,,,38475.3739869103,,
X,fold4,-551.7219848632812,,,37889.22265625,,
S,fold4,-547.6852647419213,,,37612.50251896449,,
S,fold4,,0.2833333333333333,,,0.053224553224553224,
R,fold4,,0.8166666666666667,,,0.8091931216931217,
X,fold4,,0.7666666666666667,,,0.7364951489951489,
S,fold4,,0.26666666666666666,,,0.03508771929824561,
S,fold4,,,0.5666666666666667,,,0.1752021563342318
R,fold4,,,0.8,,,0.6939964157706093
X,fold4,,,0.85,,,0.7705357142857143
S,fold4,,,0.5666666666666667,,,0.17841312056737588
M,fold5,0.36609214544296265,0.4915254237288136,0.6440677966101694,64.3952407836914,0.078531796841656,0.22148591818529376
S,fold5,0.39010268449783325,,,61.95614242553711,,
R,fold5,-403.75398422189267,,,41116.74775646114,,
X,fold5,-393.1156921386719,,,40036.0625,,
S,fold5,-322.110067213432,,,32822.98791135483,,
S,fold5,,0.4915254237288136,,,0.08101851851851852,
R,fold5,,0.8135593220338984,,,0.7442429687712707,
X,fold5,,0.847457627118644,,,0.7738366571699906,
S,fold5,,0.4745762711864407,,,0.07088353413654619,
S,fold5,,,0.6610169491525424,,,0.27586518478359084
R,fold5,,,0.7966101694915254,,,0.5693087864516436
X,fold5,,,0.8135593220338984,,,0.7068236525379383
S,fold5,,,0.6440677966101694,,,0.22835497835497837
