Metric,Model,CEC,pref,crop
R2,MT,0.359±0.136,0.485±0.210,0.609±0.091
R2,ST,0.400±0.101,0.382±0.074,0.569±0.054
R2,RF,-520.955±64.006,0.803±0.041,0.786±0.038
R2,SVR,-454.386±82.734,0.385±0.075,0.565±0.049
R2,XGB,-521.288±69.621,0.803±0.045,0.806±0.036
MSE,MT,52.471±15.071,0.229±0.314,0.304±0.222
MSE,ST,49.206±13.028,0.055±0.013,0.207±0.039
MSE,RF,41639.090±2371.293,0.748±0.092,0.643±0.068
MSE,SVR,35972.322±1826.734,0.063±0.015,0.197±0.022
MSE,XGB,41673.166±3450.673,0.720±0.080,0.729±0.037
