,,accuracy,accuracy,Loss,Loss
,,CEC,pref,CEC,pref
method,fold,,,,
M,fold1,0.49534279108047485,0.8666666666666667,38.44005584716797,0.7691572588631411
S,fold1,0.5005109310150146,,38.04639434814453,
R,fold1,-564.8202158249512,,43098.87771217457,
X,fold1,-595.7701416015625,,45456.35546875,
S,fold1,-458.3424544759161,,34988.40041373195,
S,fold1,,0.5,,0.16262317494711861
R,fold1,,0.85,,0.8058890794739852
X,fold1,,0.8333333333333334,,0.7859846502703646
S,fold1,,0.43333333333333335,,0.06874999999999999
M,fold2,0.2629290819168091,0.75,66.59732818603516,0.577179288865772
S,fold2,0.3176041841506958,,61.65721893310547,
R,fold2,-504.81652864399763,,45702.562196873834,
X,fold2,-509.86151123046875,,46158.3984375,
S,fold2,-411.0925352160483,,37234.221610093606,
S,fold2,,0.6333333333333333,,0.4749649859943978
R,fold2,,0.75,,0.5774917542774686
X,fold2,,0.7333333333333333,,0.5633743901601044
S,fold2,,0.4166666666666667,,0.07655826558265583
M,fold3,0.4130765199661255,0.9333333333333333,40.91382598876953,0.9485919485919486
S,fold3,0.40411972999572754,,41.5381965637207,
R,fold3,-576.356355997823,,40246.90814687584,
X,fold3,-555.9698486328125,,38825.7890625,
S,fold3,-532.6975241830468,,37203.49661152968,
S,fold3,,0.6333333333333333,,0.567512790240063
R,fold3,,0.8333333333333334,,0.8036448400084765
X,fold3,,0.8333333333333334,,0.7384520884520885
S,fold3,,0.3333333333333333,,0.0650662468844287
M,fold4,0.4146989583969116,0.85,40.12252426147461,0.8397116772116773
S,fold4,0.45863914489746094,,37.11041259765625,
R,fold4,-567.7069105047505,,38984.990992921295,
X,fold4,-551.7219848632812,,37889.22265625,
S,fold4,-547.6852647419213,,37612.50251896449,
S,fold4,,0.6166666666666667,,0.5153439153439153
R,fold4,,0.7833333333333333,,0.7289082914082914
X,fold4,,0.7666666666666667,,0.7364951489951489
S,fold4,,0.26666666666666666,,0.03508771929824561
M,fold5,0.404400110244751,0.8135593220338984,60.503746032714844,0.7798721340388006
S,fold5,0.4234347939491272,,58.57011413574219,
R,fold5,-396.57485298057696,,40387.45900362237,
X,fold5,-393.1156921386719,,40036.0625,
S,fold5,-322.110067213432,,32822.98791135483,
S,fold5,,0.711864406779661,,0.5511248991121872
R,fold5,,0.847457627118644,,0.8055928639261972
X,fold5,,0.847457627118644,,0.7738366571699906
S,fold5,,0.4745762711864407,,0.07088353413654619
