,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,CEC,soiltype,area,CEC,soiltype,area
method,fold,,,,,,
M,fold1,0.4110618233680725,0.8333333333333334,1.0,47.24589920043945,0.28987699132889694,1.0
S,fold1,0.44664955139160156,,,44.39097213745117,,
R,fold1,-568.6432085289915,,,45698.01011935087,,
X,fold1,-578.6451416015625,,,46500.38671875,,
S,fold1,-535.8255475385248,,,43065.3063820264,,
S,fold1,,0.6333333333333333,,,0.214017094017094,
R,fold1,,0.7166666666666667,,,0.24852911341042808,
X,fold1,,0.7666666666666667,,,0.2689265536723164,
S,fold1,,0.6833333333333333,,,0.2349206349206349,
S,fold1,,,1.0,,,1.0
R,fold1,,,1.0,,,1.0
X,fold1,,,1.0,,,1.0
S,fold1,,,0.9833333333333333,,,0.9791013584117032
M,fold2,0.2614884376525879,0.8813559322033898,0.9830508474576272,64.95545196533203,0.4468253968253968,0.9618122977346278
S,fold2,0.3256576657295227,,,59.31147766113281,,
R,fold2,-533.8767417646901,,,47044.83850983126,,
X,fold2,-516.6876220703125,,,45532.98046875,,
S,fold2,-383.17291654913487,,,33789.75268073255,,
S,fold2,,0.8813559322033898,,,0.4458333333333333,
R,fold2,,0.847457627118644,,,0.42485168094924197,
X,fold2,,0.847457627118644,,,0.42485168094924197,
S,fold2,,0.711864406779661,,,0.32417802726543704,
S,fold2,,,0.9830508474576272,,,0.9618122977346278
R,fold2,,,0.9491525423728814,,,0.8703296703296703
X,fold2,,,0.9661016949152542,,,0.9189560439560439
S,fold2,,,0.9491525423728814,,,0.8703296703296703
M,fold3,-0.2500694990158081,0.8813559322033898,1.0,75.38675689697266,0.3616222760290557,1.0
S,fold3,0.44192349910736084,,,33.65538787841797,,
R,fold3,-777.4358765343437,,,46944.39731174792,,
X,fold3,-783.5233154296875,,,47311.50390625,,
S,fold3,-772.728540543313,,,46660.51644537949,,
S,fold3,,0.8305084745762712,,,0.34129901960784315,
R,fold3,,0.8135593220338984,,,0.4661233019853709,
X,fold3,,0.847457627118644,,,0.5661100267476324,
S,fold3,,0.7627118644067796,,,0.3111940298507463,
S,fold3,,,1.0,,,1.0
R,fold3,,,1.0,,,1.0
X,fold3,,,1.0,,,1.0
S,fold3,,,1.0,,,1.0
M,fold4,0.5438948273658752,0.7966101694915254,1.0,35.35878372192383,0.282642089093702,1.0
S,fold4,0.322612464427948,,,52.51332473754883,,
R,fold4,-543.2398431345584,,,42191.27561432343,,
X,fold4,-580.306884765625,,,45064.8359375,,
S,fold4,-491.55304944527967,,,38184.34413792678,,
S,fold4,,0.7966101694915254,,,0.2825851225330731,
R,fold4,,0.7796610169491526,,,0.27629870129870127,
X,fold4,,0.7796610169491526,,,0.2761533463287849,
S,fold4,,0.7288135593220338,,,0.2572390572390572,
S,fold4,,,1.0,,,1.0
R,fold4,,,0.9830508474576272,,,0.9808503732554366
X,fold4,,,0.9661016949152542,,,0.9611842105263158
S,fold4,,,0.9661016949152542,,,0.9611842105263158
M,fold5,0.39480888843536377,0.6779661016949152,0.9830508474576272,51.177146911621094,0.2881720430107527,0.9781238413051538
S,fold5,0.350680947303772,,,54.90876007080078,,
R,fold5,-532.8759762184507,,,45146.47978165025,,
X,fold5,-549.1746826171875,,,46524.75390625,,
S,fold5,-447.02993146066996,,,37887.028342303296,,
S,fold5,,0.6779661016949152,,,0.28717948717948716,
R,fold5,,0.711864406779661,,,0.3027099364335898,
X,fold5,,0.6779661016949152,,,0.28933333333333333,
S,fold5,,0.6440677966101694,,,0.2708683473389356,
S,fold5,,,0.9830508474576272,,,0.9781238413051538
R,fold5,,,0.9830508474576272,,,0.9781238413051538
X,fold5,,,0.8983050847457628,,,0.8760504201680672
S,fold5,,,0.9830508474576272,,,0.9781238413051538
