Metric,Model,CEC,soiltype,area
R2,MT,0.272±0.276,0.814±0.075,0.993±0.008
R2,ST,0.378±0.055,0.764±0.094,0.993±0.008
R2,RF,-591.214±94.000,0.774±0.053,0.983±0.019
R2,SVR,-526.062±133.262,0.706±0.040,0.976±0.017
R2,XGB,-601.668±93.846,0.784±0.063,0.966±0.037
MSE,MT,54.825±13.965,0.334±0.064,0.988±0.016
MSE,ST,48.956±9.058,0.314±0.077,0.988±0.016
MSE,RF,45405.000±1762.925,0.344±0.086,0.966±0.049
MSE,SVR,39917.390±4473.318,0.280±0.033,0.958±0.045
MSE,XGB,46186.892±795.461,0.365±0.116,0.951±0.048
