,,accuracy,accuracy,Loss,Loss
,,CEC,soiltype,CEC,soiltype
method,fold,,,,
M,fold1,0.5526126623153687,0.85,35.890384674072266,0.2956241177656786
S,fold1,0.5138252973556519,,39.00199508666992,
R,fold1,-599.1819645379719,,48147.89649563164,
X,fold1,-627.1763916015625,,50393.6796875,
S,fold1,-556.2477063810009,,44703.61736030319,
S,fold1,,0.8666666666666667,,0.3015151515151515
R,fold1,,0.7333333333333333,,0.2537621109049681
X,fold1,,0.7833333333333333,,0.2749871597329225
S,fold1,,0.6666666666666666,,0.22812633376013658
M,fold2,0.3915841579437256,0.864406779661017,53.512939453125,0.43333333333333335
S,fold2,0.3319782018661499,,58.75555419921875,
R,fold2,-536.4763063231765,,47273.48128243027,
X,fold2,-550.8887939453125,,48541.1328125,
S,fold2,-407.1382977811366,,35897.616236869515,
S,fold2,,0.8813559322033898,,0.4438035596572182
R,fold2,,0.8305084745762712,,0.4159919028340081
X,fold2,,0.8305084745762712,,0.4141666666666667
S,fold2,,0.7288135593220338,,0.3318965517241379
M,fold3,0.5105165839195251,0.847457627118644,29.51881217956543,0.34806295399515735
S,fold3,0.44838643074035645,,33.2656364440918,
R,fold3,-759.3119063313177,,45851.41109586595,
X,fold3,-793.509521484375,,47913.73046875,
S,fold3,-769.1989443793652,,46447.65934909789,
S,fold3,,0.8813559322033898,,0.3617664851784634
R,fold3,,0.8305084745762712,,0.3409558378705384
X,fold3,,0.8305084745762712,,0.3412121212121212
S,fold3,,0.7627118644067796,,0.3111940298507463
M,fold4,0.6550627946853638,0.7796610169491526,26.740676879882812,0.2764782326185835
S,fold4,0.6718347072601318,,25.440460205078125,
R,fold4,-544.5753819733009,,42294.81145826326,
X,fold4,-557.9554443359375,,43332.0859375,
S,fold4,-497.0914516750326,,38613.69983625673,
S,fold4,,0.7627118644067796,,0.27030539311241064
R,fold4,,0.7627118644067796,,0.2702380952380952
X,fold4,,0.7796610169491526,,0.27619047619047615
S,fold4,,0.7288135593220338,,0.25786790780141844
M,fold5,0.36569058895111084,0.6949152542372882,53.63949203491211,0.29538043478260867
S,fold5,0.39083176851272583,,51.513465881347656,
R,fold5,-577.5121264015278,,48921.07324433261,
X,fold5,-602.0081176757812,,50992.54296875,
S,fold5,-455.19343204149004,,38577.36300413403,
S,fold5,,0.6949152542372882,,0.29538043478260867
R,fold5,,0.6779661016949152,,0.28933333333333333
X,fold5,,0.6779661016949152,,0.29032901296111663
S,fold5,,0.6440677966101694,,0.2708683473389356
