,,accuracy,accuracy,Loss,Loss
,,CEC,year,CEC,year
method,fold,,,,
M,fold1,0.4123423099517822,0.9,43.12602233886719,0.9033189033189033
S,fold1,0.4555114507675171,,39.95800018310547,
R,fold1,-660.4689299673907,,48542.75091554191,
X,fold1,-696.8348388671875,,51211.51171875,
S,fold1,-521.0184825355395,,38308.999898575865,
S,fold1,,0.95,,0.9547715965626414
R,fold1,,0.85,,0.8382374469330992
X,fold1,,0.8333333333333334,,0.8093208297811878
S,fold1,,0.6333333333333333,,0.39826839826839827
M,fold2,0.29038721323013306,0.9666666666666667,60.80126190185547,0.9615242469839762
S,fold2,0.31660687923431396,,58.5546989440918,
R,fold2,-560.1974980653133,,48084.69930674522,
X,fold2,-570.705810546875,,48985.07421875,
S,fold2,-458.40304212858416,,39362.714939948055,
S,fold2,,0.9666666666666667,,0.9696394686907022
R,fold2,,0.8666666666666667,,0.841025641025641
X,fold2,,0.9333333333333333,,0.9219072444878896
S,fold2,,0.6333333333333333,,0.4177631578947369
M,fold3,0.4367824196815491,0.9,48.43486404418945,0.9012133917794295
S,fold3,0.4989028573036194,,43.09271240234375,
R,fold3,-471.5311256712456,,40636.128285260216,
X,fold3,-437.29974365234375,,37692.33984375,
S,fold3,-460.5838754382704,,39694.70064024298,
S,fold3,,0.9166666666666666,,0.92316760280147
R,fold3,,0.8833333333333333,,0.8962481962481963
X,fold3,,0.9166666666666666,,0.9115009746588694
S,fold3,,0.6833333333333333,,0.48433048433048437
M,fold4,0.6082400679588318,0.8666666666666667,32.65170669555664,0.8635586635586635
S,fold4,0.3530542254447937,,53.920475006103516,
R,fold4,-493.61443221023404,,41224.237430439534,
X,fold4,-492.8022766113281,,41156.546875,
S,fold4,-449.93578211955406,,37583.78756743608,
S,fold4,,0.9,,0.9091425541584609
R,fold4,,0.8666666666666667,,0.881860964435956
X,fold4,,0.85,,0.8537067148449262
S,fold4,,0.5,,0.3638888888888889
M,fold5,0.35851073265075684,0.8813559322033898,51.339969635009766,0.8668430335097002
S,fold5,0.3906652331352234,,48.766563415527344,
R,fold5,-515.4810236816236,,41335.251452855475,
X,fold5,-525.3080444335938,,42121.73046875,
S,fold5,-459.9745845530987,,36892.934090883005,
S,fold5,,0.8983050847457628,,0.8865137566963125
R,fold5,,0.9152542372881356,,0.9121966794380588
X,fold5,,0.9152542372881356,,0.9045340624287993
S,fold5,,0.711864406779661,,0.5181295323830958
