,,accuracy,accuracy,accuracy,accuracy,Loss,Loss,Loss,Loss
,,EC,NH4.N,NO3.N,Inorganic.N,EC,NH4.N,NO3.N,Inorganic.N
method,fold,,,,,,,,
M,fold1,0.49583542346954346,0.3290315866470337,0.3942343592643738,0.23237335681915283,0.0008298549219034612,0.17580340802669525,2.05269718170166,2.4774012565612793
S,fold1,0.5265718102455139,,,,0.0007792628020979464,,,
R,fold1,0.01353371152872962,,,,0.001623723474251379,,,
X,fold1,0.010581374168395996,,,,0.001628583064302802,,,
S,fold1,-0.04536950933163664,,,,0.0017206781736037592,,,
S,fold1,,0.3980841040611267,,,,0.15771064162254333,,
R,fold1,,-3.138789211513944,,,,1.0844225540830696,,
X,fold1,,-4.2932915687561035,,,,1.3869187831878662,,
S,fold1,,-1.9798244758640675,,,,0.7807570532575477,,
S,fold1,,,-0.10684192180633545,,,,3.7506439685821533,
R,fold1,,,-6.477664885084853,,,,25.33881193672968,
X,fold1,,,-6.2660813331604,,,,24.621837615966797,
S,fold1,,,-2.3970616529526354,,,,11.511281621263258,
S,fold1,,,,0.21899276971817017,,,,2.520585060119629
R,fold1,,,,-12.801039970399597,,,,44.54081340996511
X,fold1,,,,-11.83056354522705,,,,41.40874481201172
S,fold1,,,,-7.265318690143976,,,,26.675092481522668
M,fold2,0.6420021057128906,0.5807015299797058,0.6524728536605835,0.5648499727249146,0.0008693283889442682,0.2360813021659851,1.8511301279067993,2.2305331230163574
S,fold2,0.6513863801956177,,,,0.0008465404389426112,,,
R,fold2,0.0403992078187827,,,,0.002330203944835392,,,
X,fold2,0.035781800746917725,,,,0.0023414164315909147,,,
S,fold2,0.021643063294958464,,,,0.0023757495949801497,,,
S,fold2,,0.5617472529411316,,,,0.2467532753944397,,
R,fold2,,-0.8882667548793828,,,,1.0631674712542807,,
X,fold2,,-0.884667158126831,,,,1.0611406564712524,,
S,fold2,,-0.32499370232910096,,,,0.7460228806618272,,
S,fold2,,,0.6396362781524658,,,,1.9195054769515991,
R,fold2,,,-2.7353403364375732,,,,19.896579734358458,
X,fold2,,,-3.3778247833251953,,,,23.31882095336914,
S,fold2,,,-1.0312560295970106,,,,10.819642633237937,
S,fold2,,,,0.6005524396896362,,,,2.0475263595581055
R,fold2,,,,-6.148440891522132,,,,36.64215682643469
X,fold2,,,,-7.421368598937988,,,,43.167049407958984
S,fold2,,,,-3.325111832984267,,,,22.170068757794848
M,fold3,0.5344637632369995,0.4487924575805664,0.5376659035682678,0.5652433037757874,0.0012052215170115232,0.26973679661750793,2.4505414962768555,2.3581995964050293
S,fold3,0.47715383768081665,,,,0.0013535905163735151,,,
R,fold3,-0.004305122877131806,,,,0.002600034520164585,,,
X,fold3,-0.010633707046508789,,,,0.002616418059915304,,,
S,fold3,-0.05223759720807064,,,,0.0027241263773686145,,,
S,fold3,,0.2521875500679016,,,,0.3659466505050659,,
R,fold3,,-0.9234201262510517,,,,0.9412375211557534,,
X,fold3,,-1.1891529560089111,,,,1.0712754726409912,,
S,fold3,,-0.5446151649690063,,,,0.7558669731967081,,
S,fold3,,,0.6863095760345459,,,,1.6626750230789185,
R,fold3,,,-3.435470096411983,,,,23.509624832295625,
X,fold3,,,-3.819974422454834,,,,25.547643661499023,
S,fold3,,,-1.3051487828796673,,,,12.218137399226915,
S,fold3,,,,0.5879208445549011,,,,2.23519229888916
R,fold3,,,,-7.109527426938826,,,,43.98755332348841
X,fold3,,,,-7.676359176635742,,,,47.06214904785156
S,fold3,,,,-3.718365132935295,,,,25.59327158759302
M,fold4,0.4907193183898926,0.37255150079727173,0.5724564790725708,0.48345011472702026,0.0014663886977359653,0.7150231599807739,2.883371114730835,3.6765291690826416
S,fold4,0.4850950241088867,,,,0.0014825831167399883,,,
R,fold4,0.01677148386365135,,,,0.0028310426236337733,,,
X,fold4,0.031725406646728516,,,,0.0027879851404577494,,,
S,fold4,-0.033336964366720734,,,,0.002975321548030487,,,
S,fold4,,0.35574519634246826,,,,0.7341751456260681,,
R,fold4,,0.038450844612568535,,,,1.0957550315035425,,
X,fold4,,-0.04189574718475342,,,,1.187315821647644,,
S,fold4,,-0.039485708374892736,,,,1.1845693886225432,,
S,fold4,,,0.5614092350006104,,,,2.957873821258545,
R,fold4,,,-2.3708934909996553,,,,22.733438046486174,
X,fold4,,,-2.3327677249908447,,,,22.476322174072266,
S,fold4,,,-0.8346087828623954,,,,12.372673659402173,
S,fold4,,,,0.5577876567840576,,,,3.1474337577819824
R,fold4,,,,-4.47684159317165,,,,38.98126349438232
X,fold4,,,,-4.256398677825928,,,,37.412269592285156
S,fold4,,,,-2.367318234868444,,,,23.966791288340126
M,fold5,0.5306199789047241,0.533189058303833,0.6607282161712646,0.6139309406280518,0.0014200330479070544,0.3587457835674286,2.2945950031280518,2.498708486557007
