Metric,Model,EC,NH4.N,NO3.N,Inorganic.N
R2,MT,0.468±0.042,0.230±0.183,0.507±0.040,0.401±0.056
R2,ST,0.472±0.052,0.327±0.067,0.482±0.082,0.401±0.105
R2,RF,0.022±0.019,-1.048±1.083,-3.697±1.270,-7.404±2.785
R2,SVR,-0.017±0.034,-0.596±0.715,-1.247±0.613,-3.788±1.825
R2,XGB,0.020±0.018,-1.402±1.494,-3.812±1.319,-7.580±2.445
MSE,MT,0.001±0.000,0.529±0.301,2.760±0.795,3.345±1.050
MSE,ST,0.001±0.000,0.422±0.174,2.773±0.449,3.187±0.700
MSE,RF,0.002±0.000,1.049±0.080,24.506±3.292,42.460±3.516
MSE,SVR,0.003±0.000,0.861±0.165,11.640±0.582,23.907±2.061
MSE,XGB,0.002±0.000,1.187±0.119,24.960±2.206,43.797±4.364
