,,accuracy,accuracy,Loss,Loss
,,EC,area,EC,area
method,fold,,,,
M,fold1,-0.1538630723953247,1.0,0.001837975694797933,1.0
S,fold1,0.40537595748901367,,0.0009471700759604573,
R,fold1,-0.016682772788252143,,0.0016194626571046009,
X,fold1,-0.010471224784851074,,0.0016095683677121997,
S,fold1,-0.08910294576708755,,0.0017348199434670264,
S,fold1,,1.0,,1.0
R,fold1,,0.9666666666666667,,0.9509001636661212
X,fold1,,0.9833333333333333,,0.9761051373954599
S,fold1,,0.9666666666666667,,0.9509001636661212
M,fold2,0.5282632112503052,1.0,0.0016017429297789931,1.0
S,fold2,0.4998807907104492,,0.0016981131630018353,
R,fold2,0.041033796150263036,,0.003256089768672999,
X,fold2,0.04267680644989014,,0.0032505111303180456,
S,fold2,0.016301366006764795,,0.003340066672573653,
S,fold2,,1.0,,1.0
R,fold2,,0.9666666666666667,,0.934640522875817
X,fold2,,0.9666666666666667,,0.934640522875817
S,fold2,,0.9833333333333333,,0.9687337154768108
M,fold3,0.5559855699539185,1.0,0.001070765545591712,1.0
S,fold3,0.3196764588356018,,0.0016406381037086248,
R,fold3,-0.0008428636281085922,,0.0024135881400788187,
X,fold3,0.0025583505630493164,,0.002405386185273528,
S,fold3,-0.05977556365763448,,0.0025557076185936194,
S,fold3,,1.0,,1.0
R,fold3,,0.9833333333333333,,0.9798319327731093
X,fold3,,0.9833333333333333,,0.9791013584117032
S,fold3,,0.9833333333333333,,0.9791013584117032
M,fold4,0.5890084505081177,0.9666666666666667,0.0009452349040657282,0.9633699633699633
S,fold4,0.6166423559188843,,0.000881680054590106,
R,fold4,0.03685742722685803,,0.002215121013446885,
X,fold4,0.05487769842147827,,0.002173676621168852,
S,fold4,-0.02922540841076371,,0.0023671042005544616,
S,fold4,,0.9666666666666667,,0.9633699633699633
R,fold4,,0.9666666666666667,,0.9633699633699633
X,fold4,,0.9666666666666667,,0.9633699633699633
S,fold4,,0.9666666666666667,,0.9633699633699633
M,fold5,0.4130096435546875,1.0,0.0017314278520643711,1.0
S,fold5,0.36099082231521606,,0.0018848661566153169,
R,fold5,0.03902646486556005,,0.002834554441690133,
X,fold5,0.042442262172698975,,0.0028244792483747005,
S,fold5,0.0021722634036595023,,0.0029432621600917206,
S,fold5,,0.9830508474576272,,0.9781238413051538
R,fold5,,0.9830508474576272,,0.9781238413051538
X,fold5,,0.9661016949152542,,0.9571220930232558
S,fold5,,0.9830508474576272,,0.9781238413051538
