,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,EC,crop,pref,EC,crop,pref
method,fold,,,,,,
M,fold1,0.5277339220046997,0.7758620689655172,0.7586206896551724,0.0007796602440066636,0.5953785980101769,0.7233737939620294
M,fold1,0.5309848189353943,,,0.00077429338125512,,
R,fold1,-0.04891751538382594,,,0.0017316493040183773,,
X,fold1,-0.04689490795135498,,,0.0017283102497458458,,
S,fold1,-0.10318176888564845,,,0.001821233714070986,,
M,fold1,,0.7931034482758621,,,0.6503389154704944,
R,fold1,,0.7758620689655172,,,0.5670055821371611,
X,fold1,,0.8103448275862069,,,0.7183019713261648,
S,fold1,,0.5344827586206896,,,0.18046955624355004,
M,fold1,,,0.7931034482758621,,,0.739021164021164
R,fold1,,,0.7068965517241379,,,0.6286377286377286
X,fold1,,,0.7758620689655172,,,0.6762007328183799
S,fold1,,,0.27586206896551724,,,0.036036036036036036
M,fold2,0.5285239219665527,0.8793103448275862,0.8103448275862069,0.0006763382698409259,0.684767316017316,0.7770002724548178
M,fold2,0.546215832233429,,,0.0006509590311907232,,
R,fold2,0.008909652854655947,,,0.0014217315305276549,,
X,fold2,0.009163856506347656,,,0.0014213668182492256,,
S,fold2,-0.023308475843967003,,,0.0014679488401375858,,
M,fold2,,0.8793103448275862,,,0.7637645687645687,
R,fold2,,0.8448275862068966,,,0.6596590909090909,
X,fold2,,0.8448275862068966,,,0.7360294117647059,
S,fold2,,0.5517241379310345,,,0.17995689655172414,
M,fold2,,,0.7931034482758621,,,0.7046536796536796
R,fold2,,,0.8103448275862069,,,0.7210470085470085
X,fold2,,,0.7931034482758621,,,0.6637959262959263
S,fold2,,,0.3620689655172414,,,0.04833141542002301
M,fold3,0.5066012144088745,0.896551724137931,0.8275862068965517,0.0008901857072487473,0.8422165136450851,0.7348721539898011
M,fold3,0.5080651044845581,,,0.0008875447092577815,,
R,fold3,0.02653709687650052,,,0.001756313320959179,,
X,fold3,0.03067326545715332,,,0.0017488508019596338,,
S,fold3,-0.007588742815032079,,,0.0018178828647464603,,
M,fold3,,0.9137931034482759,,,0.8730989730989732,
R,fold3,,0.7758620689655172,,,0.6414204105234005,
X,fold3,,0.7931034482758621,,,0.6613114062829434,
S,fold3,,0.5862068965517241,,,0.22083780880773363,
M,fold3,,,0.8793103448275862,,,0.8014180264180264
R,fold3,,,0.8275862068965517,,,0.734872153989801
X,fold3,,,0.7931034482758621,,,0.6088614163614163
S,fold3,,,0.41379310344827586,,,0.048780487804878044
M,fold4,0.6190402507781982,0.9298245614035088,0.8771929824561403,0.00042973755626007915,0.8862179487179487,0.8597763347763347
M,fold4,0.6307048201560974,,,0.00041657945257611573,,
R,fold4,-0.08032433985202347,,,0.0012186483183169866,,
X,fold4,-0.07859241962432861,,,0.0012166945962235332,,
S,fold4,-0.1584669719867846,,,0.0013067962788201567,,
M,fold4,,0.9298245614035088,,,0.8862179487179487,
R,fold4,,0.8596491228070176,,,0.6748511904761905,
X,fold4,,0.8421052631578947,,,0.8132966570466571,
S,fold4,,0.543859649122807,,,0.17831262939958592,
M,fold4,,,0.8947368421052632,,,0.8699296890473361
R,fold4,,,0.7894736842105263,,,0.7691772816772816
X,fold4,,,0.7017543859649122,,,0.6531237281237281
S,fold4,,,0.3157894736842105,,,0.06768388106416275
M,fold5,0.3069322109222412,0.8245614035087719,0.8947368421052632,0.0008835600456222892,0.7849369098080291,0.8102564102564103
M,fold5,0.31876760721206665,,,0.0008684716303832829,,
R,fold5,0.03474765751991371,,,0.0012305555477480708,,
X,fold5,0.034605443477630615,,,0.0012307368451729417,,
S,fold5,-0.0045861137771487925,,,0.0012807003527418514,,
M,fold5,,0.8070175438596491,,,0.730515141100546,
R,fold5,,0.7719298245614035,,,0.6558185958157655,
X,fold5,,0.8245614035087719,,,0.7573116068132679,
S,fold5,,0.5789473684210527,,,0.21505376344086022,
M,fold5,,,0.8771929824561403,,,0.8020889748549322
R,fold5,,,0.8245614035087719,,,0.6894599919744988
X,fold5,,,0.7894736842105263,,,0.6891486291486292
S,fold5,,,0.38596491228070173,,,0.05569620253164557
