,,accuracy,accuracy,Loss,Loss
,,EC,crop,EC,crop
method,fold,,,,
M,fold1,0.4682748317718506,0.7666666666666667,0.0008752196445129812,0.7355128667628668
S,fold1,0.49637943506240845,,0.0008289594552479684,
R,fold1,0.013996445730615426,,0.0016229618137722304,
X,fold1,0.010581374168395996,,0.001628583064302802,
S,fold1,-0.04536950933163664,,0.0017206781736037592,
S,fold1,,0.7833333333333333,,0.769233312983313
R,fold1,,0.75,,0.6224483204134367
X,fold1,,0.75,,0.6670704539125591
S,fold1,,0.5333333333333333,,0.1874657909140668
M,fold2,0.6046979427337646,0.7833333333333333,0.0009599142940714955,0.6664484451718494
S,fold2,0.6468931436538696,,0.0008574514067731798,
R,fold2,0.039501174986245724,,0.0023323846429611334,
X,fold2,0.035781800746917725,,0.0023414164315909147,
S,fold2,0.021643063294958464,,0.0023757495949801497,
S,fold2,,0.8333333333333334,,0.8124600205995555
R,fold2,,0.75,,0.5805749557348023
X,fold2,,0.7833333333333333,,0.7532179808495598
S,fold2,,0.5,,0.17329545454545453
M,fold3,0.4901275038719177,0.8833333333333333,0.0013200030662119389,0.8010020224305938
S,fold3,0.4617135524749756,,0.001393563812598586,
R,fold3,-0.006725903873271211,,0.0026063016535410335,
X,fold3,-0.010633707046508789,,0.002616418059915304,
S,fold3,-0.05223759720807064,,0.0027241263773686145,
S,fold3,,0.9,,0.8302005012531328
R,fold3,,0.8166666666666667,,0.6670329670329671
X,fold3,,0.8333333333333334,,0.7476237686764003
S,fold3,,0.5833333333333334,,0.2153061224489796
M,fold4,0.4240994453430176,0.8666666666666667,0.0016582097159698606,0.8118437118437118
S,fold4,0.5466870069503784,,0.0013052391586825252,
R,fold4,0.014637228908669586,,0.002837187855030232,
X,fold4,0.031725406646728516,,0.0027879851404577494,
S,fold4,-0.033336964366720734,,0.002975321548030487,
S,fold4,,0.8833333333333333,,0.8701617826617827
R,fold4,,0.8166666666666667,,0.7073412698412698
X,fold4,,0.85,,0.7705357142857143
S,fold4,,0.5666666666666667,,0.17841312056737588
M,fold5,0.48633354902267456,0.8135593220338984,0.001554014626890421,0.634327471041467
S,fold5,0.4902390241622925,,0.0015421990538015962,
R,fold5,0.04008916857240796,,0.002904054151041926,
X,fold5,0.034298717975616455,,0.0029215726535767317,
S,fold5,0.025938868204462118,,0.002946863584144071,
S,fold5,,0.8135593220338984,,0.737023370717952
R,fold5,,0.8135593220338984,,0.5553161124589695
X,fold5,,0.8135593220338984,,0.7068236525379383
S,fold5,,0.6440677966101694,,0.22835497835497837
