,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,EC,pref,area,EC,pref,area
method,fold,,,,,,
M,fold1,0.3044350743293762,0.8166666666666667,0.9666666666666667,0.0011079576797783375,0.6884479717813049,0.9534161490683231
S,fold1,0.40831804275512695,,,0.0009424836025573313,,
R,fold1,-0.017884637968603068,,,0.0016213770947547188,,
X,fold1,-0.017371535301208496,,,0.0016205598367378116,,
S,fold1,-0.08910294576708733,,,0.0017348199434670262,,
S,fold1,,0.7833333333333333,,,0.6855353252412075,
R,fold1,,0.8333333333333334,,,0.7982323232323232,
X,fold1,,0.8166666666666667,,,0.7186202686202686,
S,fold1,,0.43333333333333335,,,0.050387596899224806,
S,fold1,,,0.9833333333333333,,,0.9761051373954599
R,fold1,,,0.9666666666666667,,,0.9534161490683231
X,fold1,,,0.9833333333333333,,,0.9761051373954599
S,fold1,,,0.9666666666666667,,,0.9509001636661212
M,fold2,0.5621193051338196,0.8,1.0,0.001486787456087768,0.6602295191580906,1.0
S,fold2,0.5164237022399902,,,0.001641943003050983,,
R,fold2,0.041503708288685104,,,0.003254494221197031,,
X,fold2,0.041798949241638184,,,0.003253492061048746,,
S,fold2,0.016301366006764795,,,0.003340066672573653,,
S,fold2,,0.7833333333333333,,,0.6319594504468454,
R,fold2,,0.75,,,0.6160644910644911,
X,fold2,,0.8,,,0.6572390572390573,
S,fold2,,0.4166666666666667,,,0.049019607843137254,
S,fold2,,,1.0,,,1.0
R,fold2,,,0.9833333333333333,,,0.9687337154768108
X,fold2,,,1.0,,,1.0
S,fold2,,,0.9833333333333333,,,0.9687337154768108
M,fold3,0.3789191246032715,0.8,1.0,0.0014977712417021394,0.7336254654436473,1.0
S,fold3,0.5177817344665527,,,0.001162896165624261,,
R,fold3,0.00047109773590681137,,,0.0024104194492883257,,
X,fold3,0.0041770339012146,,,0.0024014825467020273,,
S,fold3,-0.0597755636576347,,,0.00255570761859362,,
S,fold3,,0.8333333333333334,,,0.7638891411618686,
R,fold3,,0.8,,,0.6987694124057761,
X,fold3,,0.7166666666666667,,,0.6146798139037606,
S,fold3,,0.3333333333333333,,,0.045454545454545456,
S,fold3,,,1.0,,,1.0
R,fold3,,,1.0,,,1.0
X,fold3,,,0.9833333333333333,,,0.9791013584117032
S,fold3,,,0.9833333333333333,,,0.9791013584117032
M,fold4,0.574478030204773,0.8,0.9833333333333333,0.0009786533191800117,0.7047669922669924,0.9818785865297492
S,fold4,0.5009719729423523,,,0.0011477092048153281,,
R,fold4,0.041699646888415765,,,0.002203984445687079,,
X,fold4,0.05345594882965088,,,0.002176946494728327,,
S,fold4,-0.02922540841076393,,,0.002367104200554462,,
S,fold4,,0.8333333333333334,,,0.7987886382623225,
R,fold4,,0.7833333333333333,,,0.7782398157398158,
X,fold4,,0.75,,,0.6996650707016561,
S,fold4,,0.3,,,0.038461538461538464,
S,fold4,,,0.9833333333333333,,,0.9818785865297492
R,fold4,,,0.9666666666666667,,,0.9633699633699633
X,fold4,,,0.9666666666666667,,,0.9633699633699633
S,fold4,,,0.9666666666666667,,,0.9633699633699633
M,fold5,0.3626070022583008,0.711864406779661,0.9830508474576272,0.0018800989491865039,0.5814484126984127,0.9781238413051538
S,fold5,0.42301106452941895,,,0.0017019269289448857,,
R,fold5,0.03807772008163379,,,0.0028373529253559004,,
X,fold5,0.03472930192947388,,,0.0028472300618886948,,
S,fold5,0.0021722634036595023,,,0.0029432621600917206,,
S,fold5,,0.7457627118644068,,,0.7128768303186908,
R,fold5,,0.7457627118644068,,,0.676875901875902,
X,fold5,,0.7457627118644068,,,0.6235690235690236,
S,fold5,,0.3728813559322034,,,0.04526748971193415,
S,fold5,,,1.0,,,1.0
R,fold5,,,0.9830508474576272,,,0.9781238413051538
X,fold5,,,0.9661016949152542,,,0.9571220930232558
S,fold5,,,0.9830508474576272,,,0.9781238413051538
