,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,EC,pref,crop,EC,pref,crop
method,fold,,,,,,
M,fold1,0.4968532919883728,0.85,0.7666666666666667,0.0008281795307993889,0.8043003565062389,0.761260656687486
S,fold1,0.5847780704498291,,,0.0006834553205408156,,
R,fold1,0.01122306728134359,,,0.0016275267945969113,,
X,fold1,0.010581374168395996,,,0.001628583064302802,,
S,fold1,-0.04536950933163664,,,0.0017206781736037592,,
S,fold1,,0.5,,,0.12885572139303483,
R,fold1,,0.8166666666666667,,,0.7319110920526014,
X,fold1,,0.8333333333333334,,,0.7859846502703646,
S,fold1,,0.43333333333333335,,,0.06874999999999999,
S,fold1,,,0.5166666666666667,,,0.1765625
R,fold1,,,0.7166666666666667,,,0.5636904761904762
X,fold1,,,0.75,,,0.6670704539125591
S,fold1,,,0.5333333333333333,,,0.1874657909140668
M,fold2,0.476118803024292,0.4166666666666667,0.5,0.0012721436796709895,0.06590563165905632,0.16856971153846154
S,fold2,0.504388689994812,,,0.0012034957762807608,,
R,fold2,0.03783107636584204,,,0.0023364401527369042,,
X,fold2,0.035781800746917725,,,0.0023414164315909147,,
S,fold2,0.021643063294958464,,,0.0023757495949801497,,
S,fold2,,0.4,,,0.048192771084337345,
R,fold2,,0.7666666666666667,,,0.6032419432419432,
X,fold2,,0.7333333333333333,,,0.5633743901601044,
S,fold2,,0.4166666666666667,,,0.07655826558265583,
S,fold2,,,0.5,,,0.17076923076923078
R,fold2,,,0.8,,,0.7468281265835613
X,fold2,,,0.7833333333333333,,,0.7532179808495598
S,fold2,,,0.5,,,0.17329545454545453
M,fold3,0.4307343363761902,0.31666666666666665,0.5833333333333334,0.0014737654710188508,0.04372842347525892,0.21239606953892667
S,fold3,0.4548324942588806,,,0.0014113780343905091,,
R,fold3,-0.007374431271230275,,,0.0026079806190103475,,
X,fold3,-0.010633707046508789,,,0.002616418059915304,,
S,fold3,-0.05223759720807064,,,0.0027241263773686145,,
S,fold3,,0.36666666666666664,,,0.07855477855477856,
R,fold3,,0.7166666666666667,,,0.6201616565252929,
X,fold3,,0.8333333333333334,,,0.7384520884520885,
S,fold3,,0.3333333333333333,,,0.0650662468844287,
S,fold3,,,0.5833333333333334,,,0.2137472283813747
R,fold3,,,0.8166666666666667,,,0.6670329670329671
X,fold3,,,0.8333333333333334,,,0.7476237686764003
S,fold3,,,0.5833333333333334,,,0.2153061224489796
M,fold4,0.3668980002403259,0.26666666666666666,0.5666666666666667,0.0018229115521535277,0.03508771929824561,0.17553667262969588
S,fold4,0.4321972727775574,,,0.0016348932404071093,,
R,fold4,0.016657389963136482,,,0.002831371138002664,,
X,fold4,0.031725406646728516,,,0.0027879851404577494,,
S,fold4,-0.033336964366720734,,,0.002975321548030487,,
S,fold4,,0.26666666666666666,,,0.03980099502487562,
R,fold4,,0.7833333333333333,,,0.7349688974688974,
X,fold4,,0.7666666666666667,,,0.7364951489951489,
S,fold4,,0.26666666666666666,,,0.03508771929824561,
S,fold4,,,0.5666666666666667,,,0.17553667262969588
R,fold4,,,0.8,,,0.5949121666863603
X,fold4,,,0.85,,,0.7705357142857143
S,fold4,,,0.5666666666666667,,,0.17841312056737588
M,fold5,0.3498089909553528,0.4576271186440678,0.6440677966101694,0.0019670475739985704,0.06,0.2223938223938224
S,fold5,0.45053529739379883,,,0.0016623163828626275,,
R,fold5,0.0434298512126754,,,0.002893947458866827,,
X,fold5,0.034298717975616455,,,0.0029215726535767317,,
S,fold5,0.025938868204462118,,,0.002946863584144071,,
S,fold5,,0.4745762711864407,,,0.08016235413495687,
R,fold5,,0.847457627118644,,,0.8081569664903,
X,fold5,,0.847457627118644,,,0.7738366571699906,
S,fold5,,0.4745762711864407,,,0.07088353413654619,
S,fold5,,,0.6440677966101694,,,0.2248847926267281
R,fold5,,,0.8135593220338984,,,0.5598228681392982
X,fold5,,,0.8135593220338984,,,0.7068236525379383
S,fold5,,,0.6440677966101694,,,0.22835497835497837
