,,accuracy,accuracy,Loss,Loss
,,EC,soiltype,EC,soiltype
method,fold,,,,
M,fold1,0.571478009223938,0.8333333333333334,0.0011962786084041,0.29072834246297424
S,fold1,0.5091164112091064,,0.001370369689539075,
R,fold1,-0.03400007559194829,,0.0028865547228110007,
X,fold1,-0.04211604595184326,,0.0029092116747051477,
S,fold1,-0.09739046078430902,,0.0030635177812063925,
S,fold1,,0.8166666666666667,,0.2840518113742157
R,fold1,,0.7666666666666667,,0.26666666666666666
X,fold1,,0.7833333333333333,,0.2749871597329225
S,fold1,,0.6666666666666666,,0.22812633376013658
M,fold2,0.5033433437347412,0.847457627118644,0.0014223414473235607,0.4246411483253588
S,fold2,0.5498111248016357,,0.0012892653467133641,
R,fold2,0.03101895022572032,,0.0027749990535762587,
X,fold2,0.039634525775909424,,0.0027503257151693106,
S,fold2,0.016395690659457562,,0.0028168776140145993,
S,fold2,,0.8813559322033898,,0.4438035596572182
R,fold2,,0.8305084745762712,,0.4180949241924852
X,fold2,,0.8305084745762712,,0.4141666666666667
S,fold2,,0.7288135593220338,,0.3318965517241379
M,fold3,0.6157599687576294,0.864406779661017,0.0006865765317343175,0.3547489413188143
S,fold3,0.6071583032608032,,0.0007019464392215014,
R,fold3,-0.08316352291648976,,0.0019354429824742817,
X,fold3,-0.07936012744903564,,0.0019286470487713814,
S,fold3,-0.19004959486707462,,0.002126431594539046,
S,fold3,,0.847457627118644,,0.3478523895946763
R,fold3,,0.864406779661017,,0.5508166409861325
X,fold3,,0.8305084745762712,,0.3412121212121212
S,fold3,,0.7627118644067796,,0.3111940298507463
M,fold4,0.613625168800354,0.7966101694915254,0.0008638990111649036,0.28225108225108225
S,fold4,0.622355043888092,,0.0008443797705695033,
R,fold4,0.017566203749709075,,0.0021966326895786824,
X,fold4,0.02431797981262207,,0.0021815362852066755,
S,fold4,-0.059516379834133604,,0.0023689823415793676,
S,fold4,,0.7796610169491526,,0.2766188613646241
R,fold4,,0.7796610169491526,,0.2768379960962915
X,fold4,,0.7796610169491526,,0.27619047619047615
S,fold4,,0.7288135593220338,,0.25786790780141844
M,fold5,0.4768264889717102,0.6949152542372882,0.0015240412903949618,0.29538043478260867
S,fold5,0.48557740449905396,,0.0014985492452979088,
R,fold5,0.04254762389159694,,0.0027891264718157005,
X,fold5,0.04335319995880127,,0.0027867795433849096,
S,fold5,0.002202049069469858,,0.0029066559840556653,
S,fold5,,0.6779661016949152,,0.2881720430107527
R,fold5,,0.6949152542372882,,0.29733333333333334
X,fold5,,0.6779661016949152,,0.29032901296111663
S,fold5,,0.6440677966101694,,0.2708683473389356
