,,accuracy,accuracy,Loss,Loss
,,EC,year,EC,year
method,fold,,,,
M,fold1,0.3597152829170227,0.9333333333333333,0.001019902410916984,0.9347222222222222
S,fold1,0.3595520853996277,,0.0010201623663306236,
R,fold1,-0.016798713281732658,,0.0016196473374244244,
X,fold1,-0.010471224784851074,,0.0016095683677121997,
S,fold1,-0.08910294576708755,,0.0017348199434670264,
S,fold1,,0.9,,0.9009517785608868
R,fold1,,0.9,,0.8958015509788965
X,fold1,,0.8333333333333334,,0.8093208297811878
S,fold1,,0.6333333333333333,,0.39826839826839827
M,fold2,0.48294419050216675,0.9333333333333333,0.0017556198872625828,0.9219072444878896
S,fold2,0.5091796517372131,,0.001666539697907865,
R,fold2,0.04235097226540441,,0.0032516174070247633,
X,fold2,0.04267680644989014,,0.0032505111303180456,
S,fold2,0.016301366006764795,,0.003340066672573653,
S,fold2,,0.9833333333333333,,0.9850117096018735
R,fold2,,0.8333333333333334,,0.7962633857370699
X,fold2,,0.9333333333333333,,0.9219072444878896
S,fold2,,0.6333333333333333,,0.4177631578947369
M,fold3,0.37292373180389404,0.9,0.0015122293261811137,0.9102044527576442
S,fold3,0.45372968912124634,,0.001317361369729042,
R,fold3,-0.00021284782674424463,,0.00241206882199054,
X,fold3,0.0025583505630493164,,0.002405386185273528,
S,fold3,-0.05977556365763448,,0.0025557076185936194,
S,fold3,,0.9166666666666666,,0.9326599326599326
R,fold3,,0.8833333333333333,,0.8872053872053872
X,fold3,,0.9166666666666666,,0.9115009746588694
S,fold3,,0.6833333333333333,,0.48433048433048437
M,fold4,0.5731292963027954,0.8,0.0009817553218454123,0.7997835497835498
S,fold4,0.588627815246582,,0.0009461104637011886,
R,fold4,0.040137330770558144,,0.0022075775993490015,
X,fold4,0.05487769842147827,,0.002173676621168852,
S,fold4,-0.02922540841076371,,0.0023671042005544616,
S,fold4,,0.9333333333333333,,0.9373074786648488
R,fold4,,0.8166666666666667,,0.827498514557338
X,fold4,,0.85,,0.8537067148449262
S,fold4,,0.5,,0.3638888888888889
M,fold5,0.39673560857772827,0.8305084745762712,0.0017794308951124549,0.8207336523125998
S,fold5,0.29220497608184814,,0.0020877618808299303,
R,fold5,0.03769581697383595,,0.0028384794133505483,
X,fold5,0.042442262172698975,,0.0028244792483747005,
S,fold5,0.0021722634036595023,,0.0029432621600917206,
S,fold5,,0.8983050847457628,,0.8865137566963125
R,fold5,,0.9322033898305084,,0.9234430043203723
X,fold5,,0.9152542372881356,,0.9045340624287993
S,fold5,,0.711864406779661,,0.5181295323830958
