,,accuracy,accuracy,Loss,Loss
,,Humus,area,Humus,area
method,fold,,,,
M,fold1,0.5835237503051758,0.9833333333333333,4.350718975067139,0.9761051373954599
S,fold1,0.6386102437973022,,3.7752578258514404,
R,fold1,-41.03348018926366,,439.10271577910976,
X,fold1,-42.52457046508789,,454.67938232421875,
S,fold1,-27.534853743572537,,298.0893258598841,
S,fold1,,0.9833333333333333,,0.9761051373954599
R,fold1,,0.9833333333333333,,0.9761051373954599
X,fold1,,0.9833333333333333,,0.9761051373954599
S,fold1,,0.9833333333333333,,0.9761051373954599
M,fold2,0.41000431776046753,1.0,5.291834831237793,1.0
S,fold2,0.46207600831985474,,4.824790000915527,
R,fold2,-61.91918485446488,,564.339634941465,
X,fold2,-61.72997283935547,,562.642578125,
S,fold2,-38.72283425904038,,356.28512728572633,
S,fold2,,1.0,,1.0
R,fold2,,1.0,,1.0
X,fold2,,0.9666666666666667,,0.934640522875817
S,fold2,,1.0,,1.0
M,fold3,0.5059706568717957,0.9833333333333333,5.92551326751709,0.9804623901009444
S,fold3,0.5124682188034058,,5.847579479217529,
R,fold3,-34.52461228338263,,426.0911782447735,
X,fold3,-39.083404541015625,,480.7705078125,
S,fold3,-27.151596225234986,,337.6573601815908,
S,fold3,,0.9833333333333333,,0.9804623901009444
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.95,,0.9394957983193277
S,fold3,,0.9333333333333333,,0.9179206566347469
M,fold4,0.689220666885376,0.9666666666666667,2.8257369995117188,0.9641148325358853
S,fold4,0.6968520879745483,,2.7563493251800537,
R,fold4,-43.82092074718244,,407.5307960314652,
X,fold4,-43.051204681396484,,400.5321960449219,
S,fold4,-36.67975868353653,,342.60032579853794,
S,fold4,,0.9666666666666667,,0.9641148325358853
R,fold4,,0.9666666666666667,,0.9641148325358853
X,fold4,,0.9666666666666667,,0.9641148325358853
S,fold4,,0.9666666666666667,,0.9641148325358853
M,fold5,0.28465163707733154,0.9830508474576272,7.722378253936768,0.9759869759869759
S,fold5,0.28334254026412964,,7.736510276794434,
R,fold5,-39.77294896449615,,440.1548790478535,
X,fold5,-42.68158721923828,,471.5545349121094,
S,fold5,-24.43855825916739,,274.6160338675901,
S,fold5,,0.9830508474576272,,0.9759869759869759
R,fold5,,0.9830508474576272,,0.9759869759869759
X,fold5,,0.9661016949152542,,0.9531746031746031
S,fold5,,0.9830508474576272,,0.9759869759869759
