,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,Humus,crop,pref,Humus,crop,pref
method,fold,,,,,,
M,fold1,0.6242393255233765,0.7666666666666667,0.85,3.9253838062286377,0.7466329966329965,0.7899064171122995
M,fold1,0.5821472406387329,,,4.365098476409912,,
R,fold1,-39.62701344063969,,,424.4100743802302,,
X,fold1,-39.693607330322266,,,425.10577392578125,,
S,fold1,-26.142084275538352,,,283.53976900238354,,
M,fold1,,0.7833333333333333,,,0.7756994586262879,
R,fold1,,0.7166666666666667,,,0.5585497835497835,
X,fold1,,0.75,,,0.6670704539125591,
S,fold1,,0.5333333333333333,,,0.1874657909140668,
M,fold1,,,0.8166666666666667,,,0.6895276292335116
R,fold1,,,0.8166666666666667,,,0.7475557461406518
X,fold1,,,0.8333333333333334,,,0.7859846502703646
S,fold1,,,0.43333333333333335,,,0.06874999999999999
M,fold2,0.4772242307662964,0.8333333333333334,0.75,4.688920497894287,0.8032501124606388,0.5715337902837904
M,fold2,0.41995900869369507,,,5.202548027038574,,
R,fold2,-58.56850710387223,,,534.2864635111636,,
X,fold2,-54.88080596923828,,,501.2104187011719,,
S,fold2,-37.09471809720237,,,341.68209344440504,,
M,fold2,,0.85,,,0.8192040598290597,
R,fold2,,0.7833333333333333,,,0.7353717204781034,
X,fold2,,0.7833333333333333,,,0.7532179808495598,
S,fold2,,0.5,,,0.17329545454545453,
M,fold2,,,0.8166666666666667,,,0.6612796925296925
R,fold2,,,0.7833333333333333,,,0.621779873565588
X,fold2,,,0.7333333333333333,,,0.5633743901601044
S,fold2,,,0.4166666666666667,,,0.07655826558265583
M,fold3,0.5170534253120422,0.9,0.8833333333333333,5.792582988739014,0.82999207999208,0.8736459712536268
M,fold3,0.5129584074020386,,,5.841700077056885,,
R,fold3,-34.6308015230872,,,427.36479718604244,,
X,fold3,-34.85194396972656,,,430.0172424316406,,
S,fold3,-27.447144597448208,,,341.20220881175163,,
M,fold3,,0.9166666666666666,,,0.8688809688809689,
R,fold3,,0.8,,,0.6611111111111111,
X,fold3,,0.8333333333333334,,,0.7476237686764003,
S,fold3,,0.5833333333333334,,,0.2153061224489796,
M,fold3,,,0.9,,,0.8975874486710399
R,fold3,,,0.8333333333333334,,,0.8289150243695698
X,fold3,,,0.8333333333333334,,,0.7384520884520885
S,fold3,,,0.3333333333333333,,,0.0650662468844287
M,fold4,0.7066078186035156,0.8666666666666667,0.8666666666666667,2.6676461696624756,0.8106379731379731,0.8437881562881563
M,fold4,0.7096762657165527,,,2.6397464275360107,,
R,fold4,-45.85198310731624,,,425.9980599135488,,
X,fold4,-44.490699768066406,,,413.6206970214844,,
S,fold4,-38.86274902160947,,,362.44898550248524,,
M,fold4,,0.8666666666666667,,,0.8149562123700055,
R,fold4,,0.75,,,0.5336441336441337,
X,fold4,,0.85,,,0.7705357142857143,
S,fold4,,0.5666666666666667,,,0.17841312056737588,
M,fold4,,,0.8666666666666667,,,0.8526016467192937
R,fold4,,,0.8,,,0.7742176117176118
X,fold4,,,0.7666666666666667,,,0.7364951489951489
S,fold4,,,0.26666666666666666,,,0.03508771929824561
M,fold5,0.3574773073196411,0.8305084745762712,0.864406779661017,6.936205863952637,0.7435035552682612,0.842096792096792
M,fold5,0.323330283164978,,,7.3048319816589355,,
R,fold5,-38.742237507326,,,429.02806946699985,,
X,fold5,-41.14569091796875,,,454.9740905761719,,
S,fold5,-23.311735964145143,,,262.4516836568625,,
M,fold5,,0.847457627118644,,,0.7662830745995047,
R,fold5,,0.8813559322033898,,,0.6706091527520098,
X,fold5,,0.8135593220338984,,,0.7068236525379383,
S,fold5,,0.6440677966101694,,,0.22835497835497837,
M,fold5,,,0.847457627118644,,,0.7518009768009768
R,fold5,,,0.8305084745762712,,,0.7672921418204437
X,fold5,,,0.847457627118644,,,0.7738366571699906
S,fold5,,,0.4745762711864407,,,0.07088353413654619
