,,accuracy,accuracy,Loss,Loss
,,Humus,crop,Humus,crop
method,fold,,,,
M,fold1,0.5017355680465698,0.7333333333333333,5.2051191329956055,0.6056540681540681
S,fold1,0.37837421894073486,,6.493813514709473,
R,fold1,-39.06111046551063,,418.4983692504047,
X,fold1,-39.693607330322266,,425.10577392578125,
S,fold1,-26.142084275538352,,283.53976900238354,
S,fold1,,0.7833333333333333,,0.7756994586262879
R,fold1,,0.7166666666666667,,0.579398148148148
X,fold1,,0.75,,0.6670704539125591
S,fold1,,0.5333333333333333,,0.1874657909140668
M,fold2,0.42425745725631714,0.8333333333333334,5.163994312286377,0.792214507238987
S,fold2,0.35363662242889404,,5.797411918640137,
R,fold2,-58.029150197595335,,529.4488218102812,
X,fold2,-54.88080596923828,,501.2104187011719,
S,fold2,-37.09471809720237,,341.68209344440504,
S,fold2,,0.8666666666666667,,0.8257009221398757
R,fold2,,0.75,,0.6152940356744705
X,fold2,,0.7833333333333333,,0.7532179808495598
S,fold2,,0.5,,0.17329545454545453
M,fold3,0.45865780115127563,0.8833333333333333,6.492994785308838,0.8010020224305938
S,fold3,0.2815893292427063,,8.616799354553223,
R,fold3,-34.86847132446872,,430.21546857492064,
X,fold3,-34.85194396972656,,430.0172424316406,
S,fold3,-27.447144597448208,,341.20220881175163,
S,fold3,,0.9,,0.8455851166377482
R,fold3,,0.85,,0.7714285714285715
X,fold3,,0.8333333333333334,,0.7476237686764003
S,fold3,,0.5833333333333334,,0.2153061224489796
M,fold4,0.5656472444534302,0.85,3.949319362640381,0.7286466885604816
S,fold4,0.6604295372962952,,3.0875184535980225,
R,fold4,-46.36893489090924,,430.69840432319836,
X,fold4,-44.490699768066406,,413.6206970214844,
S,fold4,-38.86274902160947,,362.44898550248524,
S,fold4,,0.8333333333333334,,0.7635085978835978
R,fold4,,0.75,,0.6413170163170163
X,fold4,,0.85,,0.7705357142857143
S,fold4,,0.5666666666666667,,0.17841312056737588
M,fold5,0.13107258081436157,0.847457627118644,9.380306243896484,0.7870002338087444
S,fold5,0.15590983629226685,,9.112180709838867,
R,fold5,-38.91204476674055,,430.8611841897095,
X,fold5,-41.14569091796875,,454.9740905761719,
S,fold5,-23.311735964145143,,262.4516836568625,
S,fold5,,0.847457627118644,,0.76495876865335
R,fold5,,0.847457627118644,,0.5871195768947973
X,fold5,,0.8135593220338984,,0.7068236525379383
S,fold5,,0.6440677966101694,,0.22835497835497837
