,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,Humus,pref,crop,Humus,pref,crop
method,fold,,,,,,
M,fold1,0.5969513654708862,0.8666666666666667,0.7833333333333333,4.210447311401367,0.8409126984126983,0.650962000962001
S,fold1,0.4832864999771118,,,5.397847652435303,,
R,fold1,-39.121063043231636,,,419.12466382179963,,
X,fold1,-39.693607330322266,,,425.10577392578125,,
S,fold1,-26.142084275538352,,,283.53976900238354,,
S,fold1,,0.7833333333333333,,,0.6033919123204837,
R,fold1,,0.8666666666666667,,,0.8451146686995742,
X,fold1,,0.8333333333333334,,,0.7859846502703646,
S,fold1,,0.43333333333333335,,,0.06874999999999999,
S,fold1,,,0.65,,,0.4865228944497237
R,fold1,,,0.75,,,0.6168650793650794
X,fold1,,,0.75,,,0.6670704539125591
S,fold1,,,0.5333333333333333,,,0.1874657909140668
M,fold2,0.3216782212257385,0.8166666666666667,0.85,6.0840559005737305,0.6619729266005862,0.8250935468040731
S,fold2,0.1772857904434204,,,7.379151344299316,,
R,fold2,-58.837507341621716,,,536.6992012596558,,
X,fold2,-54.88080596923828,,,501.2104187011719,,
S,fold2,-37.09471809720237,,,341.68209344440504,,
S,fold2,,0.65,,,0.3379384362440628,
R,fold2,,0.7333333333333333,,,0.5531792281792282,
X,fold2,,0.7333333333333333,,,0.5633743901601044,
S,fold2,,0.4166666666666667,,,0.07655826558265583,
S,fold2,,,0.85,,,0.8125121406371406
R,fold2,,,0.75,,,0.6365834457939721
X,fold2,,,0.7833333333333333,,,0.7532179808495598
S,fold2,,,0.5,,,0.17329545454545453
M,fold3,0.47148555517196655,0.9333333333333333,0.9,6.339135646820068,0.9333163151344969,0.83988218988219
S,fold3,0.3634457588195801,,,7.6349921226501465,,
R,fold3,-34.785459997757734,,,429.2198098390092,,
X,fold3,-34.85194396972656,,,430.0172424316406,,
S,fold3,-27.447144597448208,,,341.20220881175163,,
S,fold3,,0.45,,,0.24188467503975525,
R,fold3,,0.8166666666666667,,,0.7891153503593695,
X,fold3,,0.8333333333333334,,,0.7384520884520885,
S,fold3,,0.3333333333333333,,,0.0650662468844287,
S,fold3,,,0.45,,,0.37267110769414913
R,fold3,,,0.85,,,0.7530778745064459
X,fold3,,,0.8333333333333334,,,0.7476237686764003
S,fold3,,,0.5833333333333334,,,0.2153061224489796
M,fold4,0.5440529584884644,0.8833333333333333,0.8833333333333333,4.145663261413574,0.8587575278751749,0.8298687423687423
S,fold4,0.5894203186035156,,,3.733164072036743,,
R,fold4,-46.24878361098668,,,429.6059380336519,,
X,fold4,-44.490699768066406,,,413.6206970214844,,
S,fold4,-38.86274902160947,,,362.44898550248524,,
S,fold4,,0.7833333333333333,,,0.6462842712842712,
R,fold4,,0.8666666666666667,,,0.8463115588115588,
X,fold4,,0.7666666666666667,,,0.7364951489951489,
S,fold4,,0.26666666666666666,,,0.03508771929824561,
S,fold4,,,0.75,,,0.5415925985778927
R,fold4,,,0.8,,,0.5896214896214896
X,fold4,,,0.85,,,0.7705357142857143
S,fold4,,,0.5666666666666667,,,0.17841312056737588
M,fold5,0.2750902771949768,0.864406779661017,0.847457627118644,7.825595855712891,0.8218403713686734,0.7866248037676609
S,fold5,0.2114696502685547,,,8.512397766113281,,
R,fold5,-38.86164553054132,,,430.3171109727654,,
X,fold5,-41.14569091796875,,,454.9740905761719,,
S,fold5,-23.311735964145143,,,262.4516836568625,,
S,fold5,,0.8813559322033898,,,0.8552669552669552,
R,fold5,,0.847457627118644,,,0.8019991015274034,
X,fold5,,0.847457627118644,,,0.7738366571699906,
S,fold5,,0.4745762711864407,,,0.07088353413654619,
S,fold5,,,0.8135593220338984,,,0.5785801500087214
R,fold5,,,0.8305084745762712,,,0.5742857142857144
X,fold5,,,0.8135593220338984,,,0.7068236525379383
S,fold5,,,0.6440677966101694,,,0.22835497835497837
