,,accuracy,accuracy,Loss,Loss
,,Humus,pref,Humus,pref
method,fold,,,,
M,fold1,0.12536734342575073,0.8666666666666667,9.136850357055664,0.8343508615567439
S,fold1,0.4639369249343872,,5.599982738494873,
R,fold1,-39.86806377564226,,426.92820657710695,
X,fold1,-39.693607330322266,,425.10577392578125,
S,fold1,-26.142084275538352,,283.53976900238354,
S,fold1,,0.7333333333333333,,0.6100155279503106
R,fold1,,0.8166666666666667,,0.7689865689865689
X,fold1,,0.8333333333333334,,0.7859846502703646
S,fold1,,0.43333333333333335,,0.06874999999999999
M,fold2,0.3570413589477539,0.8,5.766874313354492,0.6444210340486937
S,fold2,0.2876025438308716,,6.389689922332764,
R,fold2,-59.41181707956495,,541.8503446030779,
X,fold2,-54.88080596923828,,501.2104187011719,
S,fold2,-37.09471809720237,,341.68209344440504,
S,fold2,,0.7333333333333333,,0.5490021008403362
R,fold2,,0.75,,0.5643109668109668
X,fold2,,0.7333333333333333,,0.5633743901601044
S,fold2,,0.4166666666666667,,0.07655826558265583
M,fold3,0.5150688886642456,0.8333333333333334,5.816385746002197,0.8316558543831273
S,fold3,0.3876842260360718,,7.3442702293396,
R,fold3,-35.30066432353431,,435.39930013344485,
X,fold3,-34.85194396972656,,430.0172424316406,
S,fold3,-27.447144597448208,,341.20220881175163,
S,fold3,,0.6,,0.45967438358742707
R,fold3,,0.8166666666666667,,0.8008244280971554
X,fold3,,0.8333333333333334,,0.7384520884520885
S,fold3,,0.3333333333333333,,0.0650662468844287
M,fold4,0.6716370582580566,0.8,2.9856150150299072,0.7915584415584417
S,fold4,0.6774338483810425,,2.932908058166504,
R,fold4,-45.57373874715044,,423.46814442755937,
X,fold4,-44.490699768066406,,413.6206970214844,
S,fold4,-38.86274902160947,,362.44898550248524,
S,fold4,,0.8333333333333334,,0.7489691680868152
R,fold4,,0.8333333333333334,,0.8240995115995116
X,fold4,,0.7666666666666667,,0.7364951489951489
S,fold4,,0.26666666666666666,,0.03508771929824561
M,fold5,0.15289539098739624,0.864406779661017,9.144722938537598,0.842096792096792
S,fold5,0.1982804536819458,,8.654778480529785,
R,fold5,-37.63254089826237,,417.0485981603607,
X,fold5,-41.14569091796875,,454.9740905761719,
S,fold5,-23.311735964145143,,262.4516836568625,
S,fold5,,0.6101694915254238,,0.5313114134542706
R,fold5,,0.864406779661017,,0.8193511938794957
X,fold5,,0.847457627118644,,0.7738366571699906
S,fold5,,0.4745762711864407,,0.07088353413654619
