,,accuracy,accuracy,Loss,Loss
,,Humus,soiltype,Humus,soiltype
method,fold,,,,
M,fold1,0.4664214849472046,0.85,5.002519607543945,0.2956241177656786
S,fold1,0.45235294103622437,,5.134417533874512,
R,fold1,-52.2260616067712,,499.01642252644575,
X,fold1,-52.936161041259766,,505.673828125,
S,fold1,-44.320984857100775,,424.9030464784294,
S,fold1,,0.8666666666666667,,0.30135189669087975
R,fold1,,0.75,,0.2609272875816993
X,fold1,,0.7833333333333333,,0.2749871597329225
S,fold1,,0.6666666666666666,,0.22812633376013658
M,fold2,0.5997951626777649,0.864406779661017,4.558224201202393,0.43333333333333335
S,fold2,0.581546425819397,,4.7660722732543945,
R,fold2,-43.29674458595599,,504.52786905083195,
X,fold2,-43.713218688964844,,509.27142333984375,
S,fold2,-25.566156473826673,,302.581294401941,
S,fold2,,0.8813559322033898,,0.44541343669250644
R,fold2,,0.864406779661017,,0.43539136302294196
X,fold2,,0.8305084745762712,,0.4141666666666667
S,fold2,,0.7288135593220338,,0.3318965517241379
M,fold3,0.5645506381988525,0.864406779661017,4.082355976104736,0.3547489413188143
S,fold3,0.4989704489707947,,4.697173118591309,
R,fold3,-53.45226670402028,,510.49233103020725,
X,fold3,-55.26201248168945,,527.458740234375,
S,fold3,-40.618297860829735,,390.17332380243874,
S,fold3,,0.8813559322033898,,0.3617664851784634
R,fold3,,0.8135593220338984,,0.33414043583535114
X,fold3,,0.8305084745762712,,0.3412121212121212
S,fold3,,0.7627118644067796,,0.3111940298507463
M,fold4,0.6235214471817017,0.7627118644067796,3.8691773414611816,0.2702380952380952
S,fold4,0.5980474352836609,,4.130980491638184,
R,fold4,-40.83937055712109,,429.9950717404672,
X,fold4,-45.0447883605957,,473.2153625488281,
S,fold4,-32.90793540219412,,348.48146426896994,
S,fold4,,0.7796610169491526,,0.27629870129870127
R,fold4,,0.7627118644067796,,0.27030539311241064
X,fold4,,0.7796610169491526,,0.27619047619047615
S,fold4,,0.7288135593220338,,0.25786790780141844
M,fold5,0.41167742013931274,0.6949152542372882,6.345526218414307,0.29538043478260867
S,fold5,0.39729076623916626,,6.500697612762451,
R,fold5,-36.79719317733941,,407.6727553855044,
X,fold5,-38.31852340698242,,424.0815124511719,
S,fold5,-25.557704345346583,,286.44593942155626,
S,fold5,,0.711864406779661,,0.304
R,fold5,,0.6949152542372882,,0.29706180344478217
X,fold5,,0.6779661016949152,,0.29032901296111663
S,fold5,,0.6440677966101694,,0.2708683473389356
