,,accuracy,accuracy,Loss,Loss
,,Inorganic.N,area,Inorganic.N,area
method,fold,,,,
M,fold1,0.4531429409980774,1.0,1.7649000883102417,1.0
S,fold1,0.44093894958496094,,1.8042868375778198,
R,fold1,-12.893011751183328,,44.83764058565187,
X,fold1,-13.299344062805176,,46.14901351928711,
S,fold1,-7.161421589538634,,26.339781067884303,
S,fold1,,0.9833333333333333,,0.9761051373954599
R,fold1,,0.9833333333333333,,0.9761051373954599
X,fold1,,0.9833333333333333,,0.9761051373954599
S,fold1,,0.9833333333333333,,0.9761051373954599
M,fold2,0.6006473898887634,1.0,2.04703950881958,1.0
S,fold2,0.6031938791275024,,2.0339865684509277,
R,fold2,-6.9983978223617775,,40.9989427386821,
X,fold2,-7.296004295349121,,42.52444076538086,
S,fold2,-3.4714692840300536,,22.920279436612397,
S,fold2,,1.0,,1.0
R,fold2,,1.0,,1.0
X,fold2,,0.9666666666666667,,0.934640522875817
S,fold2,,1.0,,1.0
M,fold3,0.6050660014152527,0.9833333333333333,2.1421937942504883,0.9804623901009444
S,fold3,0.6114559173583984,,2.1075336933135986,
R,fold3,-8.47825904086714,,51.41180304377687,
X,fold3,-5.992226600646973,,37.9271125793457,
S,fold3,-4.029933460077445,,27.2832750463788,
S,fold3,,0.9833333333333333,,0.9804623901009444
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.95,,0.9394957983193277
S,fold3,,0.9333333333333333,,0.9179206566347469
M,fold4,0.5772819519042969,0.9666666666666667,3.008683681488037,0.9641148325358853
S,fold4,0.5577488541603088,,3.147709846496582,
R,fold4,-4.842789846066854,,41.58588999553111,
X,fold4,-4.130913257598877,,36.519126892089844,
S,fold4,-2.6928380609222224,,26.283669517259717,
S,fold4,,0.9666666666666667,,0.9641148325358853
R,fold4,,0.9666666666666667,,0.9641148325358853
X,fold4,,0.9666666666666667,,0.9641148325358853
S,fold4,,0.9666666666666667,,0.9641148325358853
M,fold5,0.6294918060302734,0.9830508474576272,2.3979954719543457,0.9759869759869759
S,fold5,0.6198681592941284,,2.4602813720703125,
R,fold5,-6.243883628546831,,46.88371412892508,
X,fold5,-5.832257270812988,,44.21959686279297,
S,fold5,-1.9991778000262697,,19.41121666340985,
S,fold5,,0.9830508474576272,,0.9759869759869759
R,fold5,,0.9830508474576272,,0.9759869759869759
X,fold5,,0.9661016949152542,,0.9531746031746031
S,fold5,,0.9830508474576272,,0.9759869759869759
