,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,Inorganic.N,crop,pref,Inorganic.N,crop,pref
method,fold,,,,,,
M,fold1,0.1624245047569275,0.7719298245614035,0.7894736842105263,1.4046574831008911,0.5804450757575758,0.6944597069597069
M,fold1,0.18802648782730103,,,1.3617216348648071,,
R,fold1,-11.245467091676655,,,20.53628137649728,,
X,fold1,-12.136916160583496,,,22.031288146972656,,
S,fold1,-7.496743271524167,,,14.249477729312883,,
M,fold1,,0.8596491228070176,,,0.7954942570869991,
R,fold1,,0.8421052631578947,,,0.706439393939394,
X,fold1,,0.7719298245614035,,,0.6268550837603257,
S,fold1,,0.543859649122807,,,0.17978272390037098,
M,fold1,,,0.7192982456140351,,,0.6336940836940836
R,fold1,,,0.7543859649122807,,,0.6800689506571859
X,fold1,,,0.7543859649122807,,,0.6745593186769657
S,fold1,,,0.2982456140350877,,,0.03990610328638498
M,fold2,0.5428564548492432,0.8070175438596491,0.8245614035087719,1.5538219213485718,0.7572787267080745,0.7915716690716691
M,fold2,0.5709399580955505,,,1.4583665132522583,,
R,fold2,-2.8486364626824754,,,13.081438527950587,,
X,fold2,-3.4607748985290527,,,15.16208553314209,,
S,fold2,-1.5244054640450302,,,8.580403791765491,,
M,fold2,,0.8596491228070176,,,0.8258928571428571,
R,fold2,,0.8596491228070176,,,0.8015873015873016,
X,fold2,,0.7543859649122807,,,0.7452832877336981,
S,fold2,,0.543859649122807,,,0.17787356321839082,
M,fold2,,,0.7719298245614035,,,0.6529411764705882
R,fold2,,,0.8421052631578947,,,0.8017341785198928
X,fold2,,,0.8245614035087719,,,0.7205311355311356
S,fold2,,,0.40350877192982454,,,0.04791666666666666
M,fold3,0.5686854124069214,0.9122807017543859,0.8771929824561403,0.9365217089653015,0.8339285714285715,0.8831807081807083
M,fold3,0.5732766389846802,,,0.9265527129173279,,
R,fold3,-5.76037103460638,,,14.678924137932018,,
X,fold3,-5.7509684562683105,,,14.65850830078125,,
S,fold3,-3.886908570835864,,,10.611038922730685,,
M,fold3,,0.9298245614035088,,,0.8645361990950227,
R,fold3,,0.8947368421052632,,,0.7915347957364764,
X,fold3,,0.8771929824561403,,,0.7935901633380625,
S,fold3,,0.543859649122807,,,0.20997732426303856,
M,fold3,,,0.8947368421052632,,,0.8313949938949939
R,fold3,,,0.8070175438596491,,,0.7101061427280939
X,fold3,,,0.8421052631578947,,,0.7474206349206348
S,fold3,,,0.3508771929824561,,,0.04504504504504505
M,fold4,0.4722263813018799,0.8245614035087719,0.7894736842105263,1.0854167938232422,0.8045581295581296,0.6763289263289263
M,fold4,0.4570580720901489,,,1.1166118383407593,,
R,fold4,-7.331234413428582,,,17.133978079873064,,
X,fold4,-6.992487907409668,,,16.437313079833984,,
S,fold4,-4.872513351932996,,,12.077383740829534,,
M,fold4,,0.8245614035087719,,,0.8001828751828752,
R,fold4,,0.7368421052631579,,,0.5564851451948227,
X,fold4,,0.7719298245614035,,,0.7378167291960396,
S,fold4,,0.5087719298245614,,,0.17101063829787233,
M,fold4,,,0.7894736842105263,,,0.7292108476319002
R,fold4,,,0.7192982456140351,,,0.5726937536148063
X,fold4,,,0.6491228070175439,,,0.4742895992895993
S,fold4,,,0.2982456140350877,,,0.03935185185185185
M,fold5,0.4584503173828125,0.8070175438596491,0.8947368421052632,1.6879137754440308,0.8011376654233796,0.8825287855775661
M,fold5,0.5180525183677673,,,1.50214421749115,,
R,fold5,-2.8380449864859476,,,11.962500266173297,,
X,fold5,-3.0880227088928223,,,12.741637229919434,,
S,fold5,-1.6455988787228368,,,8.245858868862841,,
M,fold5,,0.8070175438596491,,,0.8011376654233796,
R,fold5,,0.7719298245614035,,,0.7527348591258366,
X,fold5,,0.7543859649122807,,,0.6565397330103213,
S,fold5,,0.6140350877192983,,,0.22082985240879976,
M,fold5,,,0.8947368421052632,,,0.8875792906280712
R,fold5,,,0.8596491228070176,,,0.7511051402403951
X,fold5,,,0.7894736842105263,,,0.7100973281461086
S,fold5,,,0.3508771929824561,,,0.051948051948051945
