,,accuracy,accuracy,Loss,Loss
,,Inorganic.N,crop,Inorganic.N,crop
method,fold,,,,
M,fold1,0.4549560546875,0.7833333333333333,1.4640326499938965,0.7143278290337114
S,fold1,0.33472228050231934,,1.7869904041290283,
R,fold1,-11.08564432926851,,32.46303268513709,
X,fold1,-10.375082969665527,,30.55440330505371,
S,fold1,-7.04710244550038,,21.61517769278394,
S,fold1,,0.7833333333333333,,0.6504856254856255
R,fold1,,0.75,,0.6249590499590499
X,fold1,,0.7166666666666667,,0.5719753930280246
S,fold1,,0.5166666666666667,,0.17755255255255256
M,fold2,0.3023594617843628,0.864406779661017,2.4121406078338623,0.8362360095553373
S,fold2,0.2145524024963379,,2.7157397270202637,
R,fold2,-7.939979492690711,,30.910600201965874,
X,fold2,-8.698519706726074,,33.53330612182617,
S,fold2,-3.564535150381732,,15.782197403990306,
S,fold2,,0.864406779661017,,0.8368029029793735
R,fold2,,0.7966101694915254,,0.6952225447508465
X,fold2,,0.6440677966101694,,0.4935050943454305
S,fold2,,0.5423728813559322,,0.1958417169684775
M,fold3,0.4583561420440674,0.7966101694915254,2.240734100341797,0.5765292295780101
S,fold3,-1.0520777702331543,,8.489269256591797,
R,fold3,-6.964958852586237,,32.95034812213745,
X,fold3,-7.4881591796875,,35.114784240722656,
S,fold3,-3.822545049319432,,19.950453122324564,
S,fold3,,0.8305084745762712,,0.7201687201687201
R,fold3,,0.7796610169491526,,0.541310975609756
X,fold3,,0.847457627118644,,0.7527777777777778
S,fold3,,0.6271186440677966,,0.19910714285714287
M,fold4,0.2547352910041809,0.864406779661017,2.562467336654663,0.7144893483709274
S,fold4,0.4402528405189514,,1.9245966672897339,
R,fold4,-6.78013297287494,,26.750680066287906,
X,fold4,-6.712501049041748,,26.518138885498047,
S,fold4,-4.195539705785518,,17.863990361826183,
S,fold4,,0.864406779661017,,0.8264550579247539
R,fold4,,0.7966101694915254,,0.7458333333333333
X,fold4,,0.8983050847457628,,0.8520933014354067
S,fold4,,0.5084745762711864,,0.16527355623100304
M,fold5,0.627794623374939,0.8135593220338984,2.3483643531799316,0.6569720053920186
S,fold5,0.6047437191009521,,2.493799924850464,
R,fold5,-3.2782682800433305,,26.992983899018743,
X,fold5,-2.254260778427124,,20.53218650817871,
S,fold5,-1.6142098299894037,,16.493898753082828,
S,fold5,,0.9152542372881356,,0.8126909384443433
R,fold5,,0.847457627118644,,0.6868200706166928
X,fold5,,0.8983050847457628,,0.7652770083332917
S,fold5,,0.6271186440677966,,0.23013115916341723
