,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,Inorganic.N,pref,area,Inorganic.N,pref,area
method,fold,,,,,,
M,fold1,0.30445337295532227,0.7833333333333333,0.9833333333333333,2.2112274169921875,0.7078638953638953,0.9761051373954599
S,fold1,0.2710501551628113,,,2.317420244216919,,
R,fold1,-21.2627601127571,,,70.77602344640948,,
X,fold1,-18.462270736694336,,,61.8729248046875,,
S,fold1,-9.792019126014416,,,34.30914203038152,,
S,fold1,,0.85,,,0.7840351210634228,
R,fold1,,0.7833333333333333,,,0.7474844599844599,
X,fold1,,0.8166666666666667,,,0.7186202686202686,
S,fold1,,0.43333333333333335,,,0.050387596899224806,
S,fold1,,,0.9833333333333333,,,0.9761051373954599
R,fold1,,,0.9666666666666667,,,0.9534161490683231
X,fold1,,,0.9833333333333333,,,0.9761051373954599
S,fold1,,,0.9666666666666667,,,0.9509001636661212
M,fold2,0.406444787979126,0.8166666666666667,1.0,4.686738967895508,0.7209003298289013,1.0
S,fold2,0.4927884340286255,,,4.004965782165527,,
R,fold2,-4.455258057390128,,,43.07496867538204,,
X,fold2,-5.495521068572998,,,51.28893280029297,,
S,fold2,-2.0314835898592762,,,23.936733936211777,,
S,fold2,,0.8666666666666667,,,0.8618108082393796,
R,fold2,,0.7666666666666667,,,0.6463804713804714,
X,fold2,,0.8,,,0.6572390572390573,
S,fold2,,0.4166666666666667,,,0.049019607843137254,
S,fold2,,,1.0,,,1.0
R,fold2,,,0.9833333333333333,,,0.9687337154768108
X,fold2,,,1.0,,,1.0
S,fold2,,,0.9833333333333333,,,0.9687337154768108
M,fold3,0.601396918296814,0.7166666666666667,0.9666666666666667,1.7707324028015137,0.5524210637847001,0.9603174603174602
S,fold3,0.6441822052001953,,,1.5806654691696167,,
R,fold3,-12.18349277180636,,,58.56561829875031,,
X,fold3,-14.835944175720215,,,70.3487319946289,,
S,fold3,-5.361889349119848,,,28.261704976714395,,
S,fold3,,0.85,,,0.7795235067962341,
R,fold3,,0.7166666666666667,,,0.6310042670507786,
X,fold3,,0.7166666666666667,,,0.6146798139037606,
S,fold3,,0.3333333333333333,,,0.045454545454545456,
S,fold3,,,1.0,,,1.0
R,fold3,,,1.0,,,1.0
X,fold3,,,0.9833333333333333,,,0.9791013584117032
S,fold3,,,0.9833333333333333,,,0.9791013584117032
M,fold4,0.09487253427505493,0.7666666666666667,0.9833333333333333,5.141729831695557,0.6413003663003664,0.9818785865297492
S,fold4,0.508256196975708,,,2.793433666229248,,
R,fold4,-8.359028009237882,,,53.16553527789608,,
X,fold4,-8.641121864318848,,,54.76802444458008,,
S,fold4,-3.2773355432870366,,,24.298125136238777,,
S,fold4,,0.8333333333333334,,,0.7838167713167715,
R,fold4,,0.8,,,0.784990393526979,
X,fold4,,0.75,,,0.6996650707016561,
S,fold4,,0.3,,,0.038461538461538464,
S,fold4,,,0.9833333333333333,,,0.9818785865297492
R,fold4,,,0.9666666666666667,,,0.9633699633699633
X,fold4,,,0.9666666666666667,,,0.9633699633699633
S,fold4,,,0.9666666666666667,,,0.9633699633699633
M,fold5,0.46582090854644775,0.7288135593220338,1.0,3.3722474575042725,0.6336052836052836,1.0
S,fold5,0.5076802968978882,,,3.1079912185668945,,
R,fold5,-6.0396370208295425,,,44.44089557524905,,
X,fold5,-6.920313835144043,,,50.000572204589844,,
S,fold5,-2.9837359298101473,,,25.149136515450362,,
S,fold5,,0.7966101694915254,,,0.6919264843683447,
R,fold5,,0.7627118644067796,,,0.719538332038332,
X,fold5,,0.7457627118644068,,,0.6235690235690236,
S,fold5,,0.3728813559322034,,,0.04526748971193415,
S,fold5,,,1.0,,,1.0
R,fold5,,,0.9830508474576272,,,0.9781238413051538
X,fold5,,,0.9661016949152542,,,0.9571220930232558
S,fold5,,,0.9830508474576272,,,0.9781238413051538
