,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,Inorganic.N,pref,crop,Inorganic.N,pref,crop
method,fold,,,,,,
M,fold1,0.4608380198478699,0.9,0.75,1.7400654554367065,0.9006387403446227,0.727377872804702
S,fold1,0.4378698468208313,,,1.8141918182373047,,
R,fold1,-12.83395146163599,,,44.647030375740734,,
X,fold1,-11.83056354522705,,,41.40874481201172,,
S,fold1,-7.265318690143976,,,26.675092481522668,,
S,fold1,,0.4666666666666667,,,0.08888888888888889,
R,fold1,,0.8,,,0.7654331779331779,
X,fold1,,0.8333333333333334,,,0.7859846502703646,
S,fold1,,0.43333333333333335,,,0.06874999999999999,
S,fold1,,,0.5166666666666667,,,0.18583945732052007
R,fold1,,,0.7333333333333333,,,0.6902242944394108
X,fold1,,,0.75,,,0.6670704539125591
S,fold1,,,0.5333333333333333,,,0.1874657909140668
M,fold2,0.41819047927856445,0.4166666666666667,0.5,2.9822945594787598,0.0670995670995671,0.16856971153846154
S,fold2,0.47932636737823486,,,2.6689181327819824,,
R,fold2,-6.359225234499248,,,37.72261521856947,,
X,fold2,-7.421368598937988,,,43.167049407958984,,
S,fold2,-3.325111832984267,,,22.170068757794848,,
S,fold2,,0.4166666666666667,,,0.0665204678362573,
R,fold2,,0.75,,,0.5768048128342246,
X,fold2,,0.7333333333333333,,,0.5633743901601044,
S,fold2,,0.4166666666666667,,,0.07655826558265583,
S,fold2,,,0.5833333333333334,,,0.27654176424668225
R,fold2,,,0.7833333333333333,,,0.6417325360809403
X,fold2,,,0.7833333333333333,,,0.7532179808495598
S,fold2,,,0.5,,,0.17329545454545453
M,fold3,0.3594587445259094,0.31666666666666665,0.5833333333333334,3.474412202835083,0.04372842347525892,0.2137472283813747
S,fold3,0.46081268787384033,,,2.924649953842163,,
R,fold3,-8.025577241009938,,,48.95637430676426,,
X,fold3,-7.676359176635742,,,47.06214904785156,,
S,fold3,-3.718365132935295,,,25.59327158759302,,
S,fold3,,0.35,,,0.07622504537205081,
R,fold3,,0.7833333333333333,,,0.756546483819211,
X,fold3,,0.8333333333333334,,,0.7384520884520885,
S,fold3,,0.3333333333333333,,,0.0650662468844287,
S,fold3,,,0.5833333333333334,,,0.21707974492143842
R,fold3,,,0.8166666666666667,,,0.6765829408686551
X,fold3,,,0.8333333333333334,,,0.7476237686764003
S,fold3,,,0.5833333333333334,,,0.2153061224489796
M,fold4,0.33524250984191895,0.3333333333333333,0.5666666666666667,4.7313923835754395,0.07317620650953983,0.17602495543672014
S,fold4,0.3971465826034546,,,4.290791988372803,,
R,fold4,-4.3376905551276534,,,37.99085995846982,,
X,fold4,-4.256398677825928,,,37.412269592285156,,
S,fold4,-2.367318234868444,,,23.966791288340126,,
S,fold4,,0.26666666666666666,,,0.03508771929824561,
R,fold4,,0.8166666666666667,,,0.8019343394343396,
X,fold4,,0.7666666666666667,,,0.7364951489951489,
S,fold4,,0.26666666666666666,,,0.03508771929824561,
S,fold4,,,0.5833333333333334,,,0.21254399195575668
R,fold4,,,0.75,,,0.5404491341991342
X,fold4,,,0.85,,,0.7705357142857143
S,fold4,,,0.5666666666666667,,,0.17841312056737588
M,fold5,0.33265262842178345,0.4915254237288136,0.6440677966101694,4.319191932678223,0.08225108225108226,0.23005923680947787
S,fold5,0.45930880308151245,,,3.499450445175171,,
R,fold5,-6.901214274054426,,,51.138076161784205,,
X,fold5,-6.715320110321045,,,49.934932708740234,,
S,fold5,-2.2648707819378333,,,21.130829378133985,,
S,fold5,,0.4915254237288136,,,0.08472222222222221,
R,fold5,,0.847457627118644,,,0.8019991015274036,
X,fold5,,0.847457627118644,,,0.7738366571699906,
S,fold5,,0.4745762711864407,,,0.07088353413654619,
S,fold5,,,0.6440677966101694,,,0.2248847926267281
R,fold5,,,0.8813559322033898,,,0.7458323988936234
X,fold5,,,0.8135593220338984,,,0.7068236525379383
S,fold5,,,0.6440677966101694,,,0.22835497835497837
