,,accuracy,accuracy,Loss,Loss
,,Inorganic.N,pref,Inorganic.N,pref
method,fold,,,,
M,fold1,0.44578754901885986,0.8666666666666667,1.788638710975647,0.828108003108003
S,fold1,0.4282066226005554,,1.8453783988952637,
R,fold1,-12.839542285946868,,44.6650739335431,
X,fold1,-11.83056354522705,,41.40874481201172,
S,fold1,-7.265318690143976,,26.675092481522668,
S,fold1,,0.48333333333333334,,0.11289983164983164
R,fold1,,0.8333333333333334,,0.778044332210999
X,fold1,,0.8333333333333334,,0.7859846502703646
S,fold1,,0.43333333333333335,,0.06874999999999999
M,fold2,0.43167752027511597,0.4,2.913161277770996,0.047619047619047616
S,fold2,0.4628490209579468,,2.7533793449401855,
R,fold2,-6.239210203159571,,37.1074307795272,
X,fold2,-7.421368598937988,,43.167049407958984,
S,fold2,-3.325111832984267,,22.170068757794848,
S,fold2,,0.4,,0.047619047619047616
R,fold2,,0.7666666666666667,,0.6000252525252525
X,fold2,,0.7333333333333333,,0.5633743901601044
S,fold2,,0.4166666666666667,,0.07655826558265583
M,fold3,0.45023417472839355,0.31666666666666665,2.982029914855957,0.05006587615283267
S,fold3,0.46211642026901245,,2.91757869720459,
R,fold3,-7.680275996443733,,47.08339748476511,
X,fold3,-7.676359176635742,,47.06214904785156,
S,fold3,-3.718365132935295,,25.59327158759302,
S,fold3,,0.31666666666666665,,0.04372842347525892
R,fold3,,0.7666666666666667,,0.7311874993693176
X,fold3,,0.8333333333333334,,0.7384520884520885
S,fold3,,0.3333333333333333,,0.0650662468844287
M,fold4,0.3743128776550293,0.3,4.453310012817383,0.07198067632850241
S,fold4,0.39137840270996094,,4.331846714019775,
R,fold4,-4.204108191938951,,37.04009130666998,
X,fold4,-4.256398677825928,,37.412269592285156,
S,fold4,-2.367318234868444,,23.966791288340126,
S,fold4,,0.3,,0.05931034482758621
R,fold4,,0.8166666666666667,,0.8141586891586892
X,fold4,,0.7666666666666667,,0.7364951489951489
S,fold4,,0.26666666666666666,,0.03508771929824561
M,fold5,0.4123832583427429,0.4745762711864407,3.8031609058380127,0.08755020080321285
S,fold5,0.538791298866272,,2.98502516746521,
R,fold5,-6.644278378515155,,49.47514095473264,
X,fold5,-6.715320110321045,,49.934932708740234,
S,fold5,-2.2648707819378333,,21.130829378133985,
S,fold5,,0.4576271186440678,,0.05232558139534884
R,fold5,,0.8305084745762712,,0.7610161443494777
X,fold5,,0.847457627118644,,0.7738366571699906
S,fold5,,0.4745762711864407,,0.07088353413654619
