,,accuracy,accuracy,Loss,Loss
,,Inorganic.N,soiltype,Inorganic.N,soiltype
method,fold,,,,
M,fold1,0.4565466046333313,0.8166666666666667,3.5745432376861572,0.2844158496732026
S,fold1,0.43347877264022827,,3.726271152496338,
R,fold1,-6.858163019106859,,51.68675395577123,
X,fold1,-6.548245429992676,,49.64828872680664,
S,fold1,-3.7948215650247503,,31.53774767597375,
S,fold1,,0.7666666666666667,,0.2661356209150327
R,fold1,,0.7666666666666667,,0.26648407384865086
X,fold1,,0.7833333333333333,,0.27469135802469136
S,fold1,,0.6833333333333333,,0.2349206349206349
M,fold2,0.44781213998794556,0.864406779661017,3.2968928813934326,0.35345268542199487
S,fold2,0.46101218461990356,,3.218080759048462,
R,fold2,-8.226064473184037,,55.085141258623665,
X,fold2,-7.828856468200684,,52.71357345581055,
S,fold2,-3.033158286542208,,24.08037517820351,
S,fold2,,0.8813559322033898,,0.44541343669250644
R,fold2,,0.847457627118644,,0.42485168094924197
X,fold2,,0.864406779661017,,0.4352576647097195
S,fold2,,0.711864406779661,,0.32417802726543704
M,fold3,0.48696577548980713,0.8983050847457628,1.492780089378357,0.5649122807017544
S,fold3,0.25530940294265747,,2.16683292388916,
R,fold3,-24.0108264770997,,72.77421923860763,
X,fold3,-27.09855842590332,,81.75862121582031,
S,fold3,-9.098958828520907,,29.385028301298973,
S,fold3,,0.7288135593220338,,0.5201703445605884
R,fold3,,0.8305084745762712,,0.4731952291274325
X,fold3,,0.864406779661017,,0.5721247563352826
S,fold3,,0.7627118644067796,,0.3111940298507463
M,fold4,0.5811442136764526,0.711864406779661,2.3466851711273193,0.2523497267759563
S,fold4,0.5670769214630127,,2.4254987239837646,
R,fold4,-9.454469966494715,,58.57230739401875,
X,fold4,-7.925687789916992,,50.007137298583984,
S,fold4,-3.509938630614056,,25.267422705032267,
S,fold4,,0.7796610169491526,,0.27629870129870127
R,fold4,,0.7966101694915254,,0.2825851225330731
X,fold4,,0.7457627118644068,,0.2642857142857143
S,fold4,,0.7288135593220338,,0.2572390572390572
M,fold5,0.3601750135421753,0.6949152542372882,4.03941011428833,0.2961525593844095
S,fold5,0.43962764739990234,,3.537801504135132,
R,fold5,-6.705303391187914,,48.6459241923952,
X,fold5,-6.684998035430908,,48.51773452758789,
S,fold5,-3.0057162692946884,,25.289305310833715,
S,fold5,,0.7288135593220338,,0.31272727272727274
R,fold5,,0.711864406779661,,0.304
X,fold5,,0.6610169491525424,,0.2814319170291067
S,fold5,,0.6440677966101694,,0.2708683473389356
