,,accuracy,accuracy,Loss,Loss
,,NH4.N,area,NH4.N,area
method,fold,,,,
M,fold1,0.5871269702911377,1.0,0.10817869007587433,1.0
S,fold1,0.5246052742004395,,0.12456027418375015,
R,fold1,-3.4742532799071295,,1.1723189766029392,
X,fold1,-4.868224620819092,,1.5375595092773438,
S,fold1,-2.429281200090021,,0.8985212001803973,
S,fold1,,1.0,,1.0
R,fold1,,0.9833333333333333,,0.9761051373954599
X,fold1,,0.9833333333333333,,0.9761051373954599
S,fold1,,0.9833333333333333,,0.9761051373954599
M,fold2,0.6650018692016602,1.0,0.18861690163612366,1.0
S,fold2,0.6731536388397217,,0.18402713537216187,
R,fold2,-0.975845002429323,,1.1124772843525947,
X,fold2,-1.7487461566925049,,1.5476504564285278,
S,fold2,-0.43013872444902934,,0.8052235081529129,
S,fold2,,1.0,,1.0
R,fold2,,1.0,,1.0
X,fold2,,0.9666666666666667,,0.934640522875817
S,fold2,,1.0,,1.0
M,fold3,0.4978441596031189,0.9833333333333333,0.24573306739330292,0.9804623901009444
S,fold3,0.533100426197052,,0.22848017513751984,
R,fold3,-1.3468068419281698,,1.148424438557488,
X,fold3,-1.021066427230835,,0.989021360874176,
S,fold3,-0.742776456322825,,0.8528384346021982,
S,fold3,,0.9833333333333333,,0.9804623901009444
R,fold3,,0.9666666666666667,,0.9603174603174602
X,fold3,,0.95,,0.9394957983193277
S,fold3,,0.9333333333333333,,0.9179206566347469
M,fold4,0.46358782052993774,0.9666666666666667,0.6112805604934692,0.9641148325358853
S,fold4,0.5429651737213135,,0.5208243727684021,
R,fold4,-0.022821640313313463,,1.1655793899294928,
X,fold4,-0.04300880432128906,,1.1885840892791748,
S,fold4,-0.059962102630841674,,1.2079036385604691,
S,fold4,,0.9666666666666667,,0.9641148325358853
R,fold4,,0.9666666666666667,,0.9641148325358853
X,fold4,,0.9666666666666667,,0.9641148325358853
S,fold4,,0.9666666666666667,,0.9641148325358853
M,fold5,0.6186391711235046,0.9830508474576272,0.2930770516395569,0.9759869759869759
S,fold5,0.5933867692947388,,0.31248360872268677,
R,fold5,-0.42760710124532286,,1.097120757148217,
X,fold5,-1.2648868560791016,,1.7405729293823242,
S,fold5,-0.03346538526937781,,0.7942215508623846,
S,fold5,,0.9830508474576272,,0.9759869759869759
R,fold5,,0.9661016949152542,,0.9531746031746031
X,fold5,,0.9661016949152542,,0.9531746031746031
S,fold5,,0.9830508474576272,,0.9759869759869759
