,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,NH4.N,crop,pref,NH4.N,crop,pref
method,fold,,,,,,
M,fold1,0.4062756299972534,0.8771929824561403,0.9122807017543859,0.049724381417036057,0.8180607769423558,0.8683261183261183
M,fold1,0.37233787775039673,,,0.05256666988134384,,
R,fold1,-0.041863834978275394,,,0.08725604342261514,,
X,fold1,-0.0006821155548095703,,,0.083807073533535,,
S,fold1,-0.04476727009086212,,,0.08749920596627318,,
M,fold1,,0.8596491228070176,,,0.793040293040293,
R,fold1,,0.8245614035087719,,,0.7439895470383275,
X,fold1,,0.8947368421052632,,,0.8596819846819848,
S,fold1,,0.5964912280701754,,,0.1956956956956957,
M,fold1,,,0.9298245614035088,,,0.9077200577200578
R,fold1,,,0.8947368421052632,,,0.8800301148127235
X,fold1,,,0.8070175438596491,,,0.6827254305977711
S,fold1,,,0.38596491228070173,,,0.05063291139240506
M,fold2,0.3460761308670044,0.7719298245614035,0.8421052631578947,0.04184093698859215,0.5998936408419167,0.717912457912458
M,fold2,0.3478049039840698,,,0.04173032566905022,,
R,fold2,-0.4893973846049635,,,0.09529822611019739,,
X,fold2,-0.48784542083740234,,,0.09519892185926437,,
S,fold2,-0.5094558614482501,,,0.09658165609429441,,
M,fold2,,0.7894736842105263,,,0.6027507836990595,
R,fold2,,0.7894736842105263,,,0.6792175961293608,
X,fold2,,0.7894736842105263,,,0.7814880952380953,
S,fold2,,0.631578947368421,,,0.19430443548387097,
M,fold2,,,0.8245614035087719,,,0.7064550264550264
R,fold2,,,0.8070175438596491,,,0.6597306397306397
X,fold2,,,0.7017543859649122,,,0.5483694083694084
S,fold2,,,0.47368421052631576,,,0.07142857142857144
M,fold3,0.19154256582260132,0.8392857142857143,0.875,0.05320635065436363,0.7811749621478686,0.7796695951107717
M,fold3,0.16469216346740723,,,0.054973430931568146,,
R,fold3,-0.26688555995061347,,,0.08337650548966392,,
X,fold3,-0.2069002389907837,,,0.07942873984575272,,
S,fold3,-0.23438198702706448,,,0.08123737437003888,,
M,fold3,,0.8392857142857143,,,0.7671150278293135,
R,fold3,,0.8392857142857143,,,0.8129413788976001,
X,fold3,,0.7678571428571429,,,0.6974548440065682,
S,fold3,,0.48214285714285715,,,0.19911312059820885,
M,fold3,,,0.875,,,0.7770021645021645
R,fold3,,,0.7321428571428571,,,0.6014483065953654
X,fold3,,,0.7321428571428571,,,0.6121428571428572
S,fold3,,,0.30357142857142855,,,0.04657534246575342
M,fold4,0.3953198194503784,0.8392857142857143,0.8214285714285714,0.054872263222932816,0.6315301582069874,0.6590419251927956
M,fold4,0.3797399401664734,,,0.056286074221134186,,
R,fold4,0.05363446562720109,,,0.08587881599526496,,
X,fold4,0.0697166919708252,,,0.08441942185163498,,
S,fold4,0.036993333827678665,,,0.0873889308968091,,
M,fold4,,0.8392857142857143,,,0.6286537367932716,
R,fold4,,0.8214285714285714,,,0.6207287644787645,
X,fold4,,0.8392857142857143,,,0.6907736684052473,
S,fold4,,0.6428571428571429,,,0.20023923444976077,
M,fold4,,,0.7857142857142857,,,0.6233333333333334
R,fold4,,,0.7678571428571429,,,0.5890692640692641
X,fold4,,,0.75,,,0.6504265342500637
S,fold4,,,0.375,,,0.04958677685950413
M,fold5,0.311303973197937,0.8035714285714286,0.7857142857142857,0.07088121026754379,0.6222222222222221,0.7545918367346938
M,fold5,0.31340646743774414,,,0.07066481560468674,,
R,fold5,-0.015075214226345057,,,0.10447244611849071,,
X,fold5,-0.001641392707824707,,,0.1030898243188858,,
S,fold5,-0.04424097246288117,,,0.10747421196122563,,
M,fold5,,0.8214285714285714,,,0.6464370145221209,
R,fold5,,0.7857142857142857,,,0.5687888198757763,
X,fold5,,0.8571428571428571,,,0.6747339961625677,
S,fold5,,0.6071428571428571,,,0.22675736961451246,
M,fold5,,,0.8035714285714286,,,0.7747832466319861
R,fold5,,,0.7678571428571429,,,0.7364444444444445
X,fold5,,,0.7142857142857143,,,0.6476598798027371
S,fold5,,,0.44642857142857145,,,0.08733766233766234
