,,accuracy,accuracy,Loss,Loss
,,NH4.N,crop,NH4.N,crop
method,fold,,,,
M,fold1,0.3589003086090088,0.8333333333333334,0.16797736287117004,0.8251863143631436
S,fold1,0.3249835968017578,,0.17686404287815094,
R,fold1,-3.040932230700438,,1.0587826116638175,
X,fold1,-4.2932915687561035,,1.3869187831878662,
S,fold1,-1.9798244758640675,,0.7807570532575477,
S,fold1,,0.65,,0.4600961538461539
R,fold1,,0.7,,0.5451721243872407
X,fold1,,0.75,,0.6670704539125591
S,fold1,,0.5333333333333333,,0.1874657909140668
M,fold2,0.522965133190155,0.85,0.2685891091823578,0.8216830649970185
S,fold2,0.6956614851951599,,0.17135436832904816,
R,fold2,-0.8597207594721945,,1.0470949679000419,
X,fold2,-0.884667158126831,,1.0611406564712524,
S,fold2,-0.32499370232910096,,0.7460228806618272,
S,fold2,,0.85,,0.821031746031746
R,fold2,,0.7833333333333333,,0.6570609697208163
X,fold2,,0.7833333333333333,,0.7532179808495598
S,fold2,,0.5,,0.17329545454545453
M,fold3,0.468511164188385,0.9,0.26008734107017517,0.82999207999208
S,fold3,0.23637717962265015,,0.37368354201316833,
R,fold3,-1.0110733748019487,,0.984131179832447,
X,fold3,-1.1891529560089111,,1.0712754726409912,
S,fold3,-0.5446151649690063,,0.7558669731967081,
S,fold3,,0.8,,0.7410687351863823
R,fold3,,0.85,,0.788066319645267
X,fold3,,0.8333333333333334,,0.7476237686764003
S,fold3,,0.5833333333333334,,0.2153061224489796
M,fold4,0.5019062757492065,0.8333333333333334,0.567613959312439,0.7513115237253167
S,fold4,0.4173107147216797,,0.6640167832374573,
R,fold4,0.025150391528220184,,1.110911862859272,
X,fold4,-0.04189574718475342,,1.187315821647644,
S,fold4,-0.039485708374892736,,1.1845693886225432,
S,fold4,,0.85,,0.7890678765678766
R,fold4,,0.8,,0.6803059395801331
X,fold4,,0.85,,0.7705357142857143
S,fold4,,0.5666666666666667,,0.17841312056737588
M,fold5,0.4877318739891052,0.8305084745762712,0.39367973804473877,0.759529673938541
S,fold5,0.5667486190795898,,0.33295509219169617,
R,fold5,-0.3808582353901746,,1.0611941311365216,
X,fold5,-0.601243257522583,,1.2305606603622437,
S,fold5,-0.09241941031203704,,0.8395279379531606,
S,fold5,,0.7966101694915254,,0.6089089481946625
R,fold5,,0.8135593220338984,,0.5790992258972555
X,fold5,,0.8135593220338984,,0.7068236525379383
S,fold5,,0.6440677966101694,,0.22835497835497837
