,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,NH4.N,pref,crop,NH4.N,pref,crop
method,fold,,,,,,
M,fold1,0.5938382148742676,0.8666666666666667,0.7666666666666667,0.10642025619745255,0.8412953060011882,0.7434192388460681
S,fold1,0.5528144836425781,,,0.11716904491186142,,
R,fold1,-3.1962900376103534,,,1.0994886010621923,,
X,fold1,-4.2932915687561035,,,1.3869187831878662,,
S,fold1,-1.9798244758640675,,,0.7807570532575477,,
S,fold1,,0.5166666666666667,,,0.13553113553113552,
R,fold1,,0.8166666666666667,,,0.7774504816171484,
X,fold1,,0.8333333333333334,,,0.7859846502703646,
S,fold1,,0.43333333333333335,,,0.06874999999999999,
S,fold1,,,0.5166666666666667,,,0.16885964912280702
R,fold1,,,0.75,,,0.6168317147968312
X,fold1,,,0.75,,,0.6670704539125591
S,fold1,,,0.5333333333333333,,,0.1874657909140668
M,fold2,0.36001044511795044,0.4,0.48333333333333334,0.36033895611763,0.047619047619047616,0.16076923076923078
S,fold2,0.46019554138183594,,,0.3039308190345764,,
R,fold2,-0.7994837934117218,,,1.0131792180638206,,
X,fold2,-0.884667158126831,,,1.0611406564712524,,
S,fold2,-0.32499370232910096,,,0.7460228806618272,,
S,fold2,,0.43333333333333335,,,0.10833333333333334,
R,fold2,,0.7666666666666667,,,0.6037243180100323,
X,fold2,,0.7333333333333333,,,0.5633743901601044,
S,fold2,,0.4166666666666667,,,0.07655826558265583,
S,fold2,,,0.5,,,0.16856971153846154
R,fold2,,,0.7833333333333333,,,0.7374531265835613
X,fold2,,,0.7833333333333333,,,0.7532179808495598
S,fold2,,,0.5,,,0.17329545454545453
M,fold3,0.25208741426467896,0.31666666666666665,0.5666666666666667,0.3659956157207489,0.04372842347525892,0.20222070591154395
S,fold3,0.25244390964508057,,,0.3658211827278137,,
R,fold3,-0.9210236747592915,,,0.9400648028136246,,
X,fold3,-1.1891529560089111,,,1.0712754726409912,,
S,fold3,-0.5446151649690063,,,0.7558669731967081,,
S,fold3,,0.31666666666666665,,,0.04372842347525892,
R,fold3,,0.85,,,0.8693230214761317,
X,fold3,,0.8333333333333334,,,0.7384520884520885,
S,fold3,,0.3333333333333333,,,0.0650662468844287,
S,fold3,,,0.6,,,0.2504355400696864
R,fold3,,,0.85,,,0.7591218305504019
X,fold3,,,0.8333333333333334,,,0.7476237686764003
S,fold3,,,0.5833333333333334,,,0.2153061224489796
M,fold4,0.21592110395431519,0.26666666666666666,0.45,0.89351487159729,0.03508771929824561,0.1449016100178891
S,fold4,0.33937907218933105,,,0.7528255581855774,,
R,fold4,0.0036527815212378245,,,1.1354099493049519,,
X,fold4,-0.04189574718475342,,,1.187315821647644,,
S,fold4,-0.039485708374892736,,,1.1845693886225432,,
S,fold4,,0.3,,,0.05931034482758621,
R,fold4,,0.7833333333333333,,,0.779391685312738,
X,fold4,,0.7666666666666667,,,0.7364951489951489,
S,fold4,,0.26666666666666666,,,0.03508771929824561,
S,fold4,,,0.5166666666666667,,,0.16448535936113576
R,fold4,,,0.8166666666666667,,,0.64472901650321
X,fold4,,,0.85,,,0.7705357142857143
S,fold4,,,0.5666666666666667,,,0.17841312056737588
M,fold5,0.28000593185424805,0.5084745762711864,0.6440677966101694,0.5533178448677063,0.11850358422939068,0.22148591818529376
S,fold5,0.3993450403213501,,,0.46160534024238586,,
R,fold5,-0.27593294240653776,,,0.9805586956744927,,
X,fold5,-0.601243257522583,,,1.2305606603622437,,
S,fold5,-0.09241941031203704,,,0.8395279379531606,,
S,fold5,,0.4745762711864407,,,0.07230392156862746,
R,fold5,,0.847457627118644,,,0.8088383838383838,
X,fold5,,0.847457627118644,,,0.7738366571699906,
S,fold5,,0.4745762711864407,,,0.07088353413654619,
S,fold5,,,0.6610169491525424,,,0.2998866213151928
R,fold5,,,0.847457627118644,,,0.6337386018237082
X,fold5,,,0.8135593220338984,,,0.7068236525379383
S,fold5,,,0.6440677966101694,,,0.22835497835497837
