,,accuracy,accuracy,Loss,Loss
,,NH4.N,pref,NH4.N,pref
method,fold,,,,
M,fold1,0.5404442548751831,0.7833333333333333,0.12041023373603821,0.6134786781845606
S,fold1,0.5208083391189575,,0.1255551278591156,
R,fold1,-3.0220462661227048,,1.0538342161556016,
X,fold1,-4.2932915687561035,,1.3869187831878662,
S,fold1,-1.9798244758640675,,0.7807570532575477,
S,fold1,,0.4166666666666667,,0.049019607843137254
R,fold1,,0.8166666666666667,,0.7693070818070818
X,fold1,,0.8333333333333334,,0.7859846502703646
S,fold1,,0.43333333333333335,,0.06874999999999999
M,fold2,0.34554702043533325,0.4,0.36848241090774536,0.05555555555555555
S,fold2,0.4687884449958801,,0.29909271001815796,
R,fold2,-0.7902606460380199,,1.007986228119489,
X,fold2,-0.884667158126831,,1.0611406564712524,
S,fold2,-0.32499370232910096,,0.7460228806618272,
S,fold2,,0.4,,0.047619047619047616
R,fold2,,0.75,,0.5793300653594771
X,fold2,,0.7333333333333333,,0.5633743901601044
S,fold2,,0.4166666666666667,,0.07655826558265583
M,fold3,0.21268391609191895,0.31666666666666665,0.38527795672416687,0.04372842347525892
S,fold3,0.16833043098449707,,0.4069826304912567,
R,fold3,-0.9710346331131006,,0.9645379742383781,
X,fold3,-1.1891529560089111,,1.0712754726409912,
S,fold3,-0.5446151649690063,,0.7558669731967081,
S,fold3,,0.31666666666666665,,0.04372842347525892
R,fold3,,0.8166666666666667,,0.7850739372270474
X,fold3,,0.8333333333333334,,0.7384520884520885
S,fold3,,0.3333333333333333,,0.0650662468844287
M,fold4,0.281513512134552,0.26666666666666666,0.8187675476074219,0.03508771929824561
S,fold4,0.30811846256256104,,0.7884492874145508,
R,fold4,0.06538992365500662,,1.0650559962650066,
X,fold4,-0.04189574718475342,,1.187315821647644,
S,fold4,-0.039485708374892736,,1.1845693886225432,
S,fold4,,0.2833333333333333,,0.0777027027027027
R,fold4,,0.8166666666666667,,0.8010694635694637
X,fold4,,0.7666666666666667,,0.7364951489951489
S,fold4,,0.26666666666666666,,0.03508771929824561
M,fold5,0.2134946584701538,0.4576271186440678,0.6044319272041321,0.05232558139534884
S,fold5,0.44741111993789673,,0.4246663451194763,
R,fold5,-0.31309792974070616,,1.0091201116345017,
X,fold5,-0.601243257522583,,1.2305606603622437,
S,fold5,-0.09241941031203704,,0.8395279379531606,
S,fold5,,0.4915254237288136,,0.0986808726534754
R,fold5,,0.847457627118644,,0.8152449402449403
X,fold5,,0.847457627118644,,0.7738366571699906
S,fold5,,0.4745762711864407,,0.07088353413654619
