,,accuracy,accuracy,Loss,Loss
,,NH4.N,soiltype,NH4.N,soiltype
method,fold,,,,
M,fold1,0.5858533382415771,0.8166666666666667,0.19292503595352173,0.2844390342868736
S,fold1,0.6089740991592407,,0.18215452134609222,
R,fold1,-0.8183842314059167,,0.8470715563895806,
X,fold1,-0.8215892314910889,,0.8485645055770874,
S,fold1,-0.5254846785089582,,0.7106279622068427,
S,fold1,,0.85,,0.2956241177656786
R,fold1,,0.7833333333333333,,0.27267156862745096
X,fold1,,0.7833333333333333,,0.2749871597329225
S,fold1,,0.6666666666666666,,0.22812633376013658
M,fold2,0.6488896608352661,0.864406779661017,0.20107802748680115,0.4352576647097195
S,fold2,0.6150658130645752,,0.22044868767261505,
R,fold2,-1.012417184540643,,1.152494777789915,
X,fold2,-1.3990848064422607,,1.3739362955093384,
S,fold2,-0.7257256712588422,,0.9883089049837338,
S,fold2,,0.864406779661017,,0.4352576647097195
R,fold2,,0.847457627118644,,0.42485168094924197
X,fold2,,0.8305084745762712,,0.4141666666666667
S,fold2,,0.7288135593220338,,0.3318965517241379
M,fold3,0.47347915172576904,0.864406779661017,0.1756591498851776,0.3547489413188143
S,fold3,0.344704270362854,,0.21862132847309113,
R,fold3,-1.1697780063035887,,0.7238865234801566,
X,fold3,-1.8170742988586426,,0.9398391246795654,
S,fold3,-0.8866273036655594,,0.6294211094340488,
S,fold3,,0.864406779661017,,0.3547489413188143
R,fold3,,0.8305084745762712,,0.3409558378705384
X,fold3,,0.8305084745762712,,0.3412121212121212
S,fold3,,0.7627118644067796,,0.3111940298507463
M,fold4,0.5249288082122803,0.7796610169491526,0.5326727032661438,0.27629870129870127
S,fold4,0.5194690227508545,,0.5387945771217346,
R,fold4,0.11246407521098323,,0.995148194413755,
X,fold4,0.14114350080490112,,0.9629913568496704,
S,fold4,-0.04826498962240211,,1.1753653937308166,
S,fold4,,0.7796610169491526,,0.27629870129870127
R,fold4,,0.7627118644067796,,0.2702380952380952
X,fold4,,0.7796610169491526,,0.27619047619047615
S,fold4,,0.7288135593220338,,0.25786790780141844
M,fold5,0.5607219338417053,0.6779661016949152,0.33516088128089905,0.2881720430107527
S,fold5,0.5600827932357788,,0.3356485068798065,
R,fold5,-0.3063304200212742,,0.9967054907560847,
X,fold5,-0.7065280675888062,,1.3020488023757935,
S,fold5,-0.15854961379421528,,0.883951520751718,
S,fold5,,0.6779661016949152,,0.2881720430107527
R,fold5,,0.6949152542372882,,0.296505376344086
X,fold5,,0.6779661016949152,,0.29032901296111663
S,fold5,,0.6440677966101694,,0.2708683473389356
