,,accuracy,accuracy,Loss,Loss
,,NO3.N,area,NO3.N,area
method,fold,,,,
M,fold1,0.49777692556381226,0.9833333333333333,1.7018331289291382,0.9761051373954599
S,fold1,0.49605774879455566,,1.7076586484909058,
R,fold1,-6.238714850589357,,24.52910697764345,
X,fold1,-4.705069065093994,,19.332195281982422,
S,fold1,-2.231492964655457,,10.950236093507993,
S,fold1,,0.9833333333333333,,0.9761051373954599
R,fold1,,0.9833333333333333,,0.9761051373954599
X,fold1,,0.9833333333333333,,0.9761051373954599
S,fold1,,0.9833333333333333,,0.9761051373954599
M,fold2,0.6955323219299316,1.0,1.6217707395553589,1.0
S,fold2,0.6732709407806396,,1.7403476238250732,
R,fold2,-3.1427634664250945,,22.066751042041084,
X,fold2,-2.967038869857788,,21.130739212036133,
S,fold2,-1.052619865857729,,10.933438978816787,
S,fold2,,1.0,,1.0
R,fold2,,1.0,,1.0
X,fold2,,0.9666666666666667,,0.934640522875817
S,fold2,,1.0,,1.0
M,fold3,0.6739644408226013,0.9833333333333333,1.728108525276184,0.9804623901009444
S,fold3,0.6865819096565247,,1.6612313985824585,
R,fold3,-4.162107532500722,,27.361067903991376,
X,fold3,-3.869119167327881,,25.808124542236328,
S,fold3,-1.3458577123159459,,12.433908390258718,
S,fold3,,0.9833333333333333,,0.9804623901009444
R,fold3,,0.95,,0.9394957983193277
X,fold3,,0.95,,0.9394957983193277
S,fold3,,0.9333333333333333,,0.9179206566347469
M,fold4,0.6289812326431274,0.9666666666666667,2.5021655559539795,0.9641148325358853
S,fold4,0.6436734199523926,,2.403080701828003,
R,fold4,-2.6442017167084604,,24.576636288051773,
X,fold4,-2.532951593399048,,23.826366424560547,
S,fold4,-1.0195277459816143,,13.619772653926843,
S,fold4,,0.9666666666666667,,0.9641148325358853
R,fold4,,0.9666666666666667,,0.9641148325358853
X,fold4,,0.9666666666666667,,0.9641148325358853
S,fold4,,0.9666666666666667,,0.9641148325358853
M,fold5,0.6831306219100952,0.9830508474576272,2.143080711364746,0.9759869759869759
S,fold5,0.6711804866790771,,2.223903179168701,
R,fold5,-3.4090260007521245,,29.819538916341056,
X,fold5,-4.1018524169921875,,34.50532913208008,
S,fold5,-0.5590575465002752,,10.54436448611314,
S,fold5,,0.9830508474576272,,0.9759869759869759
R,fold5,,0.9661016949152542,,0.9531746031746031
X,fold5,,0.9661016949152542,,0.9531746031746031
S,fold5,,0.9830508474576272,,0.9759869759869759
