,,accuracy,accuracy,accuracy,Loss,Loss,Loss
,,NO3.N,crop,pref,NO3.N,crop,pref
method,fold,,,,,,
M,fold1,0.6422926187515259,0.8421052631578947,0.8070175438596491,0.7922090888023376,0.6242145721925134,0.7001776001776001
M,fold1,0.656581699848175,,,0.760563313961029,,
R,fold1,-1.1182379846009667,,,4.691230252014369,,
X,fold1,-0.9806435108184814,,,4.386501312255859,,
S,fold1,-0.7960535217091949,,,3.9776930998932842,,
M,fold1,,0.8421052631578947,,,0.6242145721925134,
R,fold1,,0.8421052631578947,,,0.6248511904761905,
X,fold1,,0.7894736842105263,,,0.5857503607503607,
S,fold1,,0.5614035087719298,,,0.18835978835978834,
M,fold1,,,0.8070175438596491,,,0.6983155733155733
R,fold1,,,0.7368421052631579,,,0.6218528468528468
X,fold1,,,0.7368421052631579,,,0.6287592037592038
S,fold1,,,0.2982456140350877,,,0.03935185185185185
M,fold2,0.4976896643638611,0.8070175438596491,0.8245614035087719,1.289372444152832,0.7809516872016872,0.6930940170940171
M,fold2,0.5500075221061707,,,1.155078649520874,,
R,fold2,-0.38156674942455027,,,3.5463219112537843,,
X,fold2,-0.6605157852172852,,,4.262351989746094,,
S,fold2,0.09319663535168454,,,2.3276592626381802,,
M,fold2,,0.8070175438596491,,,0.7809516872016872,
R,fold2,,0.7543859649122807,,,0.699846681096681,
X,fold2,,0.7368421052631579,,,0.7410800552104899,
S,fold2,,0.5614035087719298,,,0.18209134615384615,
M,fold2,,,0.7894736842105263,,,0.6419964349376114
R,fold2,,,0.8070175438596491,,,0.678562091503268
X,fold2,,,0.8070175438596491,,,0.6629230769230768
S,fold2,,,0.43859649122807015,,,0.07122507122507123
M,fold3,0.7096503973007202,0.8214285714285714,0.7321428571428571,0.4533827602863312,0.6593960661187552,0.6859050671550672
M,fold3,0.721322774887085,,,0.4351562559604645,,
R,fold3,-2.0616276514649314,,,4.78075175412795,,
X,fold3,-2.762248992919922,,,5.874776363372803,,
S,fold3,-1.4867149816133098,,,3.8830218314352254,,
M,fold3,,0.8035714285714286,,,0.6459445316588174,
R,fold3,,0.8035714285714286,,,0.6284780856209428,
X,fold3,,0.7678571428571429,,,0.6084734035861856,
S,fold3,,0.5178571428571429,,,0.20130594043637523,
M,fold3,,,0.7142857142857143,,,0.677122387416505
R,fold3,,,0.6785714285714286,,,0.5755135387488328
X,fold3,,,0.7142857142857143,,,0.6237261543713156
S,fold3,,,0.2857142857142857,,,0.04040404040404041
M,fold4,0.48160320520401,0.7857142857142857,0.8214285714285714,0.9678223729133606,0.6854166666666666,0.7984968734968735
M,fold4,0.4380952715873718,,,1.0490496158599854,,
R,fold4,-3.143419136838782,,,7.735568540843754,,
X,fold4,-2.5235211849212646,,,6.578248023986816,,
S,fold4,-1.948665521673823,,,5.505019765954266,,
M,fold4,,0.7857142857142857,,,0.6854166666666666,
R,fold4,,0.75,,,0.523472850678733,
X,fold4,,0.7142857142857143,,,0.48385619756587495,
S,fold4,,0.5357142857142857,,,0.18438208616780044,
M,fold4,,,0.8392857142857143,,,0.8217893217893217
R,fold4,,,0.8035714285714286,,,0.7693302068302067
X,fold4,,,0.75,,,0.7027830277830277
S,fold4,,,0.2857142857142857,,,0.037037037037037035
M,fold5,0.4164619445800781,0.8571428571428571,0.8928571428571429,1.0398820638656616,0.8310451453308597,0.8757326007326007
M,fold5,0.3846011161804199,,,1.0966589450836182,,
R,fold5,-2.5982538097963666,,,6.412194027162343,,
X,fold5,-3.162766456604004,,,7.418172359466553,,
S,fold5,-0.9642411956949324,,,3.5003355318212113,,
M,fold5,,0.8392857142857143,,,0.8103210514975221,
R,fold5,,0.8035714285714286,,,0.7372252747252748,
X,fold5,,0.7857142857142857,,,0.7358462615815557,
S,fold5,,0.5714285714285714,,,0.21245421245421245,
M,fold5,,,0.875,,,0.8312881562881562
R,fold5,,,0.875,,,0.8539072039072039
X,fold5,,,0.8214285714285714,,,0.7641188269095246
S,fold5,,,0.35714285714285715,,,0.05263157894736842
