,,accuracy,accuracy,Loss,Loss
,,NO3.N,crop,NO3.N,crop
method,fold,,,,
M,fold1,0.3932334780693054,0.8305084745762712,1.2640833854675293,0.7246482683982685
S,fold1,0.30817389488220215,,1.4412888288497925,
R,fold1,-8.772523746561145,,20.35920558630116,
X,fold1,-12.60307502746582,,28.339433670043945,
S,fold1,-4.39140965247014,,11.23198268545863,
S,fold1,,0.7966101694915254,,0.7565656565656566
R,fold1,,0.7457627118644068,,0.5914245841877421
X,fold1,,0.7627118644067796,,0.6339354273177803
S,fold1,,0.5254237288135594,,0.18090260071392147
M,fold2,0.2589491009712219,0.7627118644067796,2.7597286701202393,0.6492115027829313
S,fold2,0.44895732402801514,,2.052123785018921,
R,fold2,-3.636549940102702,,17.26685451465229,
X,fold2,-4.156890392303467,,19.20464324951172,
S,fold2,-1.31677530711218,,8.627842401749003,
S,fold2,,0.7796610169491526,,0.6893011750154606
R,fold2,,0.7627118644067796,,0.6748007283721569
X,fold2,,0.7457627118644068,,0.6999270570699141
S,fold2,,0.576271186440678,,0.20789915966386555
M,fold3,0.5867217779159546,0.7796610169491526,1.8423972129821777,0.6382882882882883
S,fold3,0.5942299962043762,,1.808925747871399,
R,fold3,-1.4060293664406673,,10.726095774921314,
X,fold3,-1.8527629375457764,,12.71763801574707,
S,fold3,-0.3917522055842253,,6.204441084664752,
S,fold3,,0.7966101694915254,,0.6917681417681418
R,fold3,,0.7457627118644068,,0.4881259506259506
X,fold3,,0.7796610169491526,,0.6415849915849916
S,fold3,,0.6271186440677966,,0.19583333333333333
M,fold4,0.5656042098999023,0.864406779661017,1.3263061046600342,0.8002331198741715
S,fold4,0.5849888324737549,,1.267120599746704,
R,fold4,-3.012990354250559,,12.252543730243026,
X,fold4,-2.45623779296875,,10.552656173706055,
S,fold4,-1.2510026213060157,,6.872806964320352,
S,fold4,,0.864406779661017,,0.6830420574026712
R,fold4,,0.8135593220338984,,0.5858193277310925
X,fold4,,0.8305084745762712,,0.6452623034859877
S,fold4,,0.5254237288135594,,0.1681184668989547
M,fold5,0.569428563117981,0.8813559322033898,2.3476459980010986,0.7973560965888332
S,fold5,0.5950783491134644,,2.2077929973602295,
R,fold5,-1.8726990077709127,,15.66309342671554,
X,fold5,-2.2156827449798584,,17.533174514770508,
S,fold5,-0.6888940256473497,,9.208519528143235,
S,fold5,,0.8983050847457628,,0.8410709738440831
R,fold5,,0.847457627118644,,0.7402422787296736
X,fold5,,0.8983050847457628,,0.862012987012987
S,fold5,,0.559322033898305,,0.21929181929181926
